"region","Total_Payments","code"
"Alabama",11861674.58,"AL"
"Alaska",592269.97,"AK"
"Arizona",14849949.92,"AZ"
"Arkansas",6297142.49,"AR"
"California",65434132.07,"CA"
"Colorado",14789900.99,"CO"
"Connecticut",10845551.63,"CT"
"Delaware",4790019.46,"DE"
"District of columbia",2057700.63,"DC"
"Florida",55384750.65,"FL"
"Georgia",19882234.53,"GA"
"Hawaii",3709080.85,"HI"
"Idaho",2000720.59,"ID"
"Illinois",58206775.75,"IL"
"Indiana",14897168.32,"IN"
"Iowa",12250204.18,"IA"
"Kansas",8343819.12,"KS"
"Kentucky",11594578.5,"KY"
"Louisiana",6424485.02,"LA"
"Maine",4358990.69,"ME"
"Maryland",14213836.21,"MD"
"Massachusetts",47128083.39,"MA"
"Michigan",27236345.19,"MI"
"Minnesota",28578423.29,"MN"
"Mississippi",5645478.85,"MS"
"Missouri",21062910.56,"MO"
"Montana",1685271.92,"MT"
"Nebraska",5831270.46,"NE"
"Nevada",5211958.91,"NV"
"New hampshire",13841479.95,"NH"
"New jersey",32213836.57,"NJ"
"New mexico",1617111.38,"NM"
"New york",56556554.36,"NY"
"North carolina",26282846.23,"NC"
"North dakota",1861940.6,"ND"
"Ohio",49971875.25,"OH"
"Oklahoma",9658956.91,"OK"
"Oregon",18063797,"OR"
"Pennsylvania",57903828.3,"PA"
"Rhode island",4610212.59,"RI"
"South carolina",7163698.31,"SC"
"South dakota",3407927.05,"SD"
"Tennessee",16877281.53,"TN"
"Texas",58778865.56,"TX"
"Utah",5902004.33,"UT"
"Vermont",975587.69,"VT"
"Virginia",31935406.05,"VA"
"Washington",21889117.29,"WA"
"West virginia",7170402.16,"WV"
"Wisconsin",24428366.87,"WI"
"Wyoming",970201.12,"WY"
