"","date","state","PM2.5","CO","NO2","PM10","SO2","AQ_PM2.5","AQ_CO","AQ_NO2","AQ_PM10","AQ_SO2"
"1",2020-01-01,"alabama",15.1,0.3,28.2,7,0.6,"Moderate","Good","Good","Good","Good"
"2",2020-01-02,"alabama",7.3,0,16.3,11,0.5,"Good","Good","Good","Good","Good"
"3",2020-01-03,"alabama",5.2,0,31.6,6,0.5,"Good","Good","Good","Good","Good"
"4",2020-01-04,"alabama",3.1,0.4,7.5,8,0.5,"Good","Good","Good","Good","Good"
"5",2020-01-05,"alabama",3.7,0.5,34,6,0.5,"Good","Good","Good","Good","Good"
"6",2020-01-06,"alabama",13.1,0.2,30.1,15,1.5,"Moderate","Good","Good","Good","Good"
"7",2020-01-07,"alabama",5.8,0.2,31.1,9,0.8,"Good","Good","Good","Good","Good"
"8",2020-01-08,"alabama",8.4,0.1,37.8,19,1.2,"Good","Good","Good","Good","Good"
"9",2020-01-09,"alabama",14.5,0.2,29.8,17,0.9,"Moderate","Good","Good","Good","Good"
"10",2020-01-10,"alabama",9,0.1,10,19,0.5,"Good","Good","Good","Good","Good"
"11",2020-01-11,"alabama",5,0.2,9.4,11,0.5,"Good","Good","Good","Good","Good"
"12",2020-01-12,"alabama",4.1,0.1,31.7,11,0.8,"Good","Good","Good","Good","Good"
"13",2020-01-13,"alabama",4,0.2,20.8,15,1.8,"Good","Good","Good","Good","Good"
"14",2020-01-14,"alabama",1.9,0.2,32.1,11,0.5,"Good","Good","Good","Good","Good"
"15",2020-01-15,"alabama",4.7,0.3,21.7,14,0.5,"Good","Good","Good","Good","Good"
"16",2020-01-16,"alabama",3.3,0.3,11.5,9,1,"Good","Good","Good","Good","Good"
"17",2020-01-17,"alabama",3,0.2,10.6,9,0.9,"Good","Good","Good","Good","Good"
"18",2020-01-18,"alabama",6.1,0.3,10,13,0.5,"Good","Good","Good","Good","Good"
"19",2020-01-19,"alabama",2.4,0.7,3.6,4,0.5,"Good","Good","Good","Good","Good"
"20",2020-01-20,"alabama",6,0.5,6.1,9,1,"Good","Good","Good","Good","Good"
"21",2020-01-21,"alabama",6,1,13,10,1.3,"Good","Good","Good","Good","Good"
"22",2020-01-22,"alabama",7.7,0.7,42,17,1.2,"Good","Good","Good","Good","Good"
"23",2020-01-23,"alabama",7.9,0.1,18.1,10,0.8,"Good","Good","Good","Good","Good"
"24",2020-01-24,"alabama",6.7,0.7,14.4,9,0.7,"Good","Good","Good","Good","Good"
