Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Parkinson disease - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,2007,15,9121.085992495782,29066.442137435646,461.195201808,1846.9966859901444,1199,53532.68049507392,2458.120489526255,3715.2775921059497,6896.159472690725,1930.0471197273198,4922.241281315872,1050.2894758720836,14253.281223073709,400.81106488371825,498.3921466537136,1118.3965083681703,2494.128056651257,3029.127923045497,144.5037469282267,209.68336203058993,4859.483790971534,8099.404949919545,4810.833683712643,28477.08110667426,96.02759236080246,296.00002613563987,10366.124291797547,160.93012143187661,1941.2821983627616,1378.5715491618184,8216.00097494153,4691.007199494647,305.20723927321046
Afghanistan,AFG,2008,17,8387.057275214835,26623.480551214987,437.718960254,1681.2703238329461,1092,53402.32232847055,2496.9683170594135,3685.769665380373,6855.287038114597,1933.3574680856586,4876.6821479162345,1013.520197053468,14385.275410147662,404.78058082852255,476.39480928193143,1121.6981168646562,2281.33673539273,3074.2957294388348,153.26021112995988,220.16982624563474,4589.262523798878,8038.390392447409,4873.807408715047,28234.015837036175,98.30846069075898,0,8994.815981022237,156.86072181995584,1765.9807555317268,1411.783228642452,6748.999931398203,4750.240999207962,300.24600083221276
Afghanistan,AFG,2009,0,7318.273004343854,24792.335791913672,415.776633935,1568.0950287470325,1065,53024.45077220046,2537.0907892019563,3661.267068035504,6778.04089568283,1931.7244139527718,4825.603052983496,979.6894183909625,14458.35428630954,408.43671186939787,455.5255223500682,1099.0005854148571,2085.922322779298,3073.2303301752627,158.88608020890473,229.2488465121268,4326.663467299398,7879.71103723042,4819.714079133408,27897.48112130667,100.0887780635155,100.99999988708991,7996.529795260936,152.14404438076465,1647.8633343815138,1428.8080154395604,7562.996178133681,4784.225283238819,295.4139073800438
Afghanistan,AFG,2011,2,6919.757958314193,23115.144835765892,299.758257569,1468.2037440309148,1525,52815.73749464536,2615.8836042789817,3691.3362318785007,6708.23735643723,1988.6389319324098,4850.4700798082185,953.248482943823,14868.810348172474,416.46072228854126,457.99353077982903,1043.7406746071588,2025.106956888624,3230.7539208445733,176.5602922691052,253.54169787431815,4009.263933691126,8051.536317308646,4626.998771525887,27198.628719628294,105.56502045012236,61.999999980208436,7053.113393825223,150.31160215775486,1543.1828418850182,1496.1924180060066,9061.000022868964,4954.293898423277,311.99768556271954
Afghanistan,AFG,2012,14,6631.94260103674,22155.754480685675,302.255410524,1406.2147880552131,3521,52961.704529655486,2657.841811533197,3673.8185235563174,6680.0799381111965,2009.4595312669685,4851.89054842711,935.802048034365,15065.556659877584,422.1041901146798,452.4394422159898,998.2761765689811,1940.2153606266763,3243.81880538543,186.23856483355885,266.19493594773047,3853.1471947583327,8057.220489298082,4492.248391678904,26830.6862220254,108.2816880853276,333.00000568245184,6577.552473919551,193.3889594576302,1478.2633524945845,1528.384709502871,11332.990001757777,5075.76573834413,316.2565173085166
Afghanistan,AFG,2013,2,6774.892058675065,22417.229523084658,402.174478238,1423.283630542485,3709,53387.554213360956,2701.4045590586475,3716.944528557613,6711.922738662632,2069.171473973007,4945.313817548327,942.9920391767017,15426.545857169383,428.75493450583707,470.3909326887232,1096.8080410322148,2031.1705811537697,3337.0076774802606,202.6193306943716,281.275280517008,3820.7696619275903,8284.737794260032,4406.893570207887,26942.203452028967,111.72814781956235,154.99999658718687,6624.194797476015,150.7113609795095,1496.9112850577815,1574.1098213065839,11816.974731802977,5238.074826632468,333.5910909750092
Afghanistan,AFG,2014,6,6795.163085629436,22167.851943956706,427.419194213,1421.2393322614134,5414,53858.55977539209,2747.997169196898,3756.4961331382933,6734.5018890499005,2108.4516405515947,4994.350884803023,940.071526881909,15712.350529233707,435.329667427162,475.2114602831536,1128.8167861099444,2024.3559118191558,3400.6227728418376,219.56779168086615,296.4842392902052,3770.82211941049,8384.209742867632,4312.467008080109,27446.649940248175,115.04849990859277,574.9999869215836,6489.733878228597,151.61440473262175,1494.4427599252303,1611.773210422876,17949.99610750067,5416.3964307518045,342.89023496879133
Afghanistan,AFG,2015,1,6667.310322731778,21627.195092355694,432.539812373,1384.9738013656224,6216,54221.895745984926,2786.542337676252,3773.0075990886985,6731.631583252856,2130.8440523334148,4999.078778641346,929.4485799868992,15902.337632607934,440.23769881889535,470.5208159332541,1171.8221568884799,1978.6104291670292,3881.1915518196197,242.36301126511333,310.7224847160407,3681.7058836413366,8383.512129010689,4179.915115375227,27252.067578779355,117.90020165794697,191.9999994341592,6220.600683031724,150.21209841573014,1456.5675992440915,1638.9226897813255,23661.951466551727,5591.446503285609,345.62588618196526
Afghanistan,AFG,2016,6,6672.896174157583,21359.253796983627,435.834888593,1363.9763724430027,6142,54963.45408411949,2838.014437407651,3830.9987025909927,6797.10313113857,2180.9967368015814,5061.940694003793,930.1222871661952,16244.82901499455,447.7765588331894,476.34347266978733,1178.6328569937257,1990.6225390885977,3932.312417066251,269.4783065175183,328.1884436680949,3634.1457738022964,8507.479485104279,4090.733178882281,26997.508951494503,121.27650515178416,77.99999873477924,6058.453264359723,150.87964305325556,1434.7405118563518,1674.4238093528463,28050.86678837669,5824.419892111049,354.72288714845627
Afghanistan,AFG,1990,,6469.977091391838,22836.912346495286,295.382206545,1607.7037972460018,12,46498.08502420735,1959.215372700566,3155.356339772485,5954.958581567895,1453.0449768544515,3698.8898643631533,793.6702565454274,10061.873743480066,324.828944681958,311.7760817779927,463.6124227489294,1508.416465350034,1279.9459846492337,32.09812855864964,78.25419155780165,4332.690583447481,4575.180311310141,2283.021996024863,18075.800289934286,75.59522143482285,0,8817.260207713856,226.78940339005945,1667.386134269348,740.4484995259625,1489.9992896363547,3361.736409244922,170.74228556576642
