state_name,championships,level
Alabama,0,poor
Alaska,0,poor
Arizona,0,poor
Arkansas,0,poor
California,19,best
Colorado,0,poor
Connecticut,0,poor
Delaware,0,poor
Florida,3,better
Georgia,1,fair
Hawaii,0,poor
Idaho,0,poor
Illinois,6,good
Indiana,0,poor
Iowa,0,poor
Kansas,0,poor
Kentucky,0,poor
Louisiana,0,poor
Maine,0,poor
Maryland,0,poor
Massachusetts,17,best
Michigan,3,better
Minnesota,0,poor
Mississippi,0,poor
Missouri,0,poor
Montana,0,poor
Nebraska,0,poor
Nevada,0,poor
New Hampshire,0,poor
New Jersey,0,poor
New Mexico,0,poor
New York,3,better
North Carolina,0,poor
North Dakota,0,poor
Ohio,1,fair
Oklahoma,0,poor
Oregon,1,fair
Pennsylvania,2,fair
Rhode Island,0,poor
South Carolina,0,poor
South Dakota,0,poor
Tennessee,0,poor
Texas,8,good
Utah,0,poor
Vermont,0,poor
Virginia,0,poor
Washington,0,poor
West Virginia,0,poor
Wisconsin,0,poor
Wyoming,0,poor
Washington DC*,1,fair
