"driver.name","colors","cons.name","var","key","label"
"Alexander Albon","#0600ef","Red Bull","Races",17,"17"
"Antonio Giovinazzi","#960000","Alfa Romeo","Races",17,"17"
"Carlos Sainz","#FF8700","McLaren","Races",17,"17"
"Charles Leclerc","#DC0000","Ferrari","Races",17,"17"
"Daniel Ricciardo","#FFF500","Renault","Races",17,"17"
"Daniil Kvyat","#ffffff","AlphaTauri","Races",17,"17"
"Esteban Ocon","#FFF500","Renault","Races",17,"17"
"George Russell","#0082fa","Williams","Races",17,"17"
"Kevin Magnussen","#787878","Haas F1 Team","Races",17,"17"
"Kimi Räikkönen","#960000","Alfa Romeo","Races",17,"17"
"Lance Stroll","#F596C8","Racing Point","Races",16,"16"
"Lando Norris","#FF8700","McLaren","Races",17,"17"
"Lewis Hamilton","#00D2BE","Mercedes","Races",16,"16"
"Max Verstappen","#0600ef","Red Bull","Races",17,"17"
"Nicholas Latifi","#0082fa","Williams","Races",17,"17"
"Pierre Gasly","#ffffff","AlphaTauri","Races",17,"17"
"Romain Grosjean","#787878","Haas F1 Team","Races",15,"15"
"Sebastian Vettel","#DC0000","Ferrari","Races",17,"17"
"Sergio Pérez","#F596C8","Racing Point","Races",15,"15"
"Valtteri Bottas","#00D2BE","Mercedes","Races",17,"17"
"Alexander Albon","#0600ef","Red Bull","Points",10,"105"
"Antonio Giovinazzi","#960000","Alfa Romeo","Points",10,"4"
"Carlos Sainz","#FF8700","McLaren","Points",10,"105"
"Charles Leclerc","#DC0000","Ferrari","Points",10,"98"
"Daniel Ricciardo","#FFF500","Renault","Points",10,"119"
"Daniil Kvyat","#ffffff","AlphaTauri","Points",10,"32"
"Esteban Ocon","#FFF500","Renault","Points",10,"62"
"George Russell","#0082fa","Williams","Points",10,"3"
"Kevin Magnussen","#787878","Haas F1 Team","Points",10,"1"
"Kimi Räikkönen","#960000","Alfa Romeo","Points",10,"4"
"Lance Stroll","#F596C8","Racing Point","Points",10,"75"
"Lando Norris","#FF8700","McLaren","Points",10,"97"
"Lewis Hamilton","#00D2BE","Mercedes","Points",10,"347"
"Max Verstappen","#0600ef","Red Bull","Points",10,"214"
"Nicholas Latifi","#0082fa","Williams","Points",10,"0"
"Pierre Gasly","#ffffff","AlphaTauri","Points",10,"75"
"Romain Grosjean","#787878","Haas F1 Team","Points",10,"2"
"Sebastian Vettel","#DC0000","Ferrari","Points",10,"33"
"Sergio Pérez","#F596C8","Racing Point","Points",10,"125"
"Valtteri Bottas","#00D2BE","Mercedes","Points",10,"223"
"Alexander Albon","#0600ef","Red Bull","Qualifying",14,"14"
"Antonio Giovinazzi","#960000","Alfa Romeo","Qualifying",1,"1"
"Carlos Sainz","#FF8700","McLaren","Qualifying",14,"14"
"Charles Leclerc","#DC0000","Ferrari","Qualifying",11,"11"
"Daniel Ricciardo","#FFF500","Renault","Qualifying",14,"14"
"Daniil Kvyat","#ffffff","AlphaTauri","Qualifying",4,"4"
"Esteban Ocon","#FFF500","Renault","Qualifying",8,"8"
"George Russell","#0082fa","Williams","Qualifying",1,"1"
