,id,title,genre
0,19995,Avatar,Action
1,19995,Avatar,Adventure
2,19995,Avatar,Fantasy
3,19995,Avatar,Science Fiction
4,285,Pirates of the Caribbean: At World's End,Adventure
5,285,Pirates of the Caribbean: At World's End,Fantasy
6,285,Pirates of the Caribbean: At World's End,Action
7,206647,Spectre,Action
8,206647,Spectre,Adventure
9,206647,Spectre,Crime
10,49026,The Dark Knight Rises,Action
11,49026,The Dark Knight Rises,Crime
12,49026,The Dark Knight Rises,Drama
13,49026,The Dark Knight Rises,Thriller
14,49529,John Carter,Action
15,49529,John Carter,Adventure
16,49529,John Carter,Science Fiction
17,559,Spider-Man 3,Fantasy
18,559,Spider-Man 3,Action
19,559,Spider-Man 3,Adventure
20,38757,Tangled,Animation
21,38757,Tangled,Family
22,99861,Avengers: Age of Ultron,Action
23,99861,Avengers: Age of Ultron,Adventure
24,99861,Avengers: Age of Ultron,Science Fiction
25,767,Harry Potter and the Half-Blood Prince,Adventure
26,767,Harry Potter and the Half-Blood Prince,Fantasy
27,767,Harry Potter and the Half-Blood Prince,Family
28,209112,Batman v Superman: Dawn of Justice,Action
29,209112,Batman v Superman: Dawn of Justice,Adventure
30,209112,Batman v Superman: Dawn of Justice,Fantasy
31,1452,Superman Returns,Adventure
32,1452,Superman Returns,Fantasy
33,1452,Superman Returns,Action
34,1452,Superman Returns,Science Fiction
35,10764,Quantum of Solace,Adventure
36,10764,Quantum of Solace,Action
37,10764,Quantum of Solace,Thriller
38,10764,Quantum of Solace,Crime
39,58,Pirates of the Caribbean: Dead Man's Chest,Adventure
40,58,Pirates of the Caribbean: Dead Man's Chest,Fantasy
41,58,Pirates of the Caribbean: Dead Man's Chest,Action
42,57201,The Lone Ranger,Action
43,57201,The Lone Ranger,Adventure
44,57201,The Lone Ranger,Western
45,49521,Man of Steel,Action
46,49521,Man of Steel,Adventure
47,49521,Man of Steel,Fantasy
48,49521,Man of Steel,Science Fiction
49,2454,The Chronicles of Narnia: Prince Caspian,Adventure
50,2454,The Chronicles of Narnia: Prince Caspian,Family
51,2454,The Chronicles of Narnia: Prince Caspian,Fantasy
52,24428,The Avengers,Science Fiction
53,24428,The Avengers,Action
54,24428,The Avengers,Adventure
55,1865,Pirates of the Caribbean: On Stranger Tides,Adventure
56,1865,Pirates of the Caribbean: On Stranger Tides,Action
57,1865,Pirates of the Caribbean: On Stranger Tides,Fantasy
58,41154,Men in Black 3,Action
59,41154,Men in Black 3,Comedy
60,41154,Men in Black 3,Science Fiction
61,122917,The Hobbit: The Battle of the Five Armies,Action
62,122917,The Hobbit: The Battle of the Five Armies,Adventure
63,122917,The Hobbit: The Battle of the Five Armies,Fantasy
64,1930,The Amazing Spider-Man,Action
65,1930,The Amazing Spider-Man,Adventure
66,1930,The Amazing Spider-Man,Fantasy
67,20662,Robin Hood,Action
68,20662,Robin Hood,Adventure
69,57158,The Hobbit: The Desolation of Smaug,Adventure
70,57158,The Hobbit: The Desolation of Smaug,Fantasy
71,2268,The Golden Compass,Adventure
72,2268,The Golden Compass,Fantasy
73,254,King Kong,Adventure
74,254,King Kong,Drama
75,254,King Kong,Action
76,597,Titanic,Drama
77,597,Titanic,Romance
78,597,Titanic,Thriller
79,271110,Captain America: Civil War,Adventure
80,271110,Captain America: Civil War,Action
81,271110,Captain America: Civil War,Science Fiction
82,44833,Battleship,Thriller
83,44833,Battleship,Action
84,44833,Battleship,Adventure
85,44833,Battleship,Science Fiction
86,135397,Jurassic World,Action
87,135397,Jurassic World,Adventure
88,135397,Jurassic World,Science Fiction
89,135397,Jurassic World,Thriller
90,37724,Skyfall,Action
91,37724,Skyfall,Adventure
92,37724,Skyfall,Thriller
93,558,Spider-Man 2,Action
94,558,Spider-Man 2,Adventure
95,558,Spider-Man 2,Fantasy
96,68721,Iron Man 3,Action
97,68721,Iron Man 3,Adventure
98,68721,Iron Man 3,Science Fiction
99,12155,Alice in Wonderland,Family
100,12155,Alice in Wonderland,Fantasy
101,12155,Alice in Wonderland,Adventure
102,36668,X-Men: The Last Stand,Adventure
103,36668,X-Men: The Last Stand,Action
104,36668,X-Men: The Last Stand,Science Fiction
105,36668,X-Men: The Last Stand,Thriller
106,62211,Monsters University,Animation
107,62211,Monsters University,Family
108,8373,Transformers: Revenge of the Fallen,Science Fiction
109,8373,Transformers: Revenge of the Fallen,Action
110,8373,Transformers: Revenge of the Fallen,Adventure
111,91314,Transformers: Age of Extinction,Science Fiction
112,91314,Transformers: Age of Extinction,Action
113,91314,Transformers: Age of Extinction,Adventure
114,68728,Oz: The Great and Powerful,Fantasy
115,68728,Oz: The Great and Powerful,Adventure
116,68728,Oz: The Great and Powerful,Family
117,102382,The Amazing Spider-Man 2,Action
118,102382,The Amazing Spider-Man 2,Adventure
119,102382,The Amazing Spider-Man 2,Fantasy
120,20526,TRON: Legacy,Adventure
121,20526,TRON: Legacy,Action
122,20526,TRON: Legacy,Science Fiction
123,49013,Cars 2,Animation
124,49013,Cars 2,Family
125,49013,Cars 2,Adventure
126,49013,Cars 2,Comedy
127,44912,Green Lantern,Adventure
128,44912,Green Lantern,Action
129,44912,Green Lantern,Thriller
130,44912,Green Lantern,Science Fiction
131,10193,Toy Story 3,Animation
132,10193,Toy Story 3,Family
133,10193,Toy Story 3,Comedy
134,534,Terminator Salvation,Action
135,534,Terminator Salvation,Science Fiction
136,534,Terminator Salvation,Thriller
137,168259,Furious 7,Action
138,72190,World War Z,Action
139,72190,World War Z,Drama
140,72190,World War Z,Horror
141,72190,World War Z,Science Fiction
142,72190,World War Z,Thriller
143,127585,X-Men: Days of Future Past,Action
144,127585,X-Men: Days of Future Past,Adventure
145,127585,X-Men: Days of Future Past,Fantasy
146,127585,X-Men: Days of Future Past,Science Fiction
147,54138,Star Trek Into Darkness,Action
148,54138,Star Trek Into Darkness,Adventure
149,54138,Star Trek Into Darkness,Science Fiction
150,81005,Jack the Giant Slayer,Action
151,81005,Jack the Giant Slayer,Family
152,81005,Jack the Giant Slayer,Fantasy
153,64682,The Great Gatsby,Drama
154,64682,The Great Gatsby,Romance
155,9543,Prince of Persia: The Sands of Time,Adventure
156,9543,Prince of Persia: The Sands of Time,Fantasy
157,9543,Prince of Persia: The Sands of Time,Action
158,9543,Prince of Persia: The Sands of Time,Romance
159,68726,Pacific Rim,Action
160,68726,Pacific Rim,Science Fiction
161,68726,Pacific Rim,Adventure
162,38356,Transformers: Dark of the Moon,Action
163,38356,Transformers: Dark of the Moon,Science Fiction
164,38356,Transformers: Dark of the Moon,Adventure
165,217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure
166,217,Indiana Jones and the Kingdom of the Crystal Skull,Action
167,105864,The Good Dinosaur,Adventure
168,105864,The Good Dinosaur,Animation
169,105864,The Good Dinosaur,Family
170,62177,Brave,Animation
171,62177,Brave,Adventure
172,62177,Brave,Comedy
173,62177,Brave,Family
174,62177,Brave,Action
175,62177,Brave,Fantasy
176,188927,Star Trek Beyond,Action
177,188927,Star Trek Beyond,Adventure
178,188927,Star Trek Beyond,Science Fiction
179,10681,WALL·E,Animation
180,10681,WALL·E,Family
181,5174,Rush Hour 3,Action
182,5174,Rush Hour 3,Comedy
183,5174,Rush Hour 3,Crime
184,5174,Rush Hour 3,Thriller
185,14161,2012,Action
186,14161,2012,Adventure
187,14161,2012,Science Fiction
188,17979,A Christmas Carol,Animation
189,17979,A Christmas Carol,Drama
190,76757,Jupiter Ascending,Science Fiction
191,76757,Jupiter Ascending,Fantasy
192,76757,Jupiter Ascending,Action
193,76757,Jupiter Ascending,Adventure
194,258489,The Legend of Tarzan,Action
195,258489,The Legend of Tarzan,Adventure
196,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure
197,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Family
198,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy
199,246655,X-Men: Apocalypse,Science Fiction
200,155,The Dark Knight,Drama
201,155,The Dark Knight,Action
202,155,The Dark Knight,Crime
203,155,The Dark Knight,Thriller
204,14160,Up,Animation
205,14160,Up,Comedy
206,14160,Up,Family
207,14160,Up,Adventure
208,15512,Monsters vs Aliens,Animation
209,15512,Monsters vs Aliens,Family
210,15512,Monsters vs Aliens,Adventure
211,15512,Monsters vs Aliens,Science Fiction
212,1726,Iron Man,Action
213,1726,Iron Man,Science Fiction
214,1726,Iron Man,Adventure
215,44826,Hugo,Adventure
216,44826,Hugo,Drama
217,44826,Hugo,Family
218,8487,Wild Wild West,Action
219,8487,Wild Wild West,Adventure
220,8487,Wild Wild West,Comedy
221,8487,Wild Wild West,Science Fiction
222,8487,Wild Wild West,Western
223,1735,The Mummy: Tomb of the Dragon Emperor,Adventure
224,1735,The Mummy: Tomb of the Dragon Emperor,Action
225,1735,The Mummy: Tomb of the Dragon Emperor,Fantasy
226,297761,Suicide Squad,Action
227,297761,Suicide Squad,Adventure
228,297761,Suicide Squad,Crime
229,297761,Suicide Squad,Fantasy
230,297761,Suicide Squad,Science Fiction
231,2698,Evan Almighty,Fantasy
232,2698,Evan Almighty,Comedy
233,2698,Evan Almighty,Family
234,137113,Edge of Tomorrow,Action
235,137113,Edge of Tomorrow,Science Fiction
236,9804,Waterworld,Adventure
237,9804,Waterworld,Action
238,14869,G.I. Joe: The Rise of Cobra,Adventure
239,14869,G.I. Joe: The Rise of Cobra,Action
240,14869,G.I. Joe: The Rise of Cobra,Thriller
241,14869,G.I. Joe: The Rise of Cobra,Science Fiction
242,150540,Inside Out,Drama
243,150540,Inside Out,Comedy
244,150540,Inside Out,Animation
245,150540,Inside Out,Family
246,278927,The Jungle Book,Family
247,278927,The Jungle Book,Adventure
248,278927,The Jungle Book,Drama
249,278927,The Jungle Book,Fantasy
250,10138,Iron Man 2,Adventure
251,10138,Iron Man 2,Action
252,10138,Iron Man 2,Science Fiction
253,58595,Snow White and the Huntsman,Adventure
254,58595,Snow White and the Huntsman,Fantasy
255,58595,Snow White and the Huntsman,Drama
256,102651,Maleficent,Fantasy
257,102651,Maleficent,Adventure
258,102651,Maleficent,Action
259,102651,Maleficent,Family
260,102651,Maleficent,Romance
261,119450,Dawn of the Planet of the Apes,Science Fiction
262,119450,Dawn of the Planet of the Apes,Action
263,119450,Dawn of the Planet of the Apes,Drama
264,119450,Dawn of the Planet of the Apes,Thriller
265,79698,The Lovers,Action
266,79698,The Lovers,Adventure
267,79698,The Lovers,Science Fiction
268,79698,The Lovers,Romance
269,64686,47 Ronin,Drama
270,64686,47 Ronin,Action
271,64686,47 Ronin,Adventure
272,64686,47 Ronin,Fantasy
273,100402,Captain America: The Winter Soldier,Action
274,100402,Captain America: The Winter Soldier,Adventure
275,100402,Captain America: The Winter Soldier,Science Fiction
276,10192,Shrek Forever After,Comedy
277,10192,Shrek Forever After,Adventure
278,10192,Shrek Forever After,Fantasy
279,10192,Shrek Forever After,Animation
280,10192,Shrek Forever After,Family
281,158852,Tomorrowland,Adventure
282,158852,Tomorrowland,Family
283,158852,Tomorrowland,Mystery
284,158852,Tomorrowland,Science Fiction
285,177572,Big Hero 6,Adventure
286,177572,Big Hero 6,Family
287,177572,Big Hero 6,Animation
288,177572,Big Hero 6,Action
289,177572,Big Hero 6,Comedy
290,82690,Wreck-It Ralph,Family
291,82690,Wreck-It Ralph,Animation
292,82690,Wreck-It Ralph,Comedy
293,82690,Wreck-It Ralph,Adventure
294,5255,The Polar Express,Adventure
295,5255,The Polar Express,Animation
296,5255,The Polar Express,Family
297,5255,The Polar Express,Fantasy
298,47933,Independence Day: Resurgence,Action
299,47933,Independence Day: Resurgence,Adventure
300,47933,Independence Day: Resurgence,Science Fiction
301,10191,How to Train Your Dragon,Fantasy
302,10191,How to Train Your Dragon,Adventure
303,10191,How to Train Your Dragon,Animation
304,10191,How to Train Your Dragon,Family
305,296,Terminator 3: Rise of the Machines,Action
306,296,Terminator 3: Rise of the Machines,Thriller
307,296,Terminator 3: Rise of the Machines,Science Fiction
308,118340,Guardians of the Galaxy,Action
309,118340,Guardians of the Galaxy,Science Fiction
310,118340,Guardians of the Galaxy,Adventure
311,157336,Interstellar,Adventure
312,157336,Interstellar,Drama
313,157336,Interstellar,Science Fiction
314,27205,Inception,Action
315,27205,Inception,Thriller
316,27205,Inception,Science Fiction
317,27205,Inception,Mystery
318,27205,Inception,Adventure
319,315011,Shin Godzilla,Action
320,315011,Shin Godzilla,Adventure
321,315011,Shin Godzilla,Drama
322,315011,Shin Godzilla,Horror
323,315011,Shin Godzilla,Science Fiction
324,49051,The Hobbit: An Unexpected Journey,Adventure
325,49051,The Hobbit: An Unexpected Journey,Fantasy
326,49051,The Hobbit: An Unexpected Journey,Action
327,9799,The Fast and the Furious,Action
328,9799,The Fast and the Furious,Crime
329,9799,The Fast and the Furious,Thriller
330,4922,The Curious Case of Benjamin Button,Fantasy
331,4922,The Curious Case of Benjamin Button,Drama
332,4922,The Curious Case of Benjamin Button,Thriller
333,4922,The Curious Case of Benjamin Button,Mystery
334,4922,The Curious Case of Benjamin Button,Romance
335,49538,X-Men: First Class,Action
336,49538,X-Men: First Class,Science Fiction
337,49538,X-Men: First Class,Adventure
338,131634,The Hunger Games: Mockingjay - Part 2,Action
339,131634,The Hunger Games: Mockingjay - Part 2,Adventure
340,131634,The Hunger Games: Mockingjay - Part 2,Science Fiction
341,27022,The Sorcerer's Apprentice,Fantasy
342,27022,The Sorcerer's Apprentice,Adventure
343,27022,The Sorcerer's Apprentice,Action
344,27022,The Sorcerer's Apprentice,Comedy
345,27022,The Sorcerer's Apprentice,Drama
346,503,Poseidon,Adventure
347,503,Poseidon,Action
348,503,Poseidon,Drama
349,503,Poseidon,Thriller
350,241259,Alice Through the Looking Glass,Fantasy
351,810,Shrek the Third,Fantasy
352,810,Shrek the Third,Adventure
353,810,Shrek the Third,Animation
354,810,Shrek the Third,Comedy
355,810,Shrek the Third,Family
356,68735,Warcraft,Action
357,68735,Warcraft,Adventure
358,68735,Warcraft,Fantasy
359,87101,Terminator Genisys,Science Fiction
360,87101,Terminator Genisys,Action
361,87101,Terminator Genisys,Thriller
362,87101,Terminator Genisys,Adventure
363,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure
364,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Family
365,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fantasy
366,676,Pearl Harbor,History
367,676,Pearl Harbor,Romance
368,676,Pearl Harbor,War
369,1858,Transformers,Adventure
370,1858,Transformers,Science Fiction
371,1858,Transformers,Action
372,1966,Alexander,War
373,1966,Alexander,History
374,1966,Alexander,Action
375,1966,Alexander,Adventure
376,1966,Alexander,Drama
377,1966,Alexander,Romance
378,675,Harry Potter and the Order of the Phoenix,Adventure
379,675,Harry Potter and the Order of the Phoenix,Fantasy
380,675,Harry Potter and the Order of the Phoenix,Family
381,675,Harry Potter and the Order of the Phoenix,Mystery
382,674,Harry Potter and the Goblet of Fire,Adventure
383,674,Harry Potter and the Goblet of Fire,Fantasy
384,674,Harry Potter and the Goblet of Fire,Family
385,8960,Hancock,Fantasy
386,8960,Hancock,Action
387,6479,I Am Legend,Drama
388,6479,I Am Legend,Horror
389,6479,I Am Legend,Action
390,6479,I Am Legend,Thriller
391,6479,I Am Legend,Science Fiction
392,118,Charlie and the Chocolate Factory,Adventure
393,118,Charlie and the Chocolate Factory,Comedy
394,118,Charlie and the Chocolate Factory,Family
395,118,Charlie and the Chocolate Factory,Fantasy
396,2062,Ratatouille,Animation
397,2062,Ratatouille,Comedy
398,2062,Ratatouille,Family
399,2062,Ratatouille,Fantasy
400,272,Batman Begins,Action
401,272,Batman Begins,Crime
402,272,Batman Begins,Drama
403,10527,Madagascar: Escape 2 Africa,Family
404,10527,Madagascar: Escape 2 Africa,Animation
405,18360,Night at the Museum: Battle of the Smithsonian,Adventure
406,18360,Night at the Museum: Battle of the Smithsonian,Fantasy
407,18360,Night at the Museum: Battle of the Smithsonian,Action
408,18360,Night at the Museum: Battle of the Smithsonian,Comedy
409,18360,Night at the Museum: Battle of the Smithsonian,Family
410,2080,X-Men Origins: Wolverine,Adventure
411,2080,X-Men Origins: Wolverine,Action
412,2080,X-Men Origins: Wolverine,Thriller
413,2080,X-Men Origins: Wolverine,Science Fiction
414,605,The Matrix Revolutions,Adventure
415,605,The Matrix Revolutions,Action
416,605,The Matrix Revolutions,Thriller
417,605,The Matrix Revolutions,Science Fiction
418,109445,Frozen,Animation
419,109445,Frozen,Adventure
420,109445,Frozen,Family
421,604,The Matrix Reloaded,Adventure
422,604,The Matrix Reloaded,Action
423,604,The Matrix Reloaded,Thriller
424,604,The Matrix Reloaded,Science Fiction
425,76338,Thor: The Dark World,Action
426,76338,Thor: The Dark World,Adventure
427,76338,Thor: The Dark World,Fantasy
428,76341,Mad Max: Fury Road,Action
429,76341,Mad Max: Fury Road,Adventure
430,76341,Mad Max: Fury Road,Science Fiction
431,76341,Mad Max: Fury Road,Thriller
432,13448,Angels & Demons,Thriller
433,13448,Angels & Demons,Mystery
434,10195,Thor,Adventure
435,10195,Thor,Fantasy
436,10195,Thor,Action
437,13053,Bolt,Animation
438,13053,Bolt,Family
439,13053,Bolt,Adventure
440,13053,Bolt,Comedy
