,id,title,production_companies
0,19995,Avatar,Ingenious Film Partners
1,19995,Avatar,Twentieth Century Fox Film Corporation
2,19995,Avatar,Dune Entertainment
3,19995,Avatar,Lightstorm Entertainment
4,285,Pirates of the Caribbean: At World's End,Walt Disney Pictures
5,285,Pirates of the Caribbean: At World's End,Jerry Bruckheimer Films
6,285,Pirates of the Caribbean: At World's End,Second Mate Productions
7,206647,Spectre,Columbia Pictures
8,206647,Spectre,Danjaq
9,206647,Spectre,B24
10,49026,The Dark Knight Rises,Legendary Pictures
11,49026,The Dark Knight Rises,Warner Bros.
12,49026,The Dark Knight Rises,DC Entertainment
13,49026,The Dark Knight Rises,Syncopy
14,49529,John Carter,Walt Disney Pictures
15,559,Spider-Man 3,Columbia Pictures
16,559,Spider-Man 3,Laura Ziskin Productions
17,559,Spider-Man 3,Marvel Enterprises
18,38757,Tangled,Walt Disney Pictures
19,38757,Tangled,Walt Disney Animation Studios
20,99861,Avengers: Age of Ultron,Marvel Studios
21,99861,Avengers: Age of Ultron,Prime Focus
22,99861,Avengers: Age of Ultron,Revolution Sun Studios
23,767,Harry Potter and the Half-Blood Prince,Warner Bros.
24,767,Harry Potter and the Half-Blood Prince,Heyday Films
25,209112,Batman v Superman: Dawn of Justice,DC Comics
26,209112,Batman v Superman: Dawn of Justice,Atlas Entertainment
27,209112,Batman v Superman: Dawn of Justice,Warner Bros.
28,209112,Batman v Superman: Dawn of Justice,DC Entertainment
29,209112,Batman v Superman: Dawn of Justice,Cruel & Unusual Films
30,209112,Batman v Superman: Dawn of Justice,RatPac-Dune Entertainment
31,1452,Superman Returns,DC Comics
32,1452,Superman Returns,Legendary Pictures
33,1452,Superman Returns,Warner Bros.
34,1452,Superman Returns,Bad Hat Harry Productions
35,10764,Quantum of Solace,Eon Productions
36,58,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Pictures
37,58,Pirates of the Caribbean: Dead Man's Chest,Jerry Bruckheimer Films
38,58,Pirates of the Caribbean: Dead Man's Chest,Second Mate Productions
39,57201,The Lone Ranger,Walt Disney Pictures
40,57201,The Lone Ranger,Jerry Bruckheimer Films
41,57201,The Lone Ranger,Infinitum Nihil
42,57201,The Lone Ranger,Silver Bullet Productions (II)
43,57201,The Lone Ranger,Blind Wink Productions
44,57201,The Lone Ranger,Classic Media
45,49521,Man of Steel,Legendary Pictures
46,49521,Man of Steel,Warner Bros.
47,49521,Man of Steel,DC Entertainment
48,49521,Man of Steel,Syncopy
49,49521,Man of Steel,Cruel and Unusual Films
50,2454,The Chronicles of Narnia: Prince Caspian,Walt Disney
51,2454,The Chronicles of Narnia: Prince Caspian,Walden Media
52,2454,The Chronicles of Narnia: Prince Caspian,Stillking Films
53,2454,The Chronicles of Narnia: Prince Caspian,Ozumi Films
54,2454,The Chronicles of Narnia: Prince Caspian,Propeler
55,2454,The Chronicles of Narnia: Prince Caspian,Silverbell Films
56,2454,The Chronicles of Narnia: Prince Caspian,Revolution Sun Studios
57,24428,The Avengers,Paramount Pictures
58,24428,The Avengers,Marvel Studios
59,1865,Pirates of the Caribbean: On Stranger Tides,Walt Disney Pictures
60,1865,Pirates of the Caribbean: On Stranger Tides,Jerry Bruckheimer Films
61,1865,Pirates of the Caribbean: On Stranger Tides,Moving Picture Company (MPC)
62,41154,Men in Black 3,Amblin Entertainment
63,41154,Men in Black 3,Media Magik Entertainment
64,41154,Men in Black 3,Imagenation Abu Dhabi FZ
65,41154,Men in Black 3,Hemisphere Media Capital
66,41154,Men in Black 3,Parkes/MacDonald Productions
67,122917,The Hobbit: The Battle of the Five Armies,WingNut Films
68,122917,The Hobbit: The Battle of the Five Armies,New Line Cinema
69,122917,The Hobbit: The Battle of the Five Armies,Warner Bros. Pictures
70,122917,The Hobbit: The Battle of the Five Armies,3Foot7
71,122917,The Hobbit: The Battle of the Five Armies,Metro-Goldwyn-Mayer (MGM)
72,1930,The Amazing Spider-Man,Columbia Pictures
73,1930,The Amazing Spider-Man,Laura Ziskin Productions
74,1930,The Amazing Spider-Man,Marvel Entertainment
75,20662,Robin Hood,Imagine Entertainment
76,20662,Robin Hood,Universal Pictures
77,20662,Robin Hood,Scott Free Productions
78,20662,Robin Hood,Relativity Media
79,57158,The Hobbit: The Desolation of Smaug,WingNut Films
80,57158,The Hobbit: The Desolation of Smaug,New Line Cinema
81,57158,The Hobbit: The Desolation of Smaug,Warner Bros. Pictures
82,57158,The Hobbit: The Desolation of Smaug,Metro-Goldwyn-Mayer (MGM)
83,2268,The Golden Compass,New Line Cinema
84,2268,The Golden Compass,Ingenious Film Partners
85,2268,The Golden Compass,Depth of Field
86,2268,The Golden Compass,Scholastic Productions
87,254,King Kong,WingNut Films
88,254,King Kong,Universal Pictures
89,254,King Kong,Big Primate Pictures
90,254,King Kong,MFPV Film
91,597,Titanic,Paramount Pictures
92,597,Titanic,Twentieth Century Fox Film Corporation
93,597,Titanic,Lightstorm Entertainment
94,271110,Captain America: Civil War,Studio Babelsberg
95,271110,Captain America: Civil War,Marvel Studios
96,271110,Captain America: Civil War,Walt Disney Studios Motion Pictures
97,271110,Captain America: Civil War,Vita-Ray Dutch Productions (III)
98,271110,Captain America: Civil War,Deluxe Digital Studios
99,44833,Battleship,Universal Pictures
100,44833,Battleship,Hasbro
101,44833,Battleship,Bluegrass Films
102,44833,Battleship,Film 44
103,135397,Jurassic World,Universal Studios
104,135397,Jurassic World,Amblin Entertainment
105,135397,Jurassic World,Legendary Pictures
106,135397,Jurassic World,Fuji Television Network
107,135397,Jurassic World,Dentsu
108,37724,Skyfall,Columbia Pictures
109,558,Spider-Man 2,Columbia Pictures
110,558,Spider-Man 2,Laura Ziskin Productions
111,558,Spider-Man 2,Marvel Enterprises
112,68721,Iron Man 3,Marvel Studios
113,12155,Alice in Wonderland,Walt Disney Pictures
114,12155,Alice in Wonderland,Team Todd
115,12155,Alice in Wonderland,Tim Burton Productions
116,12155,Alice in Wonderland,Roth Films
117,12155,Alice in Wonderland,"Zanuck Company, The"
118,36668,X-Men: The Last Stand,Ingenious Film Partners
119,36668,X-Men: The Last Stand,Twentieth Century Fox Film Corporation
120,36668,X-Men: The Last Stand,Donners' Company
121,36668,X-Men: The Last Stand,Dune Entertainment
122,36668,X-Men: The Last Stand,Major Studio Partners
123,36668,X-Men: The Last Stand,Bad Hat Harry Productions
124,36668,X-Men: The Last Stand,thinkfilm
125,36668,X-Men: The Last Stand,Marvel Enterprises
126,36668,X-Men: The Last Stand,X3 Canada Productions
127,36668,X-Men: The Last Stand,X3US Productions
128,36668,X-Men: The Last Stand,XM3 Service
129,62211,Monsters University,Walt Disney Pictures
130,62211,Monsters University,Pixar Animation Studios
131,8373,Transformers: Revenge of the Fallen,Paramount Pictures
132,8373,Transformers: Revenge of the Fallen,DreamWorks SKG
133,8373,Transformers: Revenge of the Fallen,Amblin Entertainment
134,8373,Transformers: Revenge of the Fallen,Di Bonaventura Pictures
135,8373,Transformers: Revenge of the Fallen,Platinum Dunes
136,8373,Transformers: Revenge of the Fallen,Hasbro Studios
137,8373,Transformers: Revenge of the Fallen,Revolution Sun Studios
138,91314,Transformers: Age of Extinction,Paramount Pictures
139,91314,Transformers: Age of Extinction,Amblin Entertainment
140,91314,Transformers: Age of Extinction,Di Bonaventura Pictures
141,91314,Transformers: Age of Extinction,Platinum Dunes
142,91314,Transformers: Age of Extinction,China Movie Channel
143,91314,Transformers: Age of Extinction,Hasbro Studios
144,91314,Transformers: Age of Extinction,Ian Bryce Productions
145,91314,Transformers: Age of Extinction,Revolution Sun Studios
146,68728,Oz: The Great and Powerful,Walt Disney Pictures
147,68728,Oz: The Great and Powerful,Roth Films
148,102382,The Amazing Spider-Man 2,Columbia Pictures
149,102382,The Amazing Spider-Man 2,Marvel Enterprises
150,102382,The Amazing Spider-Man 2,Avi Arad Productions
151,102382,The Amazing Spider-Man 2,Matt Tolmach Productions
152,20526,TRON: Legacy,Walt Disney Pictures
153,20526,TRON: Legacy,LivePlanet
154,20526,TRON: Legacy,Prana Studios
155,20526,TRON: Legacy,Sean Bailey Productions
156,20526,TRON: Legacy,Revolution Sun Studios
157,20526,TRON: Legacy,Kontsept Film Company
158,49013,Cars 2,Walt Disney Pictures
159,49013,Cars 2,Pixar Animation Studios
160,44912,Green Lantern,De Line Pictures
161,44912,Green Lantern,Warner Bros.
162,44912,Green Lantern,DC Entertainment
163,10193,Toy Story 3,Walt Disney Pictures
164,10193,Toy Story 3,Pixar Animation Studios
165,534,Terminator Salvation,Columbia Pictures
166,534,Terminator Salvation,The Halcyon Company
167,534,Terminator Salvation,Wonderland Sound and Vision
168,534,Terminator Salvation,Warner Bros.
169,168259,Furious 7,Universal Pictures
170,168259,Furious 7,Original Film
171,168259,Furious 7,Fuji Television Network
172,168259,Furious 7,Dentsu
173,168259,Furious 7,One Race Films
174,168259,Furious 7,China Film Co.
175,168259,Furious 7,Québec Production Services Tax Credit
176,168259,Furious 7,Media Rights Capital (MRC)
177,168259,Furious 7,Abu Dhabi Film Commission
178,168259,Furious 7,"Colorado Office of Film, Television & Media"
179,72190,World War Z,Paramount Pictures
180,72190,World War Z,GK Films
181,72190,World War Z,Skydance Productions
182,72190,World War Z,Hemisphere Media Capital
183,72190,World War Z,Apparatus Productions
184,72190,World War Z,Latina Pictures
185,72190,World War Z,2DUX²
186,127585,X-Men: Days of Future Past,Twentieth Century Fox Film Corporation
187,127585,X-Men: Days of Future Past,Donners' Company
188,127585,X-Men: Days of Future Past,Marvel Entertainment
189,127585,X-Men: Days of Future Past,Bad Hat Harry Productions
190,127585,X-Men: Days of Future Past,TSG Entertainment
191,127585,X-Men: Days of Future Past,Down Productions
192,127585,X-Men: Days of Future Past,Revolution Sun Studios
193,54138,Star Trek Into Darkness,Paramount Pictures
194,54138,Star Trek Into Darkness,Skydance Productions
195,54138,Star Trek Into Darkness,Bad Robot
196,54138,Star Trek Into Darkness,Kurtzman/Orci
197,81005,Jack the Giant Slayer,New Line Cinema
198,81005,Jack the Giant Slayer,Original Film
199,81005,Jack the Giant Slayer,Legendary Pictures
200,81005,Jack the Giant Slayer,Warner Bros.
201,81005,Jack the Giant Slayer,Big Kid Pictures
202,81005,Jack the Giant Slayer,Bad Hat Harry Productions
203,64682,The Great Gatsby,Village Roadshow Pictures
204,64682,The Great Gatsby,Bazmark Films
205,64682,The Great Gatsby,Warner Bros.
206,64682,The Great Gatsby,A&E Television Networks
207,64682,The Great Gatsby,Red Wagon Entertainment
208,64682,The Great Gatsby,Spectrum Films
209,9543,Prince of Persia: The Sands of Time,Walt Disney Pictures
210,9543,Prince of Persia: The Sands of Time,Jerry Bruckheimer Films
211,68726,Pacific Rim,Legendary Pictures
212,68726,Pacific Rim,Warner Bros.
213,68726,Pacific Rim,Disney Double Dare You (DDY)
214,68726,Pacific Rim,Indochina Productions
215,38356,Transformers: Dark of the Moon,Paramount Pictures
216,38356,Transformers: Dark of the Moon,Di Bonaventura Pictures
217,38356,Transformers: Dark of the Moon,Indochina Productions
218,38356,Transformers: Dark of the Moon,Hasbro Studios
219,217,Indiana Jones and the Kingdom of the Crystal Skull,Lucasfilm
220,217,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures
221,105864,The Good Dinosaur,Walt Disney Pictures
222,105864,The Good Dinosaur,Pixar Animation Studios
223,62177,Brave,Walt Disney Pictures
224,62177,Brave,Pixar Animation Studios
225,188927,Star Trek Beyond,Paramount Pictures
226,188927,Star Trek Beyond,Bad Robot
227,188927,Star Trek Beyond,Perfect Storm Entertainment
228,188927,Star Trek Beyond,Alibaba Pictures Group
229,188927,Star Trek Beyond,Skydance Media
230,188927,Star Trek Beyond,Sneaky Shark
231,188927,Star Trek Beyond,Huahua Media
232,10681,WALL·E,Walt Disney Pictures
233,10681,WALL·E,Pixar Animation Studios
234,10681,WALL·E,FortyFour Studios
235,5174,Rush Hour 3,New Line Cinema
236,14161,2012,Columbia Pictures
237,14161,2012,Centropolis Entertainment
238,14161,2012,The Mark Gordon Company
239,14161,2012,Farewell Productions
240,17979,A Christmas Carol,Walt Disney
241,17979,A Christmas Carol,ImageMovers
