Player,Team,Pos,GP,W,CTR,K,D,A,KDA,KP,KS,DTH,FB,GD10,XPD10,CSD10,CSPM,CSP15,DPM,DMG,EGPM,GOLD,WPM,WCPM
369,Top Esports,Top,15.00,0.60,0.53,40.00,33.00,64.00,3.20,0.52,0.20,0.21,0.13,167.00,76.00,2.10,8.30,0.25,452.00,0.23,266.00,0.23,0.41,0.22
AHaHaCiK,Unicorns Of Love.CIS,Jungle,6.00,0.00,0.50,13.00,32.00,23.00,1.10,0.64,0.23,0.23,0.50,-266.00,-561.00,-9.00,5.40,0.18,381.00,0.19,189.00,0.20,0.32,0.31
Angel,Suning,Middle,19.00,0.63,0.63,64.00,40.00,123.00,4.70,0.66,0.23,0.17,0.37,15.00,-84.00,-0.30,8.20,0.21,466.00,0.22,259.00,0.21,0.44,0.24
Bdd,Gen.G,Middle,9.00,0.56,0.44,26.00,24.00,44.00,2.90,0.59,0.22,0.16,0.00,95.00,-27.00,5.70,8.30,0.24,428.00,0.22,280.00,0.24,0.45,0.23
BeryL,DWG KIA,Support,17.00,0.82,0.65,22.00,45.00,124.00,3.20,0.52,0.08,0.27,0.24,41.00,10.00,0.80,1.50,0.04,192.00,0.09,122.00,0.10,1.73,0.60
Bin,Suning,Top,19.00,0.63,0.63,74.00,55.00,98.00,3.10,0.60,0.26,0.23,0.32,39.00,58.00,-1.80,8.50,0.26,539.00,0.25,299.00,0.25,0.42,0.14
Biofrost,TSM,Support,6.00,0.00,0.33,3.00,18.00,26.00,1.60,0.60,0.06,0.21,0.00,-287.00,-13.00,0.00,1.20,0.03,112.00,0.07,76.00,0.08,1.73,0.50
Bjergsen,TSM,Middle,6.00,0.00,0.67,10.00,15.00,21.00,2.10,0.65,0.21,0.18,0.17,-199.00,-78.00,-7.30,8.40,0.27,322.00,0.21,234.00,0.24,0.38,0.16
BOSS,Unicorns Of Love.CIS,Top,6.00,0.00,0.33,15.00,28.00,17.00,1.10,0.57,0.27,0.20,0.33,-218.00,-100.00,-9.20,6.80,0.21,384.00,0.19,199.00,0.21,0.45,0.14
Broken Blade,TSM,Top,6.00,0.00,0.33,13.00,18.00,16.00,1.60,0.60,0.27,0.21,0.17,77.00,6.00,-2.70,7.10,0.23,366.00,0.24,220.00,0.24,0.47,0.18
Broxah,Team Liquid,Jungle,6.00,0.50,0.67,13.00,10.00,42.00,5.50,0.71,0.17,0.16,0.50,134.00,252.00,0.80,6.10,0.18,298.00,0.16,209.00,0.19,0.50,0.31
Bruce,Machi Esports,ADC,6.00,0.17,0.33,8.00,18.00,23.00,1.70,0.57,0.15,0.18,0.00,29.00,47.00,6.50,9.00,0.30,477.00,0.29,261.00,0.27,0.40,0.38
Bwipo,Fnatic,Top,11.00,0.55,0.45,23.00,25.00,54.00,3.10,0.59,0.18,0.23,0.09,-294.00,-149.00,-4.80,8.10,0.24,424.00,0.26,256.00,0.23,0.42,0.14
Canyon,DWG KIA,Jungle,17.00,0.82,0.47,87.00,27.00,108.00,7.20,0.69,0.31,0.16,0.29,186.00,416.00,7.70,7.00,0.21,471.00,0.22,276.00,0.22,0.38,0.43
Caps,G2 Esports,Middle,14.00,0.57,0.57,62.00,40.00,104.00,4.20,0.73,0.27,0.19,0.29,-120.00,-1.00,-4.70,8.40,0.24,555.00,0.26,280.00,0.24,0.33,0.17
Chovy,DRX,Middle,9.00,0.44,0.56,16.00,12.00,37.00,4.40,0.52,0.16,0.14,0.33,181.00,215.00,7.10,9.60,0.27,367.00,0.19,275.00,0.24,0.41,0.23
Clid,Gen.G,Jungle,9.00,0.56,0.56,23.00,31.00,52.00,2.40,0.64,0.20,0.21,0.22,-139.00,9.00,1.40,6.10,0.19,343.00,0.18,219.00,0.19,0.87,0.51
CoreJJ,Team Liquid,Support,6.00,0.50,0.33,8.00,13.00,46.00,4.20,0.69,0.10,0.20,0.67,113.00,-169.00,0.70,1.60,0.05,212.00,0.11,117.00,0.11,1.73,0.75
Deft,DRX,ADC,9.00,0.44,0.11,16.00,14.00,50.00,4.70,0.64,0.16,0.16,0.11,52.00,-26.00,3.00,9.10,0.27,490.00,0.26,278.00,0.24,0.51,0.27
Doran,DRX,Top,9.00,0.44,0.89,22.00,19.00,43.00,3.40,0.63,0.21,0.21,0.33,102.00,69.00,2.20,8.70,0.24,508.00,0.27,262.00,0.23,0.44,0.19
Doublelift,TSM,ADC,6.00,0.00,0.50,11.00,21.00,16.00,1.30,0.56,0.23,0.25,0.17,-274.00,-234.00,-5.20,8.40,0.28,445.00,0.28,231.00,0.25,0.38,0.33
Finn,Rogue,Top,6.00,0.17,0.67,9.00,20.00,22.00,1.60,0.59,0.17,0.23,0.17,-345.00,17.00,-6.50,7.30,0.24,335.00,0.25,215.00,0.22,0.42,0.17
