country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,120216,4962.0,71012.0,44242.0,1124.0,3021,125.0,612112.0,15381.0,39797047
Albania,Europe,132521,2456.0,130009.0,56.0,3.0,46100,854.0,805546.0,280223.0,2874665
Algeria,Africa,139626,3716.0,97089.0,38821.0,32.0,3128,83.0,230861.0,5172.0,44636630
Andorra,Europe,13911,127.0,13720.0,64.0,3.0,179757,1641.0,193595.0,2501615.0,77388
Angola,Africa,38849,900.0,33242.0,4707.0,11.0,1147,27.0,648883.0,19154.0,33876821
Anguilla,North America,109,,109.0,0.0,,7201,,22201.0,1466768.0,15136
Antigua And Barbuda,North America,1263,42.0,1221.0,0.0,,12792,425.0,16700.0,169140.0,98735
Argentina,South America,4470374,94304.0,4076921.0,299149.0,6308.0,98017,2068.0,16695671.0,366067.0,45608189
Armenia,Asia,225221,4517.0,216882.0,3822.0,,75864,1522.0,1188922.0,400478.0,2968760
Aruba,North America,11138,107.0,11001.0,30.0,14.0,103883,998.0,177077.0,1651576.0,107217
Australia,Australia/Oceania,30642,910.0,29358.0,374.0,1.0,1188,35.0,20804647.0,806572.0,25793922
Austria,Europe,650412,10702.0,637751.0,1959.0,60.0,71809,1182.0,55096277.0,6082917.0,9057542
Azerbaijan,Asia,336047,4974.0,330219.0,854.0,,32849,486.0,3749303.0,366499.0,10230060
Bahamas,North America,12586,246.0,11544.0,796.0,3.0,31704,620.0,106472.0,268205.0,396980
Bahrain,Asia,265827,1352.0,261287.0,3188.0,79.0,151040,768.0,5038697.0,2862935.0,1759976
Bangladesh,Asia,913258,14503.0,816250.0,82505.0,1190.0,5491,87.0,6608927.0,39736.0,166320679
Barbados,North America,4081,47.0,3999.0,35.0,,14184,163.0,185776.0,645670.0,287726
Belarus,Europe,417189,3143.0,409797.0,4249.0,,44165,333.0,6795494.0,719387.0,9446226
