"","text","date","topic","sentiment","country","city_ascii","lat","lng"
"1","@IanMCalvert @BillMew MSM reports Cisco vulnerabilities.  Huge catastrophic ones.  Like, um, now.

I need to Google installing Huawei on Android, tho.  That's some next level tech.  Thanks for the heads up!","2019/5/15",1,0.036045581,"United States","Bellevue",41.1535,-95.9357
"2","@2nineA @BillMew Yes - much safer than any US Co!

Cisco has embedded history with CIA &amp; is hacked a lot but MSM never reports it!

Amazon, Apple, Facebook &amp; Google listen in to your convo's/share your details &amp; US allows it!

Oh BTW, #Huawei run on Android, so US/Google is accessing your data!","2019/5/15",2,0.112816953,"United States","Corcoran",45.1089,-93.5837
"3","@dianepiep @Jessie_XL Absolutely! How could you tell?https://t.co/j6hzy0DnTa:","2019/5/15",4,0,"India","Jodhpur",26.2918,73.0168
"4","The only reason I'm still considering the Samsung Galaxy Note 10 is for the S-pen. Otherwise there are much better options out there. #Samsung #note10 #samsunggalaxynote9 #samsunggalaxy #GoogleIO2019 #google #huawei #Android https://t.co/TT5g2MIsUj","2019/5/15",3,0.180033583,"China","Jiujiang",29.73,115.98
"5","@GandaraNgVball Huawei, Samsung, and Google are the only android phones that can match Apple.","2019/5/15",4,0,"United States","Wood Dale",41.9666,-87.9808
"6","Wrost hospital in area... Dear CM sahab @mlkhattar @cmohry please shut down all irresponsible hospitals in area. 2 days earlier my younger brother lost his life in Pushpanjali Hospital.

Rajesh Pilot Chowk, Rewari, Haryana 123401
01274 260 021

https://t.co/QrKkP5XZtK","2019/5/15",4,-0.024872165,"Comoros","Moroni",-11.7042,43.2402
"7","Night-shift with a bit of heart80s and Rick Astley https://t.co/wu45ee0KYW","2019/5/15",1,0,"Cambodia","Kompong Chhnang",12.2505,104.6666
"8","Best smartphone 2019: iPhone, Huawei, Samsung and Google compared and ranked
https://t.co/rFpTzy271i","2019/5/15",4,0.232379001,"United Kingdom","Ashton-under-Lyne",53.5,-2.1
"9","Realme X launched in China The OnePlus 7 Killer
#smartphones #iphone #s #smartphone #samsung #oneplus #xiaomi #android #apple #technology #mobile #google #tech #huawei #instagram #celulares #plus #f #ios #oppo #vivo #honor #iphonex #sony #lenovo #pro #lg https://t.co/6ZlZA5L3FX https://t.co/rOyRFNdecf","2019/5/15",3,0.201246118,"China","Xiaogan",30.9204,113.9
"10","@cherpake @HilzFuld Links to Chinese Government - proof please?

That's becoming a security risk - proof please?

Oh and one thing, remember that #Huawei runs on Android OS which is owned by Google - a US Tech Co - which tracks &amp; sells your data plus listens to calls!

Remind how Google is safer?","2019/5/15",2,0.067816953,"United States","Palos Verdes Estates",33.7871,-118.3976
"11","This is a really interesting development. The US hasn__ been very persuasive in getting allies not to buy Huawei. So now they are going after Huawei__ US suppliers. Huawei is the world__ second largest purveyor of phones using Google__ Android system.  https://t.co/70SQP5g7j7","2019/5/15",1,0.107453537,"United States","Dover",39.1603,-75.5203
"12","mhj Professional House Movers, Furniture Movers, offic movers Dubai#mhjmovers.ae#furniture#movers#dubai#house#movers#dubai#office#movers#dubai#home#movers#dubai#removal#service#dubai

Dubai - United Arab Emirates
+971 56 692 6120 https://t.co/ZhrvLynn1M https://t.co/yD7sF2bx8x","2019/5/15",3,0.162018517,"United States","Diamond Bar",33.9992,-117.8161
"13","@pauldotm @James_Jeffrey @LyndsayFarlow To be fair Scott has said a bit about stewardship: https://t.co/IbFTPMC4u4","2019/5/15",1,0.1720618,"United States","Anchorage",61.1508,-149.1091
"14","Trump Telecom Ban Takes Aim at China, Huawei https://t.co/ekwSTtoZRP

#china #htc #huawei #Xiaomi #mobile #android #google #wireless #4g #5g #lte https://t.co/YT5RzSlZSp","2019/5/15",1,-0.066143783,"China","Dalian",38.9228,121.6298
"15","@HbdNrx Unfortunately Huawei hardly has a choice but to sell its soul and ally with Google Android.","2019/5/16",4,0.145618389,"United States","Versailles",38.0488,-84.726
"16","you no if Google would have never made Android where would smartphones be today there would be no Samsung LG Motorola Huawei one plus so these companies owe their life to Google because they wouldn't be where they are today without them","2019/5/16",2,0,"India","Burhanpur",21.3004,76.13
"17","@Brad_Setser There__ a number of non-US based android software/services vendors that do per-device customization and bringup that aren__ the device companies themselves, and can possibly get their own agreements with Google.  Now, I don__ know what this news means for them working w/ Huawei.","2019/5/16",4,0.034668762,"United States","Washington",38.9047,-77.0163
