,X,text,date,topic,sentiment
1,1,"@IanMCalvert @BillMew MSM reports Cisco vulnerabilities.  Huge catastrophic ones.  Like, um, now.

I need to Google installing Huawei on Android, tho.  That's some next level tech.  Thanks for the heads up!",2019-05-15,1,0.0360455813040179
2,2,"@2nineA @BillMew Yes - much safer than any US Co!

Cisco has embedded history with CIA &amp; is hacked a lot but MSM never reports it!

Amazon, Apple, Facebook &amp; Google listen in to your convo's/share your details &amp; US allows it!

Oh BTW, #Huawei run on Android, so US/Google is accessing your data!",2019-05-15,2,0.112816953129542
3,3,@dianepiep @Jessie_XL Absolutely! How could you tell?https://t.co/j6hzy0DnTa:,2019-05-15,4,0
4,4,The only reason I'm still considering the Samsung Galaxy Note 10 is for the S-pen. Otherwise there are much better options out there. #Samsung #note10 #samsunggalaxynote9 #samsunggalaxy #GoogleIO2019 #google #huawei #Android https://t.co/TT5g2MIsUj,2019-05-15,3,0.180033583074658
5,5,"@GandaraNgVball Huawei, Samsung, and Google are the only android phones that can match Apple.",2019-05-15,4,0
6,6,"Wrost hospital in area... Dear CM sahab @mlkhattar @cmohry please shut down all irresponsible hospitals in area. 2 days earlier my younger brother lost his life in Pushpanjali Hospital.

Rajesh Pilot Chowk, Rewari, Haryana 123401
01274 260 021

https://t.co/QrKkP5XZtK",2019-05-15,4,-0.0248721647464825
7,7,Night-shift with a bit of heart80s and Rick Astley https://t.co/wu45ee0KYW,2019-05-15,1,0
8,8,"Best smartphone 2019: iPhone, Huawei, Samsung and Google compared and ranked
https://t.co/rFpTzy271i",2019-05-15,4,0.232379000772445
9,9,"Realme X launched in China The OnePlus 7 Killer
#smartphones #iphone #s #smartphone #samsung #oneplus #xiaomi #android #apple #technology #mobile #google #tech #huawei #instagram #celulares #plus #f #ios #oppo #vivo #honor #iphonex #sony #lenovo #pro #lg https://t.co/6ZlZA5L3FX https://t.co/rOyRFNdecf",2019-05-15,3,0.201246117974981
10,10,"@cherpake @HilzFuld Links to Chinese Government - proof please?

That's becoming a security risk - proof please?

Oh and one thing, remember that #Huawei runs on Android OS which is owned by Google - a US Tech Co - which tracks &amp; sells your data plus listens to calls!

Remind how Google is safer?",2019-05-15,2,0.0678169533872359
11,11,This is a really interesting development. The US hasn__ been very persuasive in getting allies not to buy Huawei. So now they are going after Huawei__ US suppliers. Huawei is the world__ second largest purveyor of phones using Google__ Android system.  https://t.co/70SQP5g7j7,2019-05-15,1,0.107453537444117
