"city","city_ascii","state_id","State","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","Total_Payments"
"Prattville","Prattville","AL","Alabama",1001,"Autauga",32.4604,-86.4589,35498,35498,405,"polygon",TRUE,"America/Chicago","36066 36067 36068",1840004086,54000
"Fairhope","Fairhope","AL","Alabama",1003,"Baldwin",30.5221,-87.8817,20935,20935,580,"polygon",TRUE,"America/Chicago","36532",1840002039,192061
"Foley","Foley","AL","Alabama",1003,"Baldwin",30.3987,-87.6646,33113,18288,221,"polygon",TRUE,"America/Chicago","36535 36530 36536",1840002084,36000
"Daphne","Daphne","AL","Alabama",1003,"Baldwin",30.6291,-87.8872,69065,25960,608,"polygon",TRUE,"America/Chicago","36527 36526",1840006178,46085.05
"Louisville","Louisville","AL","Alabama",1005,"Barbour",31.781,-85.5583,468,468,65,"polygon",TRUE,"America/Chicago","36048",1840003795,1700125.68
"Clayton","Clayton","AL","Alabama",1005,"Barbour",31.8822,-85.4604,2871,2871,163,"polygon",TRUE,"America/Chicago","36016",1840001251,37891.63
"Eufaula","Eufaula","AL","Alabama",1005,"Barbour",31.9102,-85.1505,8727,12044,78,"polygon",TRUE,"America/Chicago","36027 36072",1840001685,18000
"Centreville","Centreville","AL","Alabama",1007,"Bibb",32.9597,-87.1334,2680,2680,109,"polygon",TRUE,"America/Chicago","35042",1840007089,190149.27
"Woodstock","Woodstock","AL","Alabama",1007,"Bibb",33.2194,-87.1489,4094,1596,87,"polygon",TRUE,"America/Chicago","35188 35111",1840016895,464014.59
"Oneonta","Oneonta","AL","Alabama",1009,"Blount",33.9392,-86.4929,5432,6638,162,"polygon",TRUE,"America/Chicago","35121",1840005206,79865.17
"Cleveland","Cleveland","AL","Alabama",1009,"Blount",33.9965,-86.5671,1308,1308,64,"polygon",TRUE,"America/Chicago","35049 35121",1840016718,16945535.16
"Hayden","Hayden","AL","Alabama",1009,"Blount",33.882,-86.7839,1348,1348,129,"polygon",TRUE,"America/Chicago","35180 35079",1840015601,18000
"Midway","Midway","AL","Alabama",1011,"Bullock",32.0764,-85.5244,465,465,54,"polygon",TRUE,"America/Chicago","36053",1840017020,18000
"Greenville","Greenville","AL","Alabama",1013,"Butler",31.8437,-86.6379,5652,7632,137,"polygon",TRUE,"America/Chicago","36037",1840003498,1417797.1
"Ohatchee","Ohatchee","AL","Alabama",1015,"Calhoun",33.7877,-86.0278,1157,1157,75,"polygon",TRUE,"America/Chicago","36271",1840016782,18000
"Piedmont","Piedmont","AL","Alabama",1015,"Calhoun",33.9267,-85.6157,3471,4618,181,"polygon",TRUE,"America/Chicago","36272",1840014781,107230.5
"Oxford","Oxford","AL","Alabama",1015,"Calhoun",33.5967,-85.8691,21180,21180,257,"polygon",TRUE,"America/Chicago","36260 36203 36253",1840014780,197404.16
"Jacksonville","Jacksonville","AL","Alabama",1015,"Calhoun",33.8088,-85.7544,12612,12612,444,"polygon",TRUE,"America/Chicago","36265",1840007433,2011507.94
"Anniston","Anniston","AL","Alabama",1015,"Calhoun",33.6713,-85.8136,75169,21770,184,"polygon",TRUE,"America/Chicago","36201 36206 36207 36205 36204",1840006563,36000
"Lafayette","Lafayette","AL","Alabama",1017,"Chambers",32.8997,-85.4007,2944,2944,128,"polygon",TRUE,"America/Chicago","36862",1840008339,949325.07
"Valley","Valley","AL","Alabama",1017,"Chambers",32.8086,-85.1792,20183,9259,305,"polygon",TRUE,"America/Chicago","36854 36872",1840015760,54000
"Leesburg","Leesburg","AL","Alabama",1019,"Cherokee",34.1838,-85.7753,1021,1021,61,"polygon",TRUE,"America/Chicago","35983",1840016636,360000
"Centre","Centre","AL","Alabama",1019,"Cherokee",34.1553,-85.6707,3716,3498,118,"polygon",TRUE,"America/Chicago","35960",1840001099,54000
"Clanton","Clanton","AL","Alabama",1021,"Chilton",32.8439,-86.623,5876,8756,147,"polygon",TRUE,"America/Chicago","35045 35046",1840006157,90000
"Needham","Needham","AL","Alabama",1023,"Choctaw",31.987,-88.3366,88,88,59,"polygon",TRUE,"America/Chicago","36915 36921",1840017018,369919.77
"Pennington","Pennington","AL","Alabama",1023,"Choctaw",32.1993,-88.0494,208,208,40,"polygon",TRUE,"America/Chicago","36916",1840017019,72000
"Butler","Butler","AL","Alabama",1023,"Choctaw",32.0951,-88.214,1738,1738,120,"polygon",TRUE,"America/Chicago","36904",1840015823,144000
"Jackson","Jackson","AL","Alabama",1025,"Clarke",31.5318,-87.8915,2675,4790,118,"polygon",TRUE,"America/Chicago","36545",1840014935,3455351.54
"Fulton","Fulton","AL","Alabama",1025,"Clarke",31.7916,-87.7397,255,255,40,"polygon",TRUE,"America/Chicago","36446 36451",1840002425,188197.96
"Thomasville","Thomasville","AL","Alabama",1025,"Clarke",31.9111,-87.7418,3076,3943,174,"polygon",TRUE,"America/Chicago","36784",1840015849,504000
