"region","Total_Payments","code"
"Alabama",24516789,"AL"
"Alaska",1756298,"AK"
"Arizona",30400440,"AZ"
"Arkansas",12802055,"AR"
"California",146081858,"CA"
"Colorado",30289787,"CO"
"Connecticut",25337839,"CT"
"Delaware",8274147,"DE"
"District of columbia",5981978,"DC"
"Florida",111917666,"FL"
"Georgia",40923653,"GA"
"Hawaii",7373122,"HI"
"Idaho",7152942,"ID"
"Illinois",104333377,"IL"
"Indiana",37357961,"IN"
"Iowa",25603624,"IA"
"Kansas",19975605,"KS"
"Kentucky",23529597,"KY"
"Louisiana",20036813,"LA"
"Maine",7349926,"ME"
"Maryland",36975205,"MD"
"Massachusetts",84226491,"MA"
"Michigan",70523646,"MI"
"Minnesota",71094413,"MN"
"Mississippi",10631196,"MS"
"Missouri",43336504,"MO"
"Montana",5639731,"MT"
"Nebraska",15357892,"NE"
"Nevada",10262494,"NV"
"New hampshire",18914959,"NH"
"New jersey",61886812,"NJ"
"New mexico",6284709,"NM"
"New york",112908210,"NY"
"North carolina",64550338,"NC"
"North dakota",6291793,"ND"
"Ohio",81683301,"OH"
"Oklahoma",18496056,"OK"
"Oregon",33409009,"OR"
"Pennsylvania",112378636,"PA"
"Rhode island",7344020,"RI"
"South carolina",22004943,"SC"
"South dakota",8451700,"SD"
"Tennessee",34657449,"TN"
"Texas",114584227,"TX"
"Utah",16875767,"UT"
"Vermont",3532884,"VT"
"Virginia",57788995,"VA"
"Washington",45165163,"WA"
"West virginia",12249057,"WV"
"Wisconsin",61238754,"WI"
"Wyoming",2799451,"WY"
