"city","city_ascii","state_id","State","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","Total_Payments"
"Prattville","Prattville","AL","Alabama",1001,"Autauga",32.4604,-86.4589,35498,35498,405,"polygon",TRUE,"America/Chicago","36066 36067 36068",1840004086,421080
"Fairhope","Fairhope","AL","Alabama",1003,"Baldwin",30.5221,-87.8817,20935,20935,580,"polygon",TRUE,"America/Chicago","36532",1840002039,2054134.1
"Elberta","Elberta","AL","Alabama",1003,"Baldwin",30.3847,-87.5886,1714,1714,96,"polygon",TRUE,"America/Chicago","36530",1840017125,75200
"Robertsdale","Robertsdale","AL","Alabama",1003,"Baldwin",30.5533,-87.706,8784,6098,431,"polygon",TRUE,"America/Chicago","36567",1840014981,119300
"Foley","Foley","AL","Alabama",1003,"Baldwin",30.3987,-87.6646,33113,18288,221,"polygon",TRUE,"America/Chicago","36535 36530 36536",1840002084,956100
"Daphne","Daphne","AL","Alabama",1003,"Baldwin",30.6291,-87.8872,69065,25960,608,"polygon",TRUE,"America/Chicago","36527 36526",1840006178,1145007.09
"Louisville","Louisville","AL","Alabama",1005,"Barbour",31.781,-85.5583,468,468,65,"polygon",TRUE,"America/Chicago","36048",1840003795,30720087.76
"Clayton","Clayton","AL","Alabama",1005,"Barbour",31.8822,-85.4604,2871,2871,163,"polygon",TRUE,"America/Chicago","36016",1840001251,1095960.57
"Eufaula","Eufaula","AL","Alabama",1005,"Barbour",31.9102,-85.1505,8727,12044,78,"polygon",TRUE,"America/Chicago","36027 36072",1840001685,103980
"Clio","Clio","AL","Alabama",1005,"Barbour",31.7085,-85.6109,1476,1476,56,"polygon",TRUE,"America/Chicago","36017",1840014926,118680
"Centreville","Centreville","AL","Alabama",1007,"Bibb",32.9597,-87.1334,2680,2680,109,"polygon",TRUE,"America/Chicago","35042",1840007089,1257089.24
"Woodstock","Woodstock","AL","Alabama",1007,"Bibb",33.2194,-87.1489,4094,1596,87,"polygon",TRUE,"America/Chicago","35188 35111",1840016895,3382124.11
"Blountsville","Blountsville","AL","Alabama",1009,"Blount",34.0814,-86.5867,1670,1670,118,"polygon",TRUE,"America/Chicago","35031",1840015600,32700
"Oneonta","Oneonta","AL","Alabama",1009,"Blount",33.9392,-86.4929,5432,6638,162,"polygon",TRUE,"America/Chicago","35121",1840005206,1218973.35
"Cleveland","Cleveland","AL","Alabama",1009,"Blount",33.9965,-86.5671,1308,1308,64,"polygon",TRUE,"America/Chicago","35049 35121",1840016718,57673339.09
"Hayden","Hayden","AL","Alabama",1009,"Blount",33.882,-86.7839,1348,1348,129,"polygon",TRUE,"America/Chicago","35180 35079",1840015601,188661.46
"Midway","Midway","AL","Alabama",1011,"Bullock",32.0764,-85.5244,465,465,54,"polygon",TRUE,"America/Chicago","36053",1840017020,39800
"Georgiana","Georgiana","AL","Alabama",1013,"Butler",31.6391,-86.7468,1632,1632,101,"polygon",TRUE,"America/Chicago","36033",1840003191,35280
"Greenville","Greenville","AL","Alabama",1013,"Butler",31.8437,-86.6379,5652,7632,137,"polygon",TRUE,"America/Chicago","36037",1840003498,30541394.27
"Ohatchee","Ohatchee","AL","Alabama",1015,"Calhoun",33.7877,-86.0278,1157,1157,75,"polygon",TRUE,"America/Chicago","36271",1840016782,43720
"Piedmont","Piedmont","AL","Alabama",1015,"Calhoun",33.9267,-85.6157,3471,4618,181,"polygon",TRUE,"America/Chicago","36272",1840014781,555302.63
"Oxford","Oxford","AL","Alabama",1015,"Calhoun",33.5967,-85.8691,21180,21180,257,"polygon",TRUE,"America/Chicago","36260 36203 36253",1840014780,2674907.31
"Jacksonville","Jacksonville","AL","Alabama",1015,"Calhoun",33.8088,-85.7544,12612,12612,444,"polygon",TRUE,"America/Chicago","36265",1840007433,42031272.15
"Anniston","Anniston","AL","Alabama",1015,"Calhoun",33.6713,-85.8136,75169,21770,184,"polygon",TRUE,"America/Chicago","36201 36206 36207 36205 36204",1840006563,2398472.77
"Lafayette","Lafayette","AL","Alabama",1017,"Chambers",32.8997,-85.4007,2944,2944,128,"polygon",TRUE,"America/Chicago","36862",1840008339,15815897.4
"Valley","Valley","AL","Alabama",1017,"Chambers",32.8086,-85.1792,20183,9259,305,"polygon",TRUE,"America/Chicago","36854 36872",1840015760,146840
"Waverly","Waverly","AL","Alabama",1017,"Chambers",32.7333,-85.5761,150,150,21,"polygon",TRUE,"America/Chicago","36879",1840016911,514420.61
"Leesburg","Leesburg","AL","Alabama",1019,"Cherokee",34.1838,-85.7753,1021,1021,61,"polygon",TRUE,"America/Chicago","35983",1840016636,7812729.53
"Centre","Centre","AL","Alabama",1019,"Cherokee",34.1553,-85.6707,3716,3498,118,"polygon",TRUE,"America/Chicago","35960",1840001099,243445.36
"Clanton","Clanton","AL","Alabama",1021,"Chilton",32.8439,-86.623,5876,8756,147,"polygon",TRUE,"America/Chicago","35045 35046",1840006157,334960
"Jemison","Jemison","AL","Alabama",1021,"Chilton",32.9696,-86.7339,2627,2627,89,"polygon",TRUE,"America/Chicago","35085",1840014862,30380
"Needham","Needham","AL","Alabama",1023,"Choctaw",31.987,-88.3366,88,88,59,"polygon",TRUE,"America/Chicago","36915 36921",1840017018,2497838.68
"Gilbertown","Gilbertown","AL","Alabama",1023,"Choctaw",31.8758,-88.3195,200,200,99,"polygon",TRUE,"America/Chicago","36908",1840003209,29760
"Pennington","Pennington","AL","Alabama",1023,"Choctaw",32.1993,-88.0494,208,208,40,"polygon",TRUE,"America/Chicago","36916",1840017019,1293923.06
"Toxey","Toxey","AL","Alabama",1023,"Choctaw",31.9107,-88.3092,128,128,72,"polygon",TRUE,"America/Chicago","36921",1840017017,38220
"Butler","Butler","AL","Alabama",1023,"Choctaw",32.0951,-88.214,1738,1738,120,"polygon",TRUE,"America/Chicago","36904",1840015823,2359926.93
"Jackson","Jackson","AL","Alabama",1025,"Clarke",31.5318,-87.8915,2675,4790,118,"polygon",TRUE,"America/Chicago","36545",1840014935,24335669.53
"Fulton","Fulton","AL","Alabama",1025,"Clarke",31.7916,-87.7397,255,255,40,"polygon",TRUE,"America/Chicago","36446 36451",1840002425,1136604.53
"Thomasville","Thomasville","AL","Alabama",1025,"Clarke",31.9111,-87.7418,3076,3943,174,"polygon",TRUE,"America/Chicago","36784",1840015849,3874447.01
"Ashland","Ashland","AL","Alabama",1027,"Clay",33.2704,-85.8337,1932,1932,101,"polygon",TRUE,"America/Chicago","36251",1840006738,9019051.16
"Edwardsville","Edwardsville","AL","Alabama",1029,"Cleburne",33.8411,-85.4523,198,198,4,"polygon",TRUE,"America/Chicago","36262 36272 36261",1840007129,580247.94
"Heflin","Heflin","AL","Alabama",1029,"Cleburne",33.6471,-85.5698,3425,3425,82,"polygon",TRUE,"America/Chicago","36264",1840007380,99080
"Enterprise","Enterprise","AL","Alabama",1031,"Coffee",31.3276,-85.8459,38737,28247,356,"polygon",TRUE,"America/Chicago","36330 36331",1840001548,725922.62
"Elba","Elba","AL","Alabama",1031,"Coffee",31.4172,-86.0759,3875,3875,97,"polygon",TRUE,"America/Chicago","36323",1840001532,31720
"Kinston","Kinston","AL","Alabama",1031,"Coffee",31.22,-86.1705,545,545,43,"polygon",TRUE,"America/Chicago","36453",1840017090,1273080.74
