"zip","city","state","latitude","longitude","Total_Payments"
"01001","Agawam","MA",42.07061,-72.62029,292221.44
"01002","Amherst","MA",42.377651,-72.50323,311989.5
"01005","Barre","MA",42.412094,-72.10443,353910.78
"01007","Belchertown","MA",42.278424,-72.411,297576.64
"01010","Brimfield","MA",42.126038,-72.20552,67620
"01013","Chicopee","MA",42.161492,-72.60316,27817.42
"01020","Chicopee","MA",42.175992,-72.57265,1017521.47
"01027","Easthampton","MA",42.27279,-72.68677,52378.91
"01028","East Longmeadow","MA",42.066795,-72.5102,703260
"01030","Feeding Hills","MA",42.070774,-72.67248,87440
"01035","Hadley","MA",42.35549,-72.5733,309015.93
"01040","Holyoke","MA",42.201891,-72.6242,1287403.67
"01056","Ludlow","MA",42.174893,-72.47068,209240
"01057","Monson","MA",42.089269,-72.317,83300
"01060","Northampton","MA",42.324539,-72.63561,1985275.75
"01062","Florence","MA",42.324232,-72.67915,754115.95
"01069","Palmer","MA",42.176401,-72.32646,334180
"01073","Southampton","MA",42.223885,-72.72777,43044.12
"01075","South Hadley","MA",42.234891,-72.58243,389043.57
"01077","Southwick","MA",42.05283,-72.76966,102422.63
"01082","Ware","MA",42.270611,-72.26067,244440
"01085","Westfield","MA",42.133642,-72.75029,480189.01
"01088","West Hatfield","MA",42.388831,-72.6321,101660
"01089","West Springfield","MA",42.112793,-72.64066,1097569.21
"01095","Wilbraham","MA",42.12531,-72.44057,411202.04
"01096","Williamsburg","MA",42.415236,-72.78271,61480
"01101","Springfield","MA",42.170731,-72.604842,14700
"01103","Springfield","MA",42.103294,-72.59112,59520
"01104","Springfield","MA",42.130343,-72.57338,2557964.4
"01105","Springfield","MA",42.096644,-72.5798,19600
"01106","Longmeadow","MA",42.050395,-72.5712,272522.8
"01107","Springfield","MA",42.120193,-72.6061,4442501.21
"01108","Springfield","MA",42.084094,-72.55523,67187.19
"01109","Springfield","MA",42.116277,-72.55031,11760
"01118","Springfield","MA",42.093144,-72.5291,279059.55
"01119","Springfield","MA",42.128442,-72.50932,43480
"01151","Indian Orchard","MA",42.153926,-72.50531,113520
"01199","Springfield","MA",42.119943,-72.604983,4525367.93
"01201","Pittsfield","MA",42.45384,-73.254,3980677.4
"01220","Adams","MA",42.619727,-73.11842,211977.19
"01224","Berkshire","MA",42.3929,-73.228483,43480
"01226","Dalton","MA",42.476575,-73.11547,128480
"01230","Great Barrington","MA",42.189715,-73.35249,472167.37
"01235","Hinsdale","MA",42.433661,-73.09278,19600
"01237","Lanesboro","MA",42.557346,-73.24364,37840
"01238","Lee","MA",42.299263,-73.2327,299100
"01240","Lenox","MA",42.36237,-73.27683,57800
"01247","North Adams","MA",42.696064,-73.10145,531886.8
"01267","Williamstown","MA",42.689962,-73.22355,228760
"01301","Greenfield","MA",42.605524,-72.60098,2603720.85
"01302","Greenfield","MA",42.522178,-72.624164,29760
"01331","Athol","MA",42.579931,-72.20836,112680
"01337","Bernardston","MA",42.678023,-72.55569,23520
"01370","Shelburne Falls","MA",42.603447,-72.72754,91347.23
"01373","South Deerfield","MA",42.472734,-72.62452,103240
"01376","Turners Falls","MA",42.609425,-72.54438,174880
"01420","Fitchburg","MA",42.578689,-71.80338,589854.2
"01432","Ayer","MA",42.549821,-71.59136,316508.77
"01436","Baldwinville","MA",42.608903,-72.08021,113007.75
"01440","Gardner","MA",42.575355,-71.99183,1135591.83
"01450","Groton","MA",42.609887,-71.55722,275053.52
"01451","Harvard","MA",42.505928,-71.5888,158000
"01453","Leominster","MA",42.526523,-71.75358,1474644.83
"01460","Littleton","MA",42.540052,-71.49085,23520
"01462","Lunenburg","MA",42.582839,-71.72051,25480
"01463","Pepperell","MA",42.665686,-71.5929,79862.43
"01469","Townsend","MA",42.658738,-71.69204,25480
"01473","Westminster","MA",42.544622,-71.9021,73240
"01501","Auburn","MA",42.20361,-71.83843,818277.83
"01503","Berlin","MA",42.380562,-71.62665,43720
"01507","Charlton","MA",42.135142,-71.96961,386351.89
"01510","Clinton","MA",42.418836,-71.68482,208222.01
"01516","Douglas","MA",42.061437,-71.72887,48498.15
"01520","Holden","MA",42.338962,-71.84434,291781.12
"01523","Lancaster","MA",42.473131,-71.67946,629279.31
"01527","Millbury","MA",42.196144,-71.76272,204341.03
"01532","Northborough","MA",42.321917,-71.64692,262774.63
"01535","North Brookfield","MA",42.267274,-72.07823,42851.57
"01536","North Grafton","MA",42.231444,-71.70523,131300
"01540","Oxford","MA",42.117527,-71.8657,30000
"01545","Shrewsbury","MA",42.286643,-71.72502,1099976.12
"01550","Southbridge","MA",42.070827,-72.03533,461000
"01562","Spencer","MA",42.247212,-71.99227,78288.57
"01564","Sterling","MA",42.436875,-71.77333,93971.29
"01566","Sturbridge","MA",42.104581,-72.08584,152851.75
"01568","Upton","MA",42.17382,-71.60971,260880
"01569","Uxbridge","MA",42.064978,-71.62992,460811.16
"01570","Webster","MA",42.047728,-71.86108,426470.33
"01571","Dudley","MA",42.049864,-71.9173,18000
"01581","Westborough","MA",42.269845,-71.61408,639412.06
"01583","West Boylston","MA",42.359842,-71.787,80383.22
"01585","West Brookfield","MA",42.242965,-72.16734,106820
"01588","Whitinsville","MA",42.114195,-71.67225,331218.87
"01590","Sutton","MA",42.131028,-71.75121,135730.13
"01602","Worcester","MA",42.272359,-71.84482,180284.73
"01604","Worcester","MA",42.255393,-71.77459,629102.28
"01605","Worcester","MA",42.286543,-71.78846,13219180.43
"01606","Worcester","MA",42.311342,-71.79531,567747.46
"01608","Worcester","MA",42.261343,-71.80173,2817440.41
"01609","Worcester","MA",42.271743,-71.81348,533759.42
"01610","Worcester","MA",42.248493,-71.80793,177199.24
"01655","Worcester","MA",42.364807,-71.896868,8854371.53
"01701","Framingham","MA",42.318695,-71.42344,1143819.45
"01702","Framingham","MA",42.283995,-71.42161,3202568.28
"01720","Acton","MA",42.477142,-71.4422,1218825.45
"01721","Ashland","MA",42.257956,-71.45886,84534.52
"01730","Bedford","MA",42.496679,-71.27504,83788.79
"01731","Hanscom AFB","MA",42.459085,-71.27556,1578.78
"01740","Bolton","MA",42.437086,-71.61266,29760
"01742","Concord","MA",42.457201,-71.37478,3376482.09
"01746","Holliston","MA",42.196065,-71.43797,112120
"01747","Hopedale","MA",42.125536,-71.53662,475800
"01748","Hopkinton","MA",42.220447,-71.53418,148680
"01749","Hudson","MA",42.389813,-71.55791,222460.23
"01752","Marlborough","MA",42.350909,-71.54753,988007.03
"01756","Mendon","MA",42.092006,-71.54474,173920
"01757","Milford","MA",42.149176,-71.52149,1657421.02
"01760","Natick","MA",42.290763,-71.35368,1970039.72
"01772","Southborough","MA",42.297643,-71.53369,770277.94
"01773","Lincoln","MA",42.425537,-71.30316,191524.42
"01775","Stow","MA",42.423882,-71.51086,41671.82
"01776","Sudbury","MA",42.38532,-71.42989,317108.16
"01778","Wayland","MA",42.345583,-71.35643,84880
"01801","Woburn","MA",42.484545,-71.15206,1778766.65
"01803","Burlington","MA",42.506362,-71.20008,1017509.97
"01805","Burlington","MA",42.446396,-71.459405,10349841.8
"01810","Andover","MA",42.646942,-71.1513,611837.8
"01821","Billerica","MA",42.54805,-71.25054,366896.16
"01824","Chelmsford","MA",42.595491,-71.3544,2877972.75
"01826","Dracut","MA",42.677772,-71.316,385691.43
"01830","Haverhill","MA",42.78519,-71.07011,2598201.44
"01832","Haverhill","MA",42.781357,-71.11023,19600
"01833","Georgetown","MA",42.729437,-70.98291,157532.02
"01834","Groveland","MA",42.750691,-71.02487,49805.4
"01835","Haverhill","MA",42.757767,-71.08518,37840
"01840","Lawrence","MA",42.706941,-71.16181,48488.2
"01841","Lawrence","MA",42.71159,-71.16667,814103.4
"01843","Lawrence","MA",42.691091,-71.16078,2495418.47
"01844","Methuen","MA",42.73004,-71.17935,1282332.11
"01845","North Andover","MA",42.683841,-71.11171,1748320.34
"01851","Lowell","MA",42.630915,-71.33238,134273.58
"01852","Lowell","MA",42.634112,-71.29849,1262111.95
"01854","Lowell","MA",42.649758,-71.33348,958613.34
"01860","Merrimac","MA",42.834246,-71.00207,110201.26
"01862","North Billerica","MA",42.573592,-71.2911,142560
"01863","North Chelmsford","MA",42.634199,-71.39322,1921946.83
"01864","North Reading","MA",42.583436,-71.0982,246973.17
"01867","Reading","MA",42.52585,-71.10993,935781.93
"01876","Tewksbury","MA",42.601684,-71.22071,675441.89
"01879","Tyngsboro","MA",42.671589,-71.41694,26174.89
"01880","Wakefield","MA",42.501345,-71.07132,348707.75
"01886","Westford","MA",42.592086,-71.43754,638374.67
"01887","Wilmington","MA",42.558576,-71.17031,302880
"01890","Winchester","MA",42.451945,-71.14276,1461492.77
"01901","Lynn","MA",42.461246,-70.946743,61840
"01902","Lynn","MA",42.469946,-70.94113,151880
"01905","Lynn","MA",42.464879,-70.97411,1960
"01906","Saugus","MA",42.462796,-71.0098,276451.12
"01907","Swampscott","MA",42.474409,-70.90588,857507.05
"01913","Amesbury","MA",42.854423,-70.93547,113160
"01915","Beverly","MA",42.560995,-70.8757,3637257.33
"01921","Boxford","MA",42.677869,-71.00844,39800
"01923","Danvers","MA",42.569756,-70.94322,2228770.58
"01930","Gloucester","MA",42.624015,-70.67552,411566.35
"01938","Ipswich","MA",42.682965,-70.84007,276407.79
"01940","Lynnfield","MA",42.527895,-71.02834,177118.29
"01944","Manchester","MA",42.580033,-70.76462,279240
"01945","Marblehead","MA",42.497146,-70.86323,384699.7
"01949","Middleton","MA",42.602278,-71.01356,148560
"01950","Newburyport","MA",42.809891,-70.86363,2057242.75
"01951","Newbury","MA",42.780141,-70.86866,102219.52
"01952","Salisbury","MA",42.85048,-70.86153,31720
"01960","Peabody","MA",42.534045,-70.96146,4656392.54
"01966","Rockport","MA",42.659936,-70.61727,29760
"01969","Rowley","MA",42.716708,-70.90899,58287.68
"01970","Salem","MA",42.516845,-70.8985,2961051.17
"01982","South Hamilton","MA",42.616643,-70.86513,268320
"01983","Topsfield","MA",42.642471,-70.94424,51319.49
"02019","Bellingham","MA",42.075122,-71.47953,130440
"02021","Canton","MA",42.166776,-71.1343,395660.98
"02025","Cohasset","MA",42.241908,-70.81223,270060
"02026","Dedham","MA",42.244609,-71.16553,2503451.12
"02035","Foxboro","MA",42.061427,-71.24232,601373.22
"02038","Franklin","MA",42.089104,-71.4069,474260
"02043","Hingham","MA",42.225708,-70.88764,801111.47
"02048","Mansfield","MA",42.019982,-71.2191,329774.66
"02050","Marshfield","MA",42.109763,-70.69172,58180
"02052","Medfield","MA",42.185571,-71.30476,310217.17
"02053","Medway","MA",42.151526,-71.42315,130680
"02054","Millis","MA",42.166398,-71.36178,120542.23
"02056","Norfolk","MA",42.111836,-71.32855,148960
"02061","Norwell","MA",42.15243,-70.8205,3666442.25
"02062","Norwood","MA",42.185974,-71.20166,3205295.89
"02066","Scituate","MA",42.205038,-70.7513,313202.38
"02067","Sharon","MA",42.113749,-71.17923,175440
"02072","Stoughton","MA",42.125432,-71.10627,381587.28
"02081","Walpole","MA",42.145237,-71.25375,479316.4
"02090","Westwood","MA",42.212949,-71.20735,151701.34
"02093","Wrentham","MA",42.0597,-71.34617,172471.81
"02104","Boston","MA",42.338947,-70.919635,43480
"02108","Boston","MA",42.357903,-71.06408,152754.77
"02109","Boston","MA",42.361477,-71.05417,533585.71
"02110","Boston","MA",42.356532,-71.05365,34600
"02111","Boston","MA",42.349838,-71.06101,6870112.12
"02113","Boston","MA",42.365028,-71.05636,76440
"02114","Boston","MA",42.361792,-71.06774,39229394.49
"02115","Boston","MA",42.34308,-71.09268,1892646.63
"02116","Boston","MA",42.349622,-71.07372,628033.19
"02117","Boston","MA",42.338947,-70.919635,31720
"02118","Boston","MA",42.338724,-71.07276,402020.4
"02119","Boston","MA",42.324511,-71.08455,6152.04
"02120","Boston","MA",42.332099,-71.09651,1130344.63
"02124","Boston","MA",42.28713,-71.07156,935156.95
"02126","Mattapan","MA",42.272098,-71.09426,42137.6
"02127","Boston","MA",42.33499,-71.04562,57560
"02128","Boston","MA",42.378297,-71.0255,66608.43
"02129","Charlestown","MA",42.378619,-71.06495,67695.04
"02130","Jamaica Plain","MA",42.309998,-71.11171,759370.18
"02131","Roslindale","MA",42.284678,-71.13052,313538.27
"02132","West Roxbury","MA",42.279432,-71.1598,158049.95
"02134","Allston","MA",42.355147,-71.13164,72478.15
"02135","Brighton","MA",42.348418,-71.15349,4650671.52
"02136","Hyde Park","MA",42.252198,-71.12593,220423.59
"02138","Cambridge","MA",42.379146,-71.12803,5424731.55
"02139","Cambridge","MA",42.364347,-71.10431,684577.78
"02140","Cambridge","MA",42.393327,-71.12837,236260.44
"02141","Cambridge","MA",42.370519,-71.08443,41520
"02142","Cambridge","MA",42.362297,-71.08412,150527.48
"02143","Somerville","MA",42.381929,-71.09908,125420
