,city,State,Payment,lat,lng,group,start_year,reach_stage
1,Alabaster,Alabama,13603,33.2197,-86.8225,NA,2013,2
2,Alexander City,Alabama,26026,32.9242,-85.9361,NA,2012,2
3,Andalusia,Alabama,16933,31.3101,-86.4781,NA,2013,2
4,Anniston,Alabama,42136,33.6713,-85.8136,NA,2012,2
5,Ashland,Alabama,38381,33.2704,-85.8337,NA,2011,2
6,Athens,Alabama,28949,34.7847,-86.951,NA,2011,1
7,Atmore,Alabama,17299,31.0926,-87.4763,NA,2013,2
8,Bay Minette,Alabama,27009,30.893,-87.7913,NA,2013,2
9,Bessemer,Alabama,24575,33.3709,-86.9714,NA,2013,2
10,Birmingham,Alabama,167684,33.5276,-86.7988,NA,2012,2
11,Boaz,Alabama,21953,34.1985,-86.1529,NA,2012,2
12,Camden,Alabama,35436,32.0007,-87.2967,NA,2011,2
13,Centre,Alabama,27594,34.1553,-85.6707,NA,2013,2
14,Centreville,Alabama,26019,32.9597,-87.1334,NA,2011,1
15,Clanton,Alabama,9072,32.8439,-86.623,NA,2011,1
16,Cullman,Alabama,37234,34.1791,-86.8402,NA,2011,1
17,Decatur,Alabama,12106,34.573,-86.9905,NA,2013,2
18,Demopolis,Alabama,28565,32.498,-87.8298,NA,2012,1
19,Dothan,Alabama,49581,31.2336,-85.4068,NA,2012,2
20,Enterprise,Alabama,34969,31.3276,-85.8459,NA,2012,2
21,Eufaula,Alabama,40148,31.9102,-85.1505,NA,2012,2
23,Evergreen,Alabama,40334,31.4379,-86.9584,NA,2011,2
24,Fairhope,Alabama,22592,30.5221,-87.8817,NA,2012,2
25,Florala,Alabama,18551,31.0176,-86.3138,NA,2012,1
26,Florence,Alabama,27548,34.83,-87.6658,NA,2012,2
27,Foley,Alabama,33464,30.3987,-87.6646,NA,2012,2
28,Gadsden,Alabama,66290,34.009,-86.0156,NA,2012,2
29,Geneva,Alabama,29811,31.0437,-85.8764,NA,2012,2
30,Greensboro,Alabama,32314,32.7014,-87.595,NA,2011,1
31,Greenville,Alabama,38978,31.8437,-86.6379,NA,2012,2
32,Grove Hill,Alabama,34190,31.7033,-87.7759,NA,2013,2
33,Guntersville,Alabama,4246,34.3674,-86.2634,NA,2011,1
34,Haleyville,Alabama,28327,34.2349,-87.6165,NA,2012,2
35,Hamilton,Alabama,27160,34.1346,-87.9755,NA,2012,2
36,Huntsville,Alabama,26287,34.6989,-86.6414,NA,2013,2
37,Jackson,Alabama,28739,31.5318,-87.8915,NA,2013,1
38,Jacksonville,Alabama,35505,33.8088,-85.7544,NA,2012,2
39,Jasper,Alabama,23020,33.8514,-87.2719,NA,2013,2
40,Luverne,Alabama,26857,31.7186,-86.2687,NA,2011,1
41,Mobile,Alabama,106755,30.6783,-88.1162,NA,2011,2
42,Monroeville,Alabama,27279,31.5164,-87.328,NA,2013,2
43,Montgomery,Alabama,140778,32.347,-86.2663,NA,2012,2
44,Moulton,Alabama,14149,34.4844,-87.2832,NA,2012,2
45,Oneonta,Alabama,3424,33.9392,-86.4929,NA,2012,1
46,Opelika,Alabama,27626,32.6621,-85.3772,NA,2011,2
47,Opp,Alabama,25702,31.2848,-86.257,NA,2012,2
48,Ozark,Alabama,26593,31.4509,-85.6473,NA,2011,1
49,Pell City,Alabama,29972,33.5609,-86.2669,NA,2012,2
50,Phenix City,Alabama,26804,32.4587,-85.0251,NA,2012,2
51,Russellville,Alabama,26554,34.5055,-87.7282,NA,2012,2
52,Selma,Alabama,17500,32.4166,-87.0336,NA,2013,2
53,Sheffield,Alabama,7710,34.7557,-87.7008,NA,2013,1
54,Sylacauga,Alabama,27151,33.1779,-86.2606,NA,2011,1
55,Talladega,Alabama,30076,33.4329,-86.0976,NA,2013,2
56,Tallassee,Alabama,26802,32.5314,-85.8912,NA,2012,2
57,Troy,Alabama,2048,31.8021,-85.9665,NA,2011,1
58,Tuscaloosa,Alabama,20210,33.2349,-87.5267,NA,2013,2
59,Union Springs,Alabama,37800,32.1395,-85.7141,NA,2011,1
60,Valley,Alabama,3881,32.8086,-85.1792,NA,2011,1
61,Wedowee,Alabama,24427,33.3077,-85.4864,NA,2012,2
62,Winfield,Alabama,30587,33.9311,-87.797,NA,2013,2
63,York,Alabama,32851,32.4998,-88.2938,NA,2012,2
78,Apache Junction,Arizona,27967,33.3985,-111.5351,NA,2014,2
79,Benson,Arizona,37720,31.9157,-110.3257,NA,2012,2
80,Bisbee,Arizona,46241,31.4126,-109.9179,NA,2011,2
81,Bullhead City,Arizona,11099,35.1205,-114.546,NA,2013,2
82,Casa Grande,Arizona,34167,32.907,-111.7624,NA,2012,2
83,Chandler,Arizona,36728,33.2827,-111.8516,NA,2013,2
84,Cottonwood,Arizona,43341,34.7194,-112.0015,NA,2013,2
85,Douglas,Arizona,28777,31.3602,-109.5394,NA,2013,1
86,Flagstaff,Arizona,39365,35.1872,-111.6195,NA,2013,2
87,Fort Defiance,Arizona,26916,35.7469,-109.0685,NA,2012,1
89,Gilbert,Arizona,67487,33.3103,-111.7463,NA,2012,2
90,Glendale,Arizona,47078,33.5796,-112.2258,NA,2012,2
91,Globe,Arizona,5813,33.3869,-110.7514,NA,2015,2
92,Goodyear,Arizona,22341,33.2614,-112.3622,NA,2013,2
93,Kingman,Arizona,29534,35.217,-114.0105,NA,2013,2
94,Lake Havasu City,Arizona,22261,34.5006,-114.3115,NA,2012,2
95,Mesa,Arizona,129205,33.4017,-111.7181,NA,2012,2
96,Nogales,Arizona,28132,31.3624,-110.9336,NA,2012,1
97,Oro Valley,Arizona,24082,32.4223,-110.9767,NA,2013,2
98,Parker,Arizona,28663,34.0286,-114.2224,NA,2012,1
99,Payson,Arizona,37295,34.2434,-111.3195,NA,2013,2
100,Phoenix,Arizona,348017,33.5722,-112.0891,NA,2012,2
