,date,state,PM2.5,CO,NO2,PM10,SO2
1,2020-01-01,Alabama,15.1,0.3,28.2,7,0.6
28,2020-01-02,Alabama,7.3,0,16.3,11,0.5
55,2020-01-03,Alabama,5.2,0,31.6,6,0.5
82,2020-01-04,Alabama,3.1,0.4,7.5,8,0.5
109,2020-01-05,Alabama,3.7,0.5,34,6,0.5
136,2020-01-06,Alabama,13.1,0.2,30.1,15,1.5
163,2020-01-07,Alabama,5.8,0.2,31.1,9,0.8
190,2020-01-08,Alabama,8.4,0.1,37.8,19,1.2
217,2020-01-09,Alabama,14.5,0.2,29.8,17,0.9
244,2020-01-10,Alabama,9,0.1,10,19,0.5
271,2020-01-11,Alabama,5,0.2,9.4,11,0.5
298,2020-01-12,Alabama,4.1,0.1,31.7,11,0.8
325,2020-01-13,Alabama,4,0.2,20.8,15,1.8
352,2020-01-14,Alabama,1.9,0.2,32.1,11,0.5
379,2020-01-15,Alabama,4.7,0.3,21.7,14,0.5
406,2020-01-16,Alabama,3.3,0.3,11.5,9,1
433,2020-01-17,Alabama,3,0.2,10.6,9,0.9
460,2020-01-18,Alabama,6.1,0.3,10,13,0.5
487,2020-01-19,Alabama,2.4,0.7,3.6,4,0.5
514,2020-01-20,Alabama,6,0.5,6.1,9,1
541,2020-01-21,Alabama,6,1,13,10,1.3
568,2020-01-22,Alabama,7.7,0.7,42,17,1.2
595,2020-01-23,Alabama,7.9,0.1,18.1,10,0.8
622,2020-01-24,Alabama,6.7,0.7,14.4,9,0.7
649,2020-01-25,Alabama,4.7,0.7,22.5,6,0.6
676,2020-01-26,Alabama,9.2,0.1,22.7,14,1
703,2020-01-27,Alabama,6.2,0.2,29,10,0.5
730,2020-01-28,Alabama,8.5,0.3,34.6,17,1.2
757,2020-01-29,Alabama,8.8,0.2,26,18,0.6
784,2020-01-30,Alabama,10.1,0.5,34.9,23,0.9
811,2020-01-31,Alabama,4.4,0.6,30.8,17,0.8
838,2020-02-01,Alabama,5.3,0.2,22.1,9,0.5
865,2020-02-02,Alabama,3.9,0.1,32.2,9,0.9
892,2020-02-03,Alabama,7.4,0.1,35.1,21,1.3
919,2020-02-04,Alabama,7.9,0.1,16.5,12,0.6
946,2020-02-05,Alabama,7,0.1,8.7,12,0.6
973,2020-02-06,Alabama,4.1,0.2,15.3,3,0.8
1000,2020-02-07,Alabama,3.2,0.3,29.2,8,0.5
1027,2020-02-08,Alabama,8.3,0.3,30,10,1.1
1054,2020-02-09,Alabama,5.2,0.5,24.3,14,1.2
1081,2020-02-10,Alabama,5.1,0.2,21.7,10,0.6
1108,2020-02-11,Alabama,5.7,0.1,12,6,0.6
1135,2020-02-12,Alabama,5.4,0.4,15.6,14,0.6
1162,2020-02-13,Alabama,3.9,0.1,6.5,3,0.7
1189,2020-02-14,Alabama,3.3,0.2,7.6,7,0.6
1216,2020-02-15,Alabama,8.2,0.6,28.7,14,0.8
1243,2020-02-16,Alabama,8.4,0.9,27.4,16,1.1
1270,2020-02-17,Alabama,6.1,0.2,21.8,13,0.6
1297,2020-02-18,Alabama,6.4,0.3,27.7,9,0.6
1324,2020-02-19,Alabama,1.8,0.3,6.8,8,0.6
1351,2020-02-20,Alabama,1.3,0.2,11.4,5,0.6
1378,2020-02-21,Alabama,5.4,0.2,30.8,8,0.7
1405,2020-02-22,Alabama,10.8,0.6,36.6,12,1.1
1432,2020-02-23,Alabama,13.1,0.3,29.8,25,1.2
1459,2020-02-24,Alabama,11.3,0.1,21.8,14,0.8
1486,2020-02-25,Alabama,3.8,0.1,22.2,8,0.7
1513,2020-02-26,Alabama,5.1,0.1,17.5,6,0.8
1540,2020-02-27,Alabama,4.6,0.2,33.2,7,0.6
1567,2020-02-28,Alabama,8.7,0.4,38.7,9,1.1
1594,2020-02-29,Alabama,7.3,1,36,12,0.9
1621,2020-03-01,Alabama,15.7,0.7,30.4,24,1
1648,2020-03-02,Alabama,12.7,0.1,21.4,13,0.7
1675,2020-03-03,Alabama,6.2,0.2,26.2,20,0.7
1702,2020-03-04,Alabama,4.3,0.2,24.4,13,0.9
1729,2020-03-05,Alabama,1.1,0.2,23.5,5,0.7
1756,2020-03-06,Alabama,2.7,0.4,28.3,12,0.8
1783,2020-03-07,Alabama,5.9,0.4,30.3,9,0.8
1810,2020-03-08,Alabama,10,0.3,26.8,14,0.7
1836,2020-03-09,Alabama,15.3,0.2,19.1,25,0.7
1862,2020-03-10,Alabama,11.6,0.2,14.3,12,0.6
1889,2020-03-11,Alabama,9.3,0.1,15.9,13,0.7
1916,2020-03-12,Alabama,9,0.1,15,19,0.8
1943,2020-03-13,Alabama,7,0.1,15.3,17,0.8
1970,2020-03-14,Alabama,11,0.1,21,19,0.6
1997,2020-03-15,Alabama,14.7,0.2,10,7,0.7
2024,2020-03-16,Alabama,19.3,0.2,13.2,17,1.6
2051,2020-03-17,Alabama,19.2,0.3,20.8,32,0.7
2078,2020-03-18,Alabama,15.8,0.2,18.9,26,0.8
2105,2020-03-19,Alabama,15.9,0.5,11.7,20,0.7
2132,2020-03-20,Alabama,16.9,0.2,14.9,21,0.8
2159,2020-03-21,Alabama,5.1,0.2,13.5,9,0.7
2186,2020-03-22,Alabama,6.3,0.1,12.1,12,0.7
2213,2020-03-23,Alabama,7.5,0.2,9.6,13,0.6
2240,2020-03-24,Alabama,4.8,0.2,14.3,21,0.8
2267,2020-03-25,Alabama,7.9,0.2,NA,13,0.7
2294,2020-03-26,Alabama,9.3,0.2,21.7,23,1.4
2321,2020-03-27,Alabama,17.2,0.3,17.6,30,0.9
2348,2020-03-28,Alabama,11.8,0.3,6.6,25,0.7
2375,2020-03-29,Alabama,12.7,0.4,9.7,17,0.7
2402,2020-03-30,Alabama,14.1,0.7,16.6,13,0.8
2429,2020-03-31,Alabama,11.6,0.2,9.2,10,1.1
2482,2020-04-02,Alabama,18.1,0.1,NA,NA,NA
2507,2020-04-03,Alabama,23.6,1,NA,NA,NA
2534,2020-04-04,Alabama,14,0.4,NA,NA,NA
2559,2020-04-05,Alabama,15.3,1,NA,NA,NA
2585,2020-04-06,Alabama,19.7,2,NA,NA,NA
2611,2020-04-07,Alabama,14.4,1.8,NA,NA,NA
2638,2020-04-08,Alabama,8.7,1.7,NA,NA,NA
2665,2020-04-09,Alabama,7.9,1.2,NA,NA,NA
2691,2020-04-10,Alabama,4.3,0.8,NA,NA,NA
2718,2020-04-11,Alabama,11,1.3,NA,NA,NA
2745,2020-04-12,Alabama,22,3,NA,NA,NA
2772,2020-04-13,Alabama,5.4,2.5,NA,NA,NA
2799,2020-04-14,Alabama,6.3,2.1,NA,NA,NA
2826,2020-04-15,Alabama,6.5,0.3,NA,NA,NA
2853,2020-04-16,Alabama,7.3,0.8,NA,NA,NA
2879,2020-04-17,Alabama,11,1.9,NA,NA,NA
2905,2020-04-18,Alabama,8.7,2.8,NA,NA,NA
2932,2020-04-19,Alabama,6.2,3.2,NA,NA,NA
2958,2020-04-20,Alabama,3,2.6,NA,NA,NA
2985,2020-04-21,Alabama,8.5,1.7,NA,NA,NA
3011,2020-04-22,Alabama,7.4,0.7,NA,NA,NA
3037,2020-04-23,Alabama,5.3,2,NA,NA,NA
3064,2020-04-24,Alabama,5,0.6,NA,NA,NA
3090,2020-04-25,Alabama,6.6,0.8,NA,NA,NA
3116,2020-04-26,Alabama,2.5,2.5,NA,NA,NA
3143,2020-04-27,Alabama,4.7,1.8,NA,NA,NA
3170,2020-04-28,Alabama,11.9,1.8,NA,NA,NA
3197,2020-04-29,Alabama,8.9,1.2,NA,NA,NA
3224,2020-04-30,Alabama,2.8,1.8,NA,NA,NA
3251,2020-05-01,Alabama,6.1,0.8,NA,NA,NA
3278,2020-05-02,Alabama,12.4,1.5,NA,NA,NA
3304,2020-05-03,Alabama,9,1.6,NA,NA,NA
3329,2020-05-04,Alabama,8.4,1.3,NA,NA,NA
3353,2020-05-05,Alabama,9.3,1.4,NA,NA,NA
3380,2020-05-06,Alabama,3.9,0.4,NA,NA,NA
3407,2020-05-07,Alabama,4.7,0.6,NA,NA,NA
3434,2020-05-08,Alabama,9.5,0.7,NA,NA,NA
3461,2020-05-09,Alabama,4.9,0.8,NA,NA,NA
3488,2020-05-10,Alabama,7.9,0.8,NA,NA,NA
3514,2020-05-11,Alabama,8.1,0.9,NA,NA,NA
3541,2020-05-12,Alabama,9.3,1,NA,NA,NA
3568,2020-05-13,Alabama,10.1,0.9,NA,NA,NA
3594,2020-05-14,Alabama,9.2,0.6,NA,NA,NA
3619,2020-05-15,Alabama,9,0.3,NA,NA,NA
3645,2020-05-16,Alabama,12.8,1.3,NA,NA,NA
3746,2020-05-20,Alabama,5.3,1.7,NA,NA,NA
3772,2020-05-21,Alabama,6.6,0.9,NA,NA,NA
3799,2020-05-22,Alabama,7.5,1.2,NA,NA,NA
3825,2020-05-23,Alabama,9.2,0.5,NA,NA,NA
3852,2020-05-24,Alabama,5.3,0.4,NA,NA,NA
3879,2020-05-25,Alabama,7.1,0.9,NA,NA,NA
3905,2020-05-26,Alabama,4.9,0.5,NA,NA,NA
3928,2020-05-27,Alabama,3.9,0.7,NA,NA,NA
3954,2020-05-28,Alabama,6,0.7,NA,NA,NA
3978,2020-05-29,Alabama,5.8,1,NA,NA,NA
4003,2020-05-30,Alabama,7,1.4,NA,NA,NA
4028,2020-05-31,Alabama,8.4,2.1,NA,NA,NA
4054,2020-06-01,Alabama,9.5,1.1,NA,NA,NA
4080,2020-06-02,Alabama,7.5,1.8,NA,NA,NA
4107,2020-06-03,Alabama,10,1.8,NA,NA,NA
4134,2020-06-04,Alabama,7.2,0.9,NA,NA,NA
4160,2020-06-05,Alabama,6.6,0.6,NA,NA,NA
4187,2020-06-06,Alabama,5.5,1.1,NA,NA,NA
4213,2020-06-07,Alabama,4.1,0.5,NA,NA,NA
4240,2020-06-08,Alabama,5.8,0.4,NA,NA,NA
4266,2020-06-09,Alabama,7.9,0.6,NA,NA,NA
4292,2020-06-10,Alabama,5.7,1.4,NA,NA,NA
4318,2020-06-11,Alabama,7.3,0.3,NA,NA,NA
4345,2020-06-12,Alabama,8.5,0.2,NA,NA,NA
4372,2020-06-13,Alabama,8.5,0.3,NA,NA,NA
4399,2020-06-14,Alabama,11.9,0.2,NA,NA,NA
4426,2020-06-15,Alabama,8.1,1.3,NA,NA,NA
4452,2020-06-16,Alabama,3.9,1.5,NA,NA,NA
4478,2020-06-17,Alabama,6,1.4,NA,NA,NA
4504,2020-06-18,Alabama,8.6,1,NA,NA,NA
