state,Date,Travelers
AK,2019/1/1,NA
AK,2019/1/2,NA
AK,2019/1/3,NA
AK,2019/1/4,NA
AK,2019/1/5,NA
AK,2019/1/6,NA
AK,2019/1/7,NA
AK,2019/1/8,NA
AK,2019/1/9,NA
AK,2019/1/10,NA
AK,2019/1/11,NA
AK,2019/1/12,NA
AK,2019/1/13,NA
AK,2019/1/14,NA
AK,2019/1/15,NA
AK,2019/1/16,NA
AK,2019/1/17,NA
AK,2019/1/18,NA
AK,2019/1/19,NA
AK,2019/1/20,NA
AK,2019/1/21,NA
AK,2019/1/22,NA
AK,2019/1/23,NA
AK,2019/1/24,NA
AK,2019/1/25,NA
AK,2019/1/26,NA
AK,2019/1/27,NA
AK,2019/1/28,NA
AK,2019/1/29,NA
AK,2019/1/30,NA
AK,2019/1/31,NA
AK,2019/2/1,NA
AK,2019/2/2,NA
AK,2019/2/3,NA
AK,2019/2/4,NA
AK,2019/2/5,NA
AK,2019/2/6,NA
AK,2019/2/7,NA
AK,2019/2/8,NA
AK,2019/2/9,NA
AK,2019/2/10,NA
AK,2019/2/11,NA
AK,2019/2/12,NA
AK,2019/2/13,NA
AK,2019/2/14,NA
AK,2019/2/15,NA
AK,2019/2/16,NA
AK,2019/2/17,NA
AK,2019/2/18,NA
AK,2019/2/19,NA
AK,2019/2/20,NA
AK,2019/2/21,NA
AK,2019/2/22,NA
AK,2019/2/23,NA
AK,2019/2/24,NA
AK,2019/2/25,NA
AK,2019/2/26,NA
AK,2019/2/27,NA
AK,2019/2/28,NA
AK,2019/3/1,NA
AK,2019/3/2,NA
AK,2019/3/3,NA
AK,2019/3/4,NA
AK,2019/3/5,NA
AK,2019/3/6,NA
AK,2019/3/7,NA
AK,2019/3/8,NA
AK,2019/3/9,NA
AK,2019/3/10,NA
AK,2019/3/11,NA
AK,2019/3/12,NA
AK,2019/3/13,NA
AK,2019/3/14,NA
AK,2019/3/15,NA
AK,2019/3/16,NA
AK,2019/3/17,NA
AK,2019/3/18,NA
AK,2019/3/19,NA
AK,2019/3/20,NA
AK,2019/3/21,NA
AK,2019/3/22,NA
AK,2019/3/23,NA
AK,2019/3/24,NA
AK,2019/3/25,NA
AK,2019/3/26,NA
AK,2019/3/27,NA
AK,2019/3/28,NA
AK,2019/3/29,NA
AK,2019/3/30,NA
AK,2019/3/31,NA
AK,2019/4/1,NA
AK,2019/4/2,NA
AK,2019/4/3,NA
AK,2019/4/4,NA
AK,2019/4/5,NA
AK,2019/4/6,NA
AK,2019/4/7,NA
AK,2019/4/8,NA
AK,2019/4/9,NA
AK,2019/4/10,NA
AK,2019/4/11,NA
AK,2019/4/12,NA
AK,2019/4/13,NA
AK,2019/4/14,NA
AK,2019/4/15,NA
AK,2019/4/16,NA
AK,2019/4/17,NA
AK,2019/4/18,NA
AK,2019/4/19,NA
AK,2019/4/20,NA
AK,2019/4/21,NA
AK,2019/4/22,NA
AK,2019/4/23,NA
AK,2019/4/24,NA
AK,2019/4/25,NA
AK,2019/4/26,NA
AK,2019/4/27,NA
AK,2019/4/28,NA
AK,2019/4/29,NA
AK,2019/4/30,NA
AK,2019/5/1,NA
AK,2019/5/2,NA
AK,2019/5/3,NA
AK,2019/5/4,NA
AK,2019/5/5,NA
AK,2019/5/6,NA
AK,2019/5/7,NA
AK,2019/5/8,NA
AK,2019/5/9,NA
AK,2019/5/10,NA
AK,2019/5/11,NA
AK,2019/5/12,NA
AK,2019/5/13,NA
AK,2019/5/14,NA
AK,2019/5/15,NA
AK,2019/5/16,NA
AK,2019/5/17,NA
AK,2019/5/18,NA
AK,2019/5/19,NA
AK,2019/5/20,NA
AK,2019/5/21,NA
AK,2019/5/22,NA
AK,2019/5/23,NA
AK,2019/5/24,NA
AK,2019/5/25,NA
AK,2019/5/26,NA
AK,2019/5/27,NA
AK,2019/5/28,NA
AK,2019/5/29,NA
AK,2019/5/30,NA
AK,2019/5/31,NA
AK,2019/6/1,NA
AK,2019/6/2,NA
AK,2019/6/3,NA
AK,2019/6/4,NA
AK,2019/6/5,NA
AK,2019/6/6,NA
AK,2019/6/7,NA
AK,2019/6/8,NA
AK,2019/6/9,NA
AK,2019/6/10,NA
AK,2019/6/11,NA
AK,2019/6/12,NA
AK,2019/6/13,NA
AK,2019/6/14,NA
AK,2019/6/15,NA
AK,2019/6/16,NA
AK,2019/6/17,NA
AK,2019/6/18,NA
AK,2019/6/19,NA
AK,2019/6/20,NA
AK,2019/6/21,NA
AK,2019/6/22,NA
AK,2019/6/23,NA
AK,2019/6/24,NA
AK,2019/6/25,NA
AK,2019/6/26,NA
AK,2019/6/27,NA
AK,2019/6/28,NA
AK,2019/6/29,NA
AK,2019/6/30,NA
AK,2019/7/1,NA
AK,2019/7/2,NA
AK,2019/7/3,NA
AK,2019/7/4,NA
AK,2019/7/5,NA
AK,2019/7/6,NA
AK,2019/7/7,NA
AK,2019/7/8,NA
AK,2019/7/9,NA
AK,2019/7/10,NA
AK,2019/7/11,NA
AK,2019/7/12,NA
AK,2019/7/13,NA
AK,2019/7/14,NA
AK,2019/7/15,NA
AK,2019/7/16,NA
AK,2019/7/17,NA
AK,2019/7/18,NA
AK,2019/7/19,NA
AK,2019/7/20,NA
AK,2019/7/21,NA
AK,2019/7/22,NA
AK,2019/7/23,NA
AK,2019/7/24,NA
AK,2019/7/25,NA
AK,2019/7/26,NA
AK,2019/7/27,NA
AK,2019/7/28,NA
AK,2019/7/29,NA
AK,2019/7/30,NA
AK,2019/7/31,NA
AK,2019/8/1,NA
AK,2019/8/2,NA
AK,2019/8/3,NA
AK,2019/8/4,NA
AK,2019/8/5,NA
AK,2019/8/6,NA
AK,2019/8/7,NA
AK,2019/8/8,NA
AK,2019/8/9,NA
AK,2019/8/10,NA
AK,2019/8/11,NA
AK,2019/8/12,NA
AK,2019/8/13,NA
AK,2019/8/14,NA
AK,2019/8/15,NA
AK,2019/8/16,NA
AK,2019/8/17,NA
AK,2019/8/18,NA
AK,2019/8/19,NA
AK,2019/8/20,NA
AK,2019/8/21,NA
AK,2019/8/22,NA
AK,2019/8/23,NA
AK,2019/8/24,NA
AK,2019/8/25,NA
AK,2019/8/26,NA
AK,2019/8/27,NA
AK,2019/8/28,NA
AK,2019/8/29,NA
AK,2019/8/30,NA
AK,2019/8/31,NA
AK,2019/9/1,NA
AK,2019/9/2,NA
AK,2019/9/3,NA
AK,2019/9/4,NA
AK,2019/9/5,NA
AK,2019/9/6,NA
AK,2019/9/7,NA
AK,2019/9/8,NA
AK,2019/9/9,NA
AK,2019/9/10,NA
AK,2019/9/11,NA
AK,2019/9/12,NA
AK,2019/9/13,NA
AK,2019/9/14,NA
