Country,Abb,X,Y,Time,Airline,Info,Source
Canada,CAN,-102.46617,58.040219,16.06.2020,West Jet,WestJet outlines July 2020 International operations,https://www.routesonline.com/news/38/airlineroute/291839/westjet-outlines-july-2020-international-operations/
Canada,CAN,-102.46617,58.040219,13.07.2020,West Jet,WestJet September 2020 Preliminary operations,https://www.routesonline.com/news/38/airlineroute/292401/westjet-september-2020-preliminary-boeing-767-operations/
Canada,CAN,-102.46617,58.040219,14.07.2020,West Jet,WestJet delays Calgary ?€? Rome launch to May 2021,https://www.routesonline.com/news/38/airlineroute/292432/westjet-delays-calgary-rome-launch-to-may-2021/
Canada,CAN,-102.46617,58.040219,15.07.2020,West Jet, WestJet resumes European service in late-August 2020,https://www.routesonline.com/news/38/airlineroute/292457/westjet-resumes-european-service-in-late-august-2020/
Canada,CAN,-102.46617,58.040219,07.07.2020,OWG,Nolinor Aviation launches OWG,https://worldairlinenews.com/2020/07/07/nolinor-aviation-launches-owg-with-its-new-boeing-737-400s/
Canary Islands,ESP,-16.549663,28.283759,,,,
Cape Verde,CPV,-23.624781,15.083715,18.03.2020,Cabo Verde Airlines,Cabo Verde Airlines suspends all operations for at least 30 days,https://worldairlinenews.com/2020/03/17/cabo-verde-airlines-suspends-all-operations-for-at-least-30-days/
Cayman Islands,CYM,-81.243444,19.318294,23.04.2020,Cayman Airways Express,Cayman Airways Express extends reduced domestic service to late-May 2020,https://www.routesonline.com/news/38/airlineroute/290929/cayman-airways-express-extends-reduced-domestic-service-to-late-may-2020/
Central African Republic,CAF,20.935595,7.003721,,,,
Chad,TCD,18.666184,15.362793,,,,
Chagos Archipelagio,IOT,72.459611,-7.40237,,,,
Chile,CHL,-71.21981,-35.226443,23.06.2020,LATAM ,LATAM Chile July 2020 International operations as of 21JUN20,https://www.routesonline.com/news/38/airlineroute/292003/latam-chile-july-2020-international-operations-as-of-21jun20/
Chile,CHL,-71.21981,-35.226443,26.05.2020,LATAM ,Latin America?€?s largest airline LATAM files for Chapter 11 bankruptcy,"https://www.airlive.net/alert-latin-americas-largest-airline-latam-files-for-chapter-11-bankruptcy/"
Chile,CHL,-71.21981,-35.226443,17.07.2020,LATAM ,LATAM Chile delays nonstop Frankfurt launch to 1Q21,https://www.routesonline.com/news/38/airlineroute/292535/latam-chile-delays-nonstop-frankfurt-launch-to-1q21/
Chile,CHL,-71.21981,-35.226443,13.05.2020,SKY ,Sky Airlines will resume flights in June with strong security measures | Business,https://www.en24.news/n24/2020/05/sky-airlines-will-resume-flights-in-june-with-strong-security-measures-business.html
China,CHN,104.140337,32.309904,15.07.2020,Shandong Airlines,Shandong Airlines increases Qingdao ?€? Seoul service from July 2020,https://www.routesonline.com/news/38/airlineroute/292463/shandong-airlines-increases-qingdao-seoul-service-from-july-2020/
China,CHN,104.140337,32.309904,13.07.2020,Cormac,Air China / China Southern launches Comac ARJ21-700 service in July 2020,https://www.routesonline.com/news/38/airlineroute/292405/air-china-china-southern-launches-comac-arj21-700-service-in-july-2020/
China,CHN,104.140337,32.309904,05.05.2020,Air China,Air China resumes Madrid service in May 2020 (eff 09MAY20 ?€? 31MAY20),https://www.routesonline.com/news/38/airlineroute/291107/air-china-resumes-madrid-service-in-may-2020/
China,CHN,104.140337,32.309904,02.05.2020,Beijing Capital Airlines,Beijing Capital Airlines May/June 2020 International operations,https://www.routesonline.com/news/38/airlineroute/291059/beijing-capital-airlines-mayjune-2020-international-operations/
China,CHN,104.140337,32.309904,17.07.2020,Beijing Capital Airlines,Beijing Capital resumes Lisbon service in late-June 2020,https://www.routesonline.com/news/38/airlineroute/292526/beijing-capital-resumes-lisbon-service-in-late-june-2020/
China,CHN,104.140337,32.309904,22.05.2020,China Southern,China Southern June 2020 International/Regional operations as of 21MAY20,https://www.routesonline.com/news/38/airlineroute/291404/china-southern-june-2020-internationalregional-operations-as-of-21may20/
China,CHN,104.140337,32.309904,13.06.2020,China Southern,China Southern Airlines flight from Dhaka to Guangzhou suspended over COVID-19 cases,https://www.reuters.com/article/health-coronavirus-china-airlines/china-southern-airlines-flight-from-dhaka-to-guangzhou-suspended-over-covid-19-cases-idUSS7N2AL00A
China,CHN,104.140337,32.309904,21.04.2020,Hainan Airlines,Hainan Airlines May 2020 International operations as of 21APR20,https://www.routesonline.com/news/38/airlineroute/290894/hainan-airlines-may-2020-international-operations-as-of-21apr20/
China,CHN,104.140337,32.309904,15.07.2020,Lucky Air,Lucky Air resumes Kunming ?€? Bangkok service from July 2020,https://www.routesonline.com/news/38/airlineroute/292461/lucky-air-resumes-kunming-bangkok-service-from-july-2020/
China,CHN,104.140337,32.309904,15.07.2020,Kunming Airlines,Kunming Airlines S20 International operation update as of 14JUL20,https://www.routesonline.com/news/38/airlineroute/292462/kunming-airlines-s20-international-operation-update-as-of-14jul20/
China,CHN,104.140337,32.309904,22.05.2020,Juneyao Airlines,Juneyao Airlines June 2020 International operations as of 21MAY20,https://www.routesonline.com/news/38/airlineroute/291405/juneyao-airlines-june-2020-international-operations-as-of-21may20/
China,CHN,104.140337,32.309904,14.04.2020,Sichuan Airlines,Sichuan Airlines plans to resume Los Angeles service from Sep 2020,https://www.routesonline.com/news/38/airlineroute/290779/sichuan-airlines-plans-to-resume-los-angeles-service-from-sep-2020/
China,CHN,104.140337,32.309904,27.05.2020,Sichuan Airlines,Sichuan Airlines S20 Domestic operations as of 24MAY20,https://www.routesonline.com/news/38/airlineroute/291472/sichuan-airlines-s20-domestic-a350-operations-as-of-24may20/
China,CHN,104.140337,32.309904,01.07.2020,Sichuan Airlines,Sichuan Airlines' Cairo-Chengdu flight suspended over COVID-19 cases ,"www.xinhuanet.com/english/2020-07/01/c_139180969.htm"
China,CHN,104.140337,32.309904,09.07.2020,Xiamen Airlines,Xiamen Airlines increases Fuzhou ?€? Tokyo service in July 2020,https://www.routesonline.com/news/38/airlineroute/292350/xiamen-airlines-increases-fuzhou-tokyo-service-in-july-2020/
China,CHN,104.140337,32.309904,17.07.2020,Ruili Airlines ,Ruili Airlines July - October 2020 International operations as of 16JUL20,https://www.routesonline.com/news/38/airlineroute/292528/ruili-airlines-july-october-2020-international-operations-as-of-16jul20/
China/India,"CHN, IND",79.333961,32.875909,,,,
Christmas Island,CXR,105.637062,-10.485213,,,,
Clipperton Island,PYF,-109.21719,10.303389,,,,
Cocos (Keeling) Islands,CCK,96.829094,-12.18439,,,,
Colombia,COL,-73.079481,3.904939,11.05.2020,Avianca,Colombian airline Avianca files for Chapter 11 bankruptcy,https://www.marketwatch.com/story/colombian-airline-avianca-files-for-chapter-11-bankruptcy-2020-05-10?mod=mw_latestnews
Colombia,COL,-73.079481,3.904939,13.05.2020,GCA Airlines,GCA Airlines plans early-June 2020 service resumption,https://www.routesonline.com/news/38/airlineroute/291234/gca-airlines-plans-early-june-2020-service-resumption/
Comoros,COM,43.354136,-11.66225,,,,
Congo,COG,15.221024,-0.840003,,,,
Cook Islands,COK,-159.77791,-21.23477,14.05.2020,Air Rarotonga,Air Rarotonga extends interim schedule to late-June 2020,https://www.routesonline.com/news/38/airlineroute/291267/air-rarotonga-extends-interim-schedule-to-late-june-2020/
Costa Rica,CRI,-84.193641,9.974905,,,,
C??te d'Ivoire,CIV,-5.552758,7.622364,30.06.2020,Air Cote,Ivorian airline hopes its recovery can take off,"https://news.yahoo.com/ivorian-airline-hopes-recovery-off-104408718.html?guccounter=1&guce_referrer=aHR0cHM6Ly9iY2R0cmF2ZWwuaW50ZWxsaWd1aWRlLmNvbS9BbGVydC9BbGVydEV4dGVybmFsLmFzcHg_aWQ9ZGY3NTk3MjYyNDA5NDI5YTgzNjlhNGVhNDk5NjhjYTM&guce_referrer_sig=AQAAALqYJ71YB6IoxnDGjqGsaN5sdGwHErBAor9KDgqxpzW4T8ED8eU6Z3pi7NKzaFt2swOBBwug9fqbQzp4AgcNCWMnoDX27AASl0Wv-hE--KHvoL5lptxfmDoy5PANJFu7qdJ4pqbJIPkJQtOeqHvPPG631MEzNC1kth_ruvLq_J_P"
Croatia,HRV,17.958746,45.451704,06.07.2020,Croatia Airlines ,Croatia Airlines 05?€?19JUL20 operations as of 03JUL20,https://www.routesonline.com/news/38/airlineroute/292268/croatia-airlines-0519jul20-operations-as-of-03jul20/
Cuba,CUB,-79.54237,22.094607,22.04.2020,Cubana de Aviacion,Cubana April 2020 operations as of 19APR20,https://www.routesonline.com/news/38/airlineroute/290911/cubana-april-2020-operations-as-of-19apr20/
Cura??ao,CUW,-69.056155,12.230503,,,,
Cyprus,CYP,33.221964,35.05631,12.06.2020,Cyprus Airways,Cyprus Airways S20 operations as of 11JUN20,https://www.routesonline.com/news/38/airlineroute/291794/cyprus-airways-s20-operations-as-of-11jun20/
Czechia,CZE,15.331513,49.73914,14.07.2020,Czech Airlines,CSA Czech Airlines July 2020 operations as of 12JUL20,https://www.routesonline.com/news/38/airlineroute/292440/csa-czech-airlines-july-2020-operations-as-of-12jul20/
Czechia,CZE,15.331513,49.73914,14.07.2020,Smartwings,Smartwings 15JUN ?€? 31AUG20 operations as of 12JUL20,https://www.routesonline.com/news/38/airlineroute/292441/smarwings-15jun-31aug20-operations-as-of-12jul20/
Dekelia,xUK,33.789214,35.01813,,,,
Democratic People's Republic of Korea,PRK,127.180425,40.146267,,,,
Democratic Republic of the Congo,COD,23.655976,-2.876871,,,,
Denmark,DNK,9.357947,56.264252,19.05.2020,DAT,DAT adds Aalborg ?€? Copenhagen service from June 2020,https://www.routesonline.com/news/38/airlineroute/291324/dat-adds-aalborg-copenhagen-service-from-june-2020/
Denmark,DNK,9.357947,56.264252,19.05.2020,DAT,DAT resumes Saarbruecken ?€? Berlin service from June 2020,https://www.routesonline.com/news/38/airlineroute/291325/dat-resumes-saarbruecken-berlin-service-from-june-2020/
Djibouti,DJI,42.182803,11.560073,14.07.2020,Air Djibouti,"Djibouti, Regular Passenger Flights between Djibouti and Yemen to Commence July 17",https://www.osac.gov/Content/Report/9dec95f1-9d6e-4c47-a4f3-192aa5991769
Dominica,DMA,-61.350113,15.434742,,,,
Dominican Republic,DOM,-70.499109,18.898312,,,,
Ecuador,ECU,-78.370318,-1.447653,12.05.2020,Avianca Ecuador,Avianca Ecuador plans Quito ?€? Lago Agrio service from July 2020,https://www.routesonline.com/news/38/airlineroute/291235/avianca-ecuador-plans-quito-lago-agrio-service-from-july-2020/
Egypt,EGY,29.776611,26.5826,13.07.2020,Air Sinai,Air Sinai plans scheduled service resumption from August 2020,https://www.routesonline.com/news/38/airlineroute/292419/air-sinai-plans-scheduled-service-resumption-from-august-2020/
Egypt,EGY,29.776611,26.5826,13.07.2020,EgyptAir,EGYPTAIR July 2020 International operations as of 23JUN20,https://www.routesonline.com/news/38/airlineroute/292418/egyptair-15jul20-31aug20-international-preliminary-operation-as-of-10jul20//
