,long,lat,group,order,region,Date,sf
1,-87.46200562,30.38968086,1,1,alabama,,s
2,-87.48493195,30.37249184,1,2,alabama,,s
3,-87.52503204,30.37249184,1,3,alabama,,s
4,-87.53076172,30.33238602,1,4,alabama,,s
5,-87.57086945,30.32665443,1,5,alabama,,s
6,-87.58805847,30.32665443,1,6,alabama,,s
7,-87.59378815,30.30946732,1,7,alabama,,s
8,-87.59378815,30.28654861,1,8,alabama,,s
9,-87.6740036,30.27508926,1,9,alabama,,s
10,-87.81151581,30.25790215,1,10,alabama,,s
11,-87.88026428,30.24644089,1,11,alabama,,s
12,-87.92037201,30.24644089,1,12,alabama,,s
13,-87.95475006,30.24644089,1,13,alabama,,s
14,-88.00631714,30.24071312,1,14,alabama,,s
15,-88.01777649,30.25217056,1,15,alabama,,s
16,-88.01204681,30.26935959,1,16,alabama,,s
17,-87.99485779,30.27508926,1,17,alabama,,s
18,-87.95475006,30.27508926,1,18,alabama,,s
19,-87.90318298,30.28082085,1,19,alabama,,s
20,-87.8286972,30.28654861,1,20,alabama,,s
21,-87.80005646,30.28654861,1,21,alabama,,s
22,-87.80005646,30.32665443,1,22,alabama,,s
23,-87.81723785,30.34384537,1,23,alabama,,s
24,-87.84015656,30.38395309,1,24,alabama,,s
25,-87.85162354,30.40114212,1,25,alabama,,s
26,-87.87453461,30.41259956,1,26,alabama,,s
27,-87.90318298,30.42406082,1,27,alabama,,s
28,-87.92610168,30.44697952,1,28,alabama,,s
29,-87.93183136,30.49281311,1,29,alabama,,s
30,-87.94329071,30.52719307,1,30,alabama,,s
31,-87.92037201,30.56156921,1,31,alabama,,s
32,-87.91464233,30.58448792,1,32,alabama,,s
33,-87.92610168,30.61886406,1,33,alabama,,s
34,-87.92037201,30.67043114,1,34,alabama,,s
35,-87.94902039,30.69907761,1,35,alabama,,s
36,-87.98912811,30.79075241,1,36,alabama,,s
37,-88.00631714,30.79648209,1,37,alabama,,s
38,-88.01777649,30.80220985,1,38,alabama,,s
39,-88.03496552,30.79075241,1,39,alabama,,s
40,-88.04642487,30.75637627,1,40,alabama,,s
41,-88.05215454,30.72772598,1,41,alabama,,s
42,-88.05215454,30.71053886,1,42,alabama,,s
43,-88.06360626,30.68762016,1,43,alabama,,s
44,-88.06934357,30.68188858,1,44,alabama,,s
45,-88.08080292,30.63032532,1,45,alabama,,s
46,-88.08080292,30.61313629,1,46,alabama,,s
47,-88.09799194,30.60740662,1,47,alabama,,s
