Register Value,Player Name, Salary,Season Start,Season End,Team,Full Team Name
1,A.C. Green,1750000,1990,1991,LAL,Los Angeles Lakers
354,A.C. Green,1750000,1991,1992,LAL,Los Angeles Lakers
727,A.C. Green,1750000,1992,1993,LAL,Los Angeles Lakers
1103,A.C. Green,1885000,1993,1994,PHO,Phoenix Suns
1497,A.C. Green,6472600,1994,1995,PHO,Phoenix Suns
1832,A.C. Green,6473000,1995,1996,PHO,Phoenix Suns
2207,A.C. Green,4851000,1996,1997,DAL,Dallas Mavericks
2977,A.C. Green,5125088,1998,1999,DAL,Dallas Mavericks
3350,A.C. Green,1700000,1999,2000,LAL,Los Angeles Lakers
3701,A.C. Green,2250000,2000,2001,MIA,Miami Heat
3351,A.J. Bramlett,118974,1999,2000,CLE,Cleveland Caveliers
2,A.J. English,275000,1990,1991,WAS,Washington Wizards
355,A.J. English,325000,1991,1992,WAS,Washington Wizards
728,A.J. English,406000,1992,1993,WAS,Washington Wizards
1104,A.J. English,150000,1993,1994,CHI,Chicago Bulls
1105,A.J. English,150000,1993,1994,POR,Portland Trail Blazers
3702,A.J. Guyton,316969,2000,2001,CHI,Chicago Bulls
4118,A.J. Guyton,465850,2001,2002,CHI,Chicago Bulls
4577,A.J. Guyton,18748,2002,2003,GSW,Golden State Warriors
10717,A.J. Hammons,650000,2016,2017,DAL,Dallas Mavericks
11326,A.J. Hammons,1312611,2017,2018,MIA,Miami Heat
7486,A.J. Price,457588,2009,2010,IND,Indiana Pacers
7944,A.J. Price,762195,2010,2011,IND,Indiana Pacers
8348,A.J. Price,854389,2011,2012,IND,Indiana Pacers
8801,A.J. Price,885120,2012,2013,WAS,Washington Wizards
9627,A.J. Price,62552,2014,2015,PHO,Phoenix Suns
3,A.J. Wynder,30000,1990,1991,BOS,Boston Celtic
356,A.J. Wynder,130000,1991,1992,BOS,Boston Celtic
729,A.J. Wynder,140000,1992,1993,BOS,Boston Celtic
7064,Aaron Brooks,1045560,2008,2009,HOU,Houston Rockets
7487,Aaron Brooks,1118520,2009,2010,HOU,Houston Rockets
8802,Aaron Brooks,3250000,2012,2013,SAC,Sacramento Kings
9230,Aaron Brooks,3396250,2013,2014,SAC,Sacramento Kings
9231,Aaron Brooks,1027424,2013,2014,HOU,Houston Rockets
10154,Aaron Brooks,2000000,2015,2016,CHI,Chicago Bulls
10718,Aaron Brooks,2700000,2016,2017,IND,Indiana Pacers
11327,Aaron Brooks,2116955,2017,2018,MIN,Minnesota Timberwolves
9628,Aaron Craft,35000,2014,2015,GSW,Golden State Warriors
9629,Aaron Gordon,3992040,2014,2015,ORL,Orlando Magic
10155,Aaron Gordon,4171680,2015,2016,ORL,Orlando Magic
10719,Aaron Gordon,4351320,2016,2017,ORL,Orlando Magic
11328,Aaron Gordon,5504420,2017,2018,ORL,Orlando Magic
6659,Aaron Gray,427163,2007,2008,CHI,Chicago Bulls
7065,Aaron Gray,711517,2008,2009,CHI,Chicago Bulls
7488,Aaron Gray,1000497,2009,2010,NOH,New Orleans Pelicans
7945,Aaron Gray,1028840,2010,2011,NOH,New Orleans Pelicans
8349,Aaron Gray,2500000,2011,2012,TOR,Toronto Raptors 
8803,Aaron Gray,2575000,2012,2013,TOR,Toronto Raptors 
9232,Aaron Gray,2690875,2013,2014,TOR,Toronto Raptors 
9630,Aaron Gray,1227985,2014,2015,DET,Detroit Pistons
10156,Aaron Gray,452059,2015,2016,DET,Detroit Pistons
10720,Aaron Gray,452059,2016,2017,DET,Detroit Pistons
11329,Aaron Gray,452059,2017,2018,DET,Detroit Pistons
10157,Aaron Harrison,525093,2015,2016,CHA,Charlotte Hornets
10721,Aaron Harrison,375579,2016,2017,CHA,Charlotte Hornets
1498,Aaron McKie,650000,1994,1995,POR,Portland Trail Blazers
1833,Aaron McKie,845000,1995,1996,POR,Portland Trail Blazers
2208,Aaron McKie,1040000,1996,1997,POR,Portland Trail Blazers
2593,Aaron McKie,1235000,1997,1998,DET,Detroit Pistons
2978,Aaron McKie,1430000,1998,1999,PHI,Philadelphia 76ers
3352,Aaron McKie,1624000,1999,2000,PHI,Philadelphia 76ers
4119,Aaron McKie,4000000,2001,2002,PHI,Philadelphia 76ers
5420,Aaron McKie,5500000,2004,2005,PHI,Philadelphia 76ers
5836,Aaron McKie,6000000,2005,2006,PHI,Philadelphia 76ers
5837,Aaron McKie,2500000,2005,2006,LAL,Los Angeles Lakers
6284,Aaron McKie,5570874,2006,2007,PHI,Philadelphia 76ers
6285,Aaron McKie,2500000,2006,2007,LAL,Los Angeles Lakers
6660,Aaron McKie,750000,2007,2008,MEM,Memphis Grizzlies
5838,Aaron Miles,155614,2005,2006,GSW,Golden State Warriors
1499,Aaron Swinson,102424,1994,1995,PHO,Phoenix Suns
1500,Aaron Williams,150000,1994,1995,MIL,Milwaukee Bucks
2209,Aaron Williams,169000,1996,1997,DEN,Denver Nuggets
2594,Aaron Williams,500000,1997,1998,OKC,Oklahoma City Thunder
2979,Aaron Williams,575000,1998,1999,OKC,Oklahoma City Thunder
3353,Aaron Williams,1100000,1999,2000,WAS,Washington Wizards
3703,Aaron Williams,2250000,2000,2001,NJN,Brooklyn Nets
4120,Aaron Williams,2475000,2001,2002,NJN,Brooklyn Nets
4578,Aaron Williams,2700000,2002,2003,NJN,Brooklyn Nets
5007,Aaron Williams,2925000,2003,2004,NJN,Brooklyn Nets
5421,Aaron Williams,3790257,2004,2005,TOR,Toronto Raptors 
5839,Aaron Williams,3375000,2005,2006,TOR,Toronto Raptors 
6286,Aaron Williams,1750000,2006,2007,LAC,Los Angeles Clippers
6661,Aaron Williams,1890000,2007,2008,LAC,Los Angeles Clippers
11330,Abdel Nader,1167333,2017,2018,BOS,Boston Celtic
1106,Acie Earl,650000,1993,1994,BOS,Boston Celtic
1501,Acie Earl,845000,1994,1995,BOS,Boston Celtic
1834,Acie Earl,1040000,1995,1996,TOR,Toronto Raptors 
2210,Acie Earl,1235000,1996,1997,TOR,Toronto Raptors 
2595,Acie Earl,1430000,1997,1998,MIL,Milwaukee Bucks
6662,Acie Law,1927080,2007,2008,ATL,Atlanta Hawks
7066,Acie Law,2071680,2008,2009,ATL,Atlanta Hawks
7489,Acie Law,2216160,2009,2010,CHI,Chicago Bulls
7946,Acie Law,656030,2010,2011,GSW,Golden State Warriors
7947,Acie Law,203057,2010,2011,MEM,Memphis Grizzlies
4579,Adam Harrington,140636,2002,2003,DAL,Dallas Mavericks
730,Adam Keefe,1000000,1992,1993,ATL,Atlanta Hawks
1107,Adam Keefe,1200000,1993,1994,ATL,Atlanta Hawks
1502,Adam Keefe,1500000,1994,1995,UTA,Utah Jazz
1835,Adam Keefe,1650000,1995,1996,UTA,Utah Jazz
2211,Adam Keefe,1950000,1996,1997,UTA,Utah Jazz
2596,Adam Keefe,2300000,1997,1998,UTA,Utah Jazz
2980,Adam Keefe,2650000,1998,1999,UTA,Utah Jazz
3704,Adam Keefe,3390000,2000,2001,GSW,Golden State Warriors
7067,Adam Morrison,4159200,2008,2009,LAL,Los Angeles Lakers
7490,Adam Morrison,5257229,2009,2010,LAL,Los Angeles Lakers
2597,Adonal Foyle,1495000,1997,1998,GSW,Golden State Warriors
2981,Adonal Foyle,1701000,1998,1999,GSW,Golden State Warriors
3354,Adonal Foyle,1922520,1999,2000,GSW,Golden State Warriors
3705,Adonal Foyle,3580000,2000,2001,GSW,Golden State Warriors
4121,Adonal Foyle,4400000,2001,2002,GSW,Golden State Warriors
4580,Adonal Foyle,4400000,2002,2003,GSW,Golden State Warriors
5008,Adonal Foyle,4400000,2003,2004,GSW,Golden State Warriors
5422,Adonal Foyle,6500000,2004,2005,GSW,Golden State Warriors
5840,Adonal Foyle,7312500,2005,2006,GSW,Golden State Warriors
6287,Adonal Foyle,8125000,2006,2007,GSW,Golden State Warriors
6663,Adonal Foyle,8937500,2007,2008,GSW,Golden State Warriors
6664,Adonal Foyle,1219590,2007,2008,ORL,Orlando Magic
7068,Adonal Foyle,1262275,2008,2009,MEM,Memphis Grizzlies
7491,Adonal Foyle,1306455,2009,2010,ORL,Orlando Magic
2982,Adonis Jordan,350000,1998,1999,MIL,Milwaukee Bucks
10158,Adonis Thomas,60000,2015,2016,DET,Detroit Pistons
9631,Adreian Payne,1855320,2014,2015,MIN,Minnesota Timberwolves
10159,Adreian Payne,1938840,2015,2016,MIN,Minnesota Timberwolves
10722,Adreian Payne,2022240,2016,2017,MIN,Minnesota Timberwolves
4,Adrian Caldwell,275000,1990,1991,HOU,Houston Rockets
1503,Adrian Caldwell,150000,1994,1995,HOU,Houston Rockets
1836,Adrian Caldwell,225000,1995,1996,IND,Indiana Pacers
2598,Adrian Caldwell,20000,1997,1998,CLE,Cleveland Caveliers
5,Adrian Dantley,400000,1990,1991,MIL,Milwaukee Bucks
3355,Adrian Griffin,385000,1999,2000,BOS,Boston Celtic
3706,Adrian Griffin,498500,2000,2001,BOS,Boston Celtic
4122,Adrian Griffin,565850,2001,2002,DAL,Dallas Mavericks
4581,Adrian Griffin,637435,2002,2003,DAL,Dallas Mavericks
5009,Adrian Griffin,751179,2003,2004,HOU,Houston Rockets
5841,Adrian Griffin,768718,2005,2006,DAL,Dallas Mavericks
6288,Adrian Griffin,1475000,2006,2007,CHI,Chicago Bulls
6665,Adrian Griffin,1593000,2007,2008,OKC,Oklahoma City Thunder
7069,Adrian Griffin,1711000,2008,2009,MIL,Milwaukee Bucks
9632,Akil Mitchell,150000,2014,2015,HOU,Houston Rockets
3707,Al Harrington,797880,2000,2001,IND,Indiana Pacers
4123,Al Harrington,1436982,2001,2002,IND,Indiana Pacers
4582,Al Harrington,5060000,2002,2003,IND,Indiana Pacers
5010,Al Harrington,5692500,2003,2004,IND,Indiana Pacers
5423,Al Harrington,6325000,2004,2005,ATL,Atlanta Hawks
5842,Al Harrington,6957500,2005,2006,ATL,Atlanta Hawks
6289,Al Harrington,7625000,2006,2007,GSW,Golden State Warriors
6666,Al Harrington,8425625,2007,2008,GSW,Golden State Warriors
7070,Al Harrington,9226250,2008,2009,NYK,New York Knicks
7492,Al Harrington,10026875,2009,2010,NYK,New York Knicks
7948,Al Harrington,5765000,2010,2011,DEN,Denver Nuggets
8350,Al Harrington,6226200,2011,2012,DEN,Denver Nuggets
8804,Al Harrington,6687400,2012,2013,ORL,Orlando Magic
9233,Al Harrington,3574300,2013,2014,ORL,Orlando Magic
9234,Al Harrington,1399507,2013,2014,WAS,Washington Wizards
9633,Al Harrington,3805000,2014,2015,ORL,Orlando Magic
6667,Al Horford,3745800,2007,2008,ATL,Atlanta Hawks
7071,Al Horford,4026720,2008,2009,ATL,Atlanta Hawks
7493,Al Horford,4307640,2009,2010,ATL,Atlanta Hawks
7949,Al Horford,5444857,2010,2011,ATL,Atlanta Hawks
8351,Al Horford,12000000,2011,2012,ATL,Atlanta Hawks
8805,Al Horford,12000000,2012,2013,ATL,Atlanta Hawks
9235,Al Horford,12000000,2013,2014,ATL,Atlanta Hawks
9634,Al Horford,12000000,2014,2015,ATL,Atlanta Hawks
10160,Al Horford,12000000,2015,2016,ATL,Atlanta Hawks
10723,Al Horford,26540100,2016,2017,BOS,Boston Celtic
11331,Al Horford,27734405,2017,2018,BOS,Boston Celtic
5424,Al Jefferson,1407240,2004,2005,BOS,Boston Celtic
5843,Al Jefferson,1512840,2005,2006,BOS,Boston Celtic
6668,Al Jefferson,2480885,2007,2008,MIN,Minnesota Timberwolves
7072,Al Jefferson,11000000,2008,2009,MIN,Minnesota Timberwolves
7494,Al Jefferson,12000000,2009,2010,MIN,Minnesota Timberwolves
7950,Al Jefferson,13000000,2010,2011,UTA,Utah Jazz
8352,Al Jefferson,14000000,2011,2012,UTA,Utah Jazz
8806,Al Jefferson,15000000,2012,2013,UTA,Utah Jazz
10161,Al Jefferson,13833333,2015,2016,CHA,Charlotte Hornets
10724,Al Jefferson,10230179,2016,2017,IND,Indiana Pacers
11332,Al Jefferson,9769821,2017,2018,IND,Indiana Pacers
6669,Al Thornton,1652280,2007,2008,LAC,Los Angeles Clippers
7073,Al Thornton,1776240,2008,2009,LAC,Los Angeles Clippers
7495,Al Thornton,1900200,2009,2010,WAS,Washington Wizards
7951,Al Thornton,2814196,2010,2011,WAS,Washington Wizards
6,Alaa Abdelnaby,395000,1990,1991,POR,Portland Trail Blazers
357,Alaa Abdelnaby,494000,1991,1992,POR,Portland Trail Blazers
731,Alaa Abdelnaby,500000,1992,1993,BOS,Boston Celtic
1108,Alaa Abdelnaby,805000,1993,1994,BOS,Boston Celtic
1504,Alaa Abdelnaby,650000,1994,1995,SAC,Sacramento Kings
8807,Alan Anderson,885120,2012,2013,TOR,Toronto Raptors 
9236,Alan Anderson,947907,2013,2014,NJN,Brooklyn Nets
9635,Alan Anderson,1276061,2014,2015,NJN,Brooklyn Nets
10162,Alan Anderson,4000000,2015,2016,WAS,Washington Wizards
10725,Alan Anderson,1315448,2016,2017,LAC,Los Angeles Clippers
1837,Alan Henderson,791000,1995,1996,ATL,Atlanta Hawks
2212,Alan Henderson,910000,1996,1997,ATL,Atlanta Hawks
2599,Alan Henderson,1028400,1997,1998,ATL,Atlanta Hawks
2983,Alan Henderson,4725000,1998,1999,ATL,Atlanta Hawks
3356,Alan Henderson,5318437,1999,2000,ATL,Atlanta Hawks
3708,Alan Henderson,5910000,2000,2001,ATL,Atlanta Hawks
4124,Alan Henderson,6500312,2001,2002,ATL,Atlanta Hawks
4583,Alan Henderson,7091250,2002,2003,ATL,Atlanta Hawks
5011,Alan Henderson,7682188,2003,2004,ATL,Atlanta Hawks
5425,Alan Henderson,8273125,2004,2005,DAL,Dallas Mavericks
5844,Alan Henderson,1138500,2005,2006,CLE,Cleveland Caveliers
7,Alan Ogg,130000,1990,1991,MIA,Miami Heat
