,state,number
1,AL,16160
2,AZ,1937
3,AK,14664
4,CA,192984
6,CO,4346
7,DE,658
8,DC,10
9,FL,87200
10,GA,45720
11,ID,932
12,IL,74683
13,IN,31868
14,IA,5120
15,KS,3729
16,KY,38112
17,LA,71500
18,ME,399
19,MD,35658
20,MA,1440
21,MI,64860
22,MN,17158
23,MS,32852
24,MO,16695
25,MT,2380
26,NE,2288
27,NV,490
28,NH,125
29,NJ,22755
30,NM,546
31,NY,5024
32,NC,4144
33,ND,630
34,OH,38318
35,OK,9940
36,OR,6372
37,PA,32336
38,RI,462
39,SC,10640
40,SD,830
41,TN,23409
42,TX,168640
43,UT,1180
44,VT,129
45,VA,7104
46,WA,17
47,WV,8952
48,WI,19400
49,WY,408
