Country,Country code,X,Y,Airline,Notice
Abyei,"SDN, SSD",28.415755,9.786952,,
Aksai Chin,"AKS, CHN",79.132432,35.030488,,
Afghanistan,AFG,66.026881,33.831602,Afghan Ariana Airlines,Afghan Ariana Airlines seeks permission to start flights from Pakistan
Afghanistan,AFG,66.026881,33.831602,Afghan Ariana Airlines,CAA grants permission to Afghan airlines to operate flights in Pakistan
Åland Islands,ALA,19.80946,60.15449,,
Albania,ALB,20.066643,41.138926,,
Algeria,DZA,2.678028,28.157361,Air Algerie,Air Algérie to re-start flights between Algiers and Rome on 12JUN21.
American Samoa,ASM,-170.71806,-14.300686,,
Andorra,AND,1.576279,42.545479,,
Antarctica,ATA,21.475857,-80.408977,,
Argentina,ARG,-63.578123,-31.578414,Flybondi,Flybondi resumes services after pandemic-caused travel restrictions in Argentina
Aruba,ABW,-69.970272,12.50911,,
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,,
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,,
Azerbaijan,AZE,50.010647,40.392295,Azerbaijan Airlines,Azerbaijan Airlines increases flights between Baku and Tbilisi
Azerbaijan,AZE,50.010647,40.392295,Azerbaijan Airlines,Azerbaijan Airlines to increase frequency of flights operated from Baku to Tel Aviv
Azores Islands,PRT,-25.494913,37.77694,,
Bahamas,BHS,-78.051117,24.695466,,
Bahrain,BHR,50.547509,26.054724,Gulf Air,All Set for Rollout of Digital Travel Pass
Bahrain,BHR,50.547509,26.054724,Gulf Air,Gulf Air Opens Two Fifth Freedom Routes In One Week
Bahrain,BHR,50.547509,26.054724,Gulf Air,Gulf Air to fly weekly between Bangkok and Singapore
Bahrain,BHR,50.547509,26.054724,Gulf Air,Gulf Air Mulls Relaunching Australia Flights
Baker Island,UMI,-176.47834,0.194787,,
Bangladesh,BGD,90.28042,23.927884,Biman Bangladesh,Bangladesh prepares to meet FAA terms to resume flight services to USA
Bangladesh,BGD,90.28042,23.927884,Biman Bangladesh,Biman cancels domestic flights for a week
Bassas da India,xFR,39.748618,-21.46322,,
Belgium,BEL,4.660713,50.640947,Air Antwerp,Air Antwerp ceases operations in the wake of COVID-19 pandemic
Belgium,BEL,4.660713,50.640947,Brussels Airlines,"Brussels Airlines Resumes Service To New York And Washington, D.C."
Belgium,BEL,4.660713,50.640947,Brussels Airlines,"Brussels Airlines Returns to Ljubljana - 9 Carriers Now Serve Slovenia, 7 More Coming in Summer"
Belgium,BEL,4.660713,50.640947,Air Belgium,Air Belgium starts regular flights between Belgium and Martinique to Curaçao
Belize,BLZ,-88.708794,17.19908,,
Benin,BEN,2.339979,9.653766,,
Bi'r Tawīl,"SDN, EGY",33.687997,21.888666,,
Bird Island,VEN,-63.617377,15.668231,,
Bolivia,BOL,-64.662243,-16.712734,Boliviana,Boliviana de Aviación increased its frequency of flights to Miami
Bonaire,BES,-68.308064,12.226704,,
Brazil,BRA,-53.089656,-10.772064,LAM Mozambique,LAM Mozambique to dispose of remaining Embraers
Brazil,BRA,-53.089656,-10.772064,ITA,Brazilian Startup ITA Operates First Flights Despite Cancelations
Burkina Faso,BFA,-1.735501,12.273481,Air Burkina,Air Burkina implements Amadeus technology suite
