purchase_date,salesbyday
2019-07-01,272.46
2019-07-02,559.53
2019-07-03,12309.05
2019-07-04,10691.14
2019-07-05,8572.41
2019-07-06,7880.34
2019-07-07,10202.65
2019-07-08,3810.58
2019-07-09,4493.39
2019-07-10,19.62
2019-07-11,707.27
2019-07-12,988.28
2019-07-13,1447.99
2019-07-14,809.63
2019-07-15,774.51
2019-07-16,1571.17
2019-07-17,2881.52
2019-07-18,2890.19
2019-07-19,2780.72
2019-07-20,1507.36
2019-07-21,3398.34
2019-07-22,3810.04
2019-07-23,4057.57
2019-07-24,4683.38
2019-07-25,5101.08
2019-07-26,5449.12
2019-07-27,3671.25
2019-07-28,4280.22
2019-07-29,7700.82
2019-07-30,7705.1
2019-07-31,10870.31
2019-08-01,16096.69
2019-08-02,13465.27
2019-08-03,5909.98
2019-08-04,7318.46
2019-08-05,12734.75
2019-08-06,13321.43
2019-08-07,10371.42
2019-08-08,10676.54
2019-08-09,11911.82
2019-08-10,15876.28
2019-08-11,11628.3
2019-08-12,11960.14
2019-08-13,17805.31
2019-08-14,14232.29
2019-08-15,11079.88
2019-08-16,16458.05
2019-08-17,6058.06
2019-08-18,16639.87
2019-08-19,13816.54
2019-08-20,15912.61
2019-08-21,8561.56
2019-08-22,7843.37
2019-08-23,11080.6
2019-08-24,10095.83
2019-08-25,4831.56
2019-08-26,9576.81
2019-08-27,9503.73
2019-08-28,9536.24
2019-08-29,9043.96
2019-08-30,8090.93
2019-09-04,5665.3
2019-09-05,6583.5
2019-09-06,6790.76
2019-09-07,12423.25
2019-09-08,21189.23
2019-09-09,13575.95
2019-09-10,14348.92
2019-09-11,14450.44
2019-09-12,8853.5
2019-09-13,12662.33
2020-01-05,13845.73
2020-01-06,18123.94
2020-01-07,14885.4
2020-01-08,14444.76
2020-01-09,13737.93
2020-01-10,7777.25
2020-01-11,19147.21
2020-01-12,17124.56
2020-01-13,17902.89
2020-01-14,19462.85
2020-01-15,14895.04
2020-01-16,18110.32
2020-01-17,7728.08
2020-01-18,20173.35
2020-01-19,14813.61
2020-01-20,16663.24
2020-01-21,24153.01
2020-01-22,14113.47
2020-01-23,12612.51
2020-01-24,7861.76
2020-01-25,21222.09
2020-01-26,15316.24
2020-01-27,10081.94
2020-01-28,11435
2020-01-29,14178.48
2020-01-30,20574.68
2020-01-31,12083.25
2020-02-01,11632
2020-02-02,14988.58
2020-02-03,20849.13
2020-02-04,27127.9
2020-02-05,15226.14
2020-02-06,10770.06
2020-02-07,10166.48
2020-02-08,13587.65
2020-02-09,10447.39
2020-02-10,9432.61
2020-02-11,11387.8
2020-02-12,8555.3
2020-02-13,9887.82
2020-02-14,6932.74
2020-02-15,9472.3
2020-02-16,23921.82
2020-02-17,14423.42
2020-02-18,16808.32
2020-02-19,10466.44
2020-02-20,16018.33
2020-02-21,11838.88
2020-02-22,16632.3
2020-02-23,17651.79
2020-02-24,19760.09
2020-02-25,11871.67
2020-02-26,18245.83
2020-02-27,15613.96
2020-02-28,9934.09
2020-03-01,16070.04
2020-03-02,21081.12
2020-03-03,12155.48
2020-03-04,16582.86
2020-03-05,17556.78
2020-03-06,19819.07
2020-03-07,20944.56
2020-03-08,20227.15
2020-03-09,24505.27
2020-03-10,24174.95
2020-03-11,22971
2020-03-12,15479.48
2020-03-13,11015.03
2020-03-14,18379.18
2020-03-15,22186.72
2020-03-16,26412.16
2020-03-17,22674.77
2020-03-18,22996.93
2020-03-19,24638.26
2020-03-20,12727.4
2020-03-21,20877.55
2020-03-22,30140.72
2020-03-23,21507.18
2020-03-24,28821.34
2020-03-25,20953.55
2020-03-26,13334.04
2020-03-27,17362.07
2020-03-28,12348.94
2020-03-29,23028.28
2020-03-30,17890.1
2020-03-31,24737.43
2020-04-01,22457.63
2020-04-02,21890.47
2020-04-03,12931.93
2020-04-04,16029.49
2020-04-05,27604.84
2020-04-06,18908.21
2020-04-07,17193.76
2020-04-08,26654.81
2020-04-09,19760.57
2020-04-10,10296.56
2020-04-11,20381.51
2020-04-12,19418.43
2020-04-13,16988.87
2020-04-14,27515.26
2020-04-15,17497.04
2020-04-16,15232.16
2020-04-17,13545.88
2020-04-18,17897.44
2020-04-19,26797.27
2020-04-20,22171.07
2020-04-21,7275.1
2020-04-22,10478.06
2020-04-23,15945.16
2020-04-24,10066.2
2020-04-25,20829.98
2020-04-26,16868.76
2020-04-27,20560
2020-04-28,17318.94
2020-04-29,15350.39
2020-04-30,16675.5
2020-05-01,16214.06
2020-05-02,14957.68
2020-05-03,20551.31
2020-05-04,18478.78
2020-05-05,26240.64
2020-05-06,28269.91
2020-05-07,16723.17
2020-05-08,12781.44
2020-05-09,10452.51
2020-05-10,21179.32
2020-05-11,26406.34
2020-05-12,23659.41
2020-05-13,19696.25
2020-05-14,22593.54
2020-05-15,15079.54
2020-05-16,17045.46
2020-05-17,29394.66
2020-05-18,34102.33
2020-05-19,20722.03
2020-05-20,23065.28
2020-05-21,18654.32
2020-05-22,16384.09
2020-05-23,14200.66
2020-05-24,22489.34
2020-05-25,23989.52
2020-05-26,15917.54
2020-05-27,20477.14
2020-05-28,24624.34
2020-05-29,18645.1
2020-05-30,17126.14
2020-05-31,21563.49
2020-06-01,27129.35
2020-06-02,33035.29
2020-06-03,33366.26
2020-06-04,32649.98
2020-06-05,24980.51
2020-06-06,27203.43
2020-06-07,28204.23
2020-06-08,21702.45
2020-06-09,23948.64
2020-06-10,24367.17
2020-06-11,23777.38
2020-06-12,19406.01
2020-06-13,16595.97
2020-06-14,23249.85
2020-06-15,29330.21
2020-06-16,28421.56
2020-06-17,32653.5
2020-06-18,80442.59
2020-06-19,77770.02
2020-06-20,66426.77
2020-06-21,28708.98
2020-06-22,22853.41
2020-06-23,19700.02
2020-06-24,17795.46
2020-06-25,18848.94
2020-06-26,13015.19
2020-06-27,17423.99
2020-06-28,27344.33
2020-06-29,37990.55
2020-06-30,36707.99
2020-07-01,24992.78
2020-07-02,34974.54
2020-07-03,21165.06
2020-07-04,34196.9
2020-07-05,30397.51
2020-07-06,27646.84
2020-07-07,28503.09
2020-07-08,22145.51
2020-07-09,15735.47
2020-07-10,18977.12
2020-07-11,21832.1
2020-07-12,29135.07
2020-07-13,32931.66
2020-07-14,33086.34
2020-07-15,29369.3
2020-07-16,22048.31
2020-07-17,25005.88
2020-07-18,23770.9
2020-07-19,34655.48
2020-07-20,24290.48
2020-07-21,26634.05
2020-07-22,25298.43
2020-07-23,19791.13
2020-07-24,12332.16
2020-07-25,16291.3
2020-07-26,23135.79
2020-07-27,26020.34
2020-07-28,25494.27
2020-07-29,27524.67
2020-07-30,35160.46
2020-07-31,15538.3
2020-08-01,22656.24
2020-08-02,27799.77
2020-08-03,31526.11
2020-08-04,25388.74
2020-08-05,34447.22
2020-08-06,22904.56
2020-08-07,18455.24
2020-08-08,20371.34
2020-08-09,34663.79
2020-08-10,34092.92
2020-08-11,28115.08
2020-08-12,23881.33
2020-08-13,28405.36
2020-08-14,17912.06
2020-08-15,22372.56
2020-08-16,36764.54
2020-08-17,42799.82
2020-08-18,34859.78
2020-08-19,28661.32
2020-08-20,22694.89
2020-08-21,18781.63
2020-08-22,23930.45
2020-08-23,27493.57
2020-08-24,26854.07
2020-08-25,22220.78
2020-08-26,27699.43
2020-08-27,24809.68
2020-08-28,19716.44
2020-08-29,23905.25
2020-08-30,25872.04
2020-08-31,27918.75
2020-09-01,23241.77
2020-09-02,27564.67
2020-09-03,28660.43
2020-09-04,23964.56
2020-09-05,22727.87
2020-09-06,34148.52
2020-09-07,27952.13
2020-09-08,23829.39
2020-09-09,30466.92
2020-09-10,23752.34
2020-09-11,29009.81
2020-09-12,29709.83
2020-09-13,30874.62
2020-09-14,32340.58
2020-09-15,28689.38
2020-09-16,35957.52
2020-09-17,38460.45
2020-09-18,29757.27
2020-09-19,24592.42
2020-09-20,54059.33
2020-09-21,49842.63
2020-09-22,32189.79
2020-09-23,53236.29
2020-09-24,67094.39
2020-09-25,78459.9
2020-09-26,57133.32
2020-09-27,63187.58
2020-09-28,60417.32
2020-09-29,51763.39
2020-09-30,37575.3
2020-10-01,50135.51
2020-10-02,37557.29
2020-10-03,36909.53
2020-10-04,57336.19
2020-10-05,48168.86
2020-10-06,47872.04
2020-10-07,35975.35
2020-10-08,36877.51
2020-10-09,24565.55
2020-10-10,30797.46
2020-10-11,41056.97
2020-10-12,42836.03
2020-10-13,34866.15
2020-10-14,31625.21
2020-10-15,32194.42
2020-10-16,23926.6
2020-10-17,23012.99
2020-10-18,34525.56
2020-10-19,24740.06
2020-10-20,33354.13
2020-10-21,22026.58
2020-10-22,18514.7
2020-10-23,17350.08
2020-10-24,6766.71
2020-10-25,12662.23
2020-10-26,26308.78
2020-10-27,22974.27
2020-10-28,18272.23
2020-10-29,22598.81
2020-10-30,16042.79
2020-10-31,10240.76
2020-11-01,9768.27
2020-11-02,31356.52
2020-11-03,39589.39
2020-11-04,43294.47
2020-11-05,35524.63
2020-11-06,37549.84
2020-11-07,34656.95
2020-11-08,49149.39
2020-11-09,39304.65
2020-11-10,45672.98
2020-11-11,98271.49
2020-11-12,80930.17
2020-11-13,54511.07
2020-11-14,47282.41
2020-11-15,46493.54
2020-11-16,55854.41
2020-11-17,43157.84
2020-11-18,35597.78
2020-11-19,36531.09
