,id,title,original_title,homepage,original_language,overview,tagline,popularity,release_date,runtime,status,vote_count,vote_average,budget,revenue
0,19995,Avatar,Avatar,http://www.avatarmovie.com/,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,150.437577,2009/12/10,162,Released,11800,7.2,237000000,2787965087
25,597,Titanic,Titanic,http://www.titanicmovie.com,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Nothing on Earth could come between them.,100.025899,1997/11/18,194,Released,7562,7.5,200000000,1845034188
16,24428,The Avengers,The Avengers,http://marvel.com/avengers_movie/,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,144.448633,2012/4/25,143,Released,11776,7.4,220000000,1519557910
28,135397,Jurassic World,Jurassic World,http://www.jurassicworld.com/,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.,418.708552,2015/6/9,124,Released,8662,6.5,150000000,1513528810
44,168259,Furious 7,Furious 7,http://www.furious7.com/,en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Vengeance Hits Home,102.322217,2015/4/1,137,Released,4176,7.3,190000000,1506249360
7,99861,Avengers: Age of Ultron,Avengers: Age of Ultron,http://marvel.com/movies/movie/193/avengers_age_of_ultron,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,134.279229,2015/4/22,141,Released,6767,7.3,280000000,1405403694
124,109445,Frozen,Frozen,http://movies.disney.com/frozen,en,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",Only the act of true love will thaw a frozen heart.,165.125366,2013/11/27,102,Released,5295,7.3,150000000,1274219009
31,68721,Iron Man 3,Iron Man 3,http://marvel.com/ironman3,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.,77.68208,2013/4/18,130,Released,8806,6.8,200000000,1215439994
546,211672,Minions,Minions,http://www.minionsmovie.com/,en,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Before Gru, they had a history of bad bosses",875.581305,2015/6/17,91,Released,4571,6.4,74000000,1156730962
26,271110,Captain America: Civil War,Captain America: Civil War,http://marvel.com/captainamericapremiere,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Divided We Fall,198.372395,2016/4/27,147,Released,7241,7.1,250000000,1153304495
52,38356,Transformers: Dark of the Moon,Transformers: Dark of the Moon,http://www.transformersmovie.com/,en,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",The invasion we always feared. An enemy we never expected.,28.529607,2011/6/28,154,Released,3299,6.1,195000000,1123746996
329,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,http://www.lordoftherings.net,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The eye of the enemy is moving.,123.630332,2003/12/1,201,Released,8064,8.1,94000000,1118888979
29,37724,Skyfall,Skyfall,http://www.skyfall-movie.com,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Think on your sins.,93.004993,2012/10/25,143,Released,7604,6.9,200000000,1108561013
36,91314,Transformers: Age of Extinction,Transformers: Age of Extinction,http://www.transformersmovie.com,en,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",This is not war. It's extinction.,116.840296,2014/6/25,165,Released,3095,5.8,210000000,1091405097
3,49026,The Dark Knight Rises,The Dark Knight Rises,http://www.thedarkknightrises.com/,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,112.31295,2012/7/16,165,Released,9106,7.6,250000000,1084939099
42,10193,Toy Story 3,Toy Story 3,http://disney.go.com/toystory/,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",No toy gets left behind.,59.995418,2010/6/16,103,Released,4597,7.6,200000000,1066969703
12,58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,http://disney.go.com/disneypictures/pirates/,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,145.847379,2006/6/20,151,Released,5246,7,200000000,1065659812
17,1865,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,en,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Live Forever Or Die Trying.,135.413856,2011/5/14,136,Released,4948,6.4,380000000,1045713802
32,12155,Alice in Wonderland,Alice in Wonderland,http://disney.go.com/wonderland/,en,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason �?to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",You're invited to a very important date.,78.530105,2010/3/3,108,Released,4645,6.4,200000000,1025491110
98,49051,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,http://www.thehobbit.com/,en,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",From the smallest beginnings come the greatest legends.,108.849621,2012/11/26,169,Released,8297,7,250000000,1021103568
65,155,The Dark Knight,The Dark Knight,http://thedarkknight.warnerbros.com/dvdsite/,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Why So Serious?,187.322927,2008/7/16,152,Released,12002,8.2,185000000,1004558444
197,671,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",Let the Magic Begin.,109.984351,2001/11/16,152,Released,7006,7.5,125000000,976475550
506,93456,Despicable Me 2,Despicable Me 2,http://www.despicableme.com/,en,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,Back 2 Work,136.886704,2013/6/25,98,Released,4637,7,76000000,970761885
78,278927,The Jungle Book,The Jungle Book,http://movies.disney.com/the-jungle-book-2016,en,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",,94.199316,2016/4/7,106,Released,2892,6.7,175000000,966550600
1,285,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,http://disney.go.com/disneypictures/pirates/,en,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",139.082615,2007/5/19,169,Released,4500,6.9,300000000,961000000
22,57158,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,http://www.thehobbit.com/,en,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.,94.370564,2013/12/11,161,Released,4524,7.6,250000000,958400000
19,122917,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,http://www.thehobbit.com/,en,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Witness the defining chapter of the Middle-Earth saga,120.965743,2014/12/10,144,Released,4760,7.1,250000000,956019788
328,12,Finding Nemo,Finding Nemo,http://movies.disney.com/finding-nemo,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","There are 3.7 trillion fish in the ocean, they're looking for one.",85.688789,2003/5/30,100,Released,6122,7.6,94000000,940335536
113,675,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,http://www.harrypotterorderofthephoenix.com/,en,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students �?dubbed 'Dumbledore's Army' �?to defend themselves against the dark arts.",Evil Must Be Confronted.,78.144395,2007/6/28,138,Released,5494,7.4,150000000,938212738
8,767,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,98.885637,2009/7/7,153,Released,5293,7.4,250000000,933959197
330,121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,http://www.lordoftherings.net/,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",A New Power Is Rising.,106.914973,2002/12/18,179,Released,7487,8,79000000,926287400
233,1893,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,en,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",Every generation has a legend. Every journey has a first step. Every saga has a beginning.,54.035265,1999/5/19,136,Released,4432,6.3,115000000,924317558
675,329,Jurassic Park,Jurassic Park,http://www.jurassicpark.com/,en,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",An adventure 65 million years in the making.,40.413191,1993/6/11,127,Released,4856,7.6,63000000,920100000
565,809,Shrek 2,Shrek 2,http://www.shrek2.com/,en,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",Once upon another time...,47.320801,2004/5/19,93,Released,2988,6.7,150000000,919838758
114,674,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,http://harrypotter.warnerbros.com/,en,"Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure �?but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.",Dark And Difficult Times Lie Ahead.,101.250416,2005/11/5,157,Released,5608,7.5,150000000,895921036
5,559,Spider-Man 3,Spider-Man 3,http://www.sonypictures.com/movies/spider-man3/,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villain �?including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.,115.699814,2007/5/1,139,Released,3576,5.9,258000000,890871626
348,8355,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,http://www.iceagemovies.com/films/ice-age-dawn-of-the-dinosaurs,en,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors �?the mighty dinosaurs.",You Won't Believe Your Ice!,69.457898,2009/6/29,94,Released,2271,6.5,90000000,886686817
2,206647,Spectre,Spectre,http://www.sonypictures.com/movies/spectre/,en,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",A Plan No One Escapes,107.376788,2015/10/26,148,Released,4466,6.3,245000000,880674609
325,57800,Ice Age: Continental Drift,Ice Age: Continental Drift,http://www.iceagemovies.com/films/ice-age-continental-drift,en,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.","Manny, Diego, and Sid embark upon another adventure after their continent is set adrift.",65.229868,2012/6/26,88,Released,2672,6.2,95000000,877244782
276,672,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,,en,"Ignoring threats to his life, Harry returns to Hogwarts to investigate �?aided by Ron and Hermione �?a mysterious series of attacks.",Hogwarts is back in session.,132.397737,2002/11/13,161,Released,5815,7.4,100000000,876688482
504,328111,The Secret Life of Pets,The Secret Life of Pets,http://www.thesecretlifeofpets.com/,en,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Think this is what they do all day?,31.482872,2016/6/18,87,Released,3462,5.9,75000000,875958308
9,209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,http://www.batmanvsupermandawnofjustice.com/,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,155.790452,2016/3/23,151,Released,7004,5.7,250000000,873260194
