Champion,Pos,GP,P,B,P+B,W,CTR,K,D,A,KDA,KP,DTH,FB,GD10,XPD10,CSD10,CSPM,CSP15,DPM,DMG,GOLD,WPM,WCPM
Akali,Middle,5,0.07,0.12,0.18,0.6,1,25,12,21,3.8,0.55,0.14,0,22,150,-2.4,8.5,0.23,456,0.21,0.23,0.32,0.23
Alistar,Support,6,0.08,0.04,0.12,0,0.83,7,27,30,1.4,0.63,0.23,0,-141,37,1.7,1.1,0.03,114,0.06,0.09,1.73,0.42
Aphelios,ADC,6,0.08,0.03,0.11,0.5,1,20,14,28,3.4,0.66,0.18,0.17,266,267,3.3,9.1,0.3,549,0.28,0.26,0.45,0.36
Ashe,ADC,32,0.42,0.26,0.68,0.47,0.34,101,82,195,3.6,0.67,0.18,0.28,104,20,1.3,9.1,0.29,498,0.25,0.25,0.4,0.38
Azir,Middle,10,0.13,0.07,0.2,0.3,0.9,20,20,33,2.7,0.54,0.13,0.1,-65,52,-2,9.2,0.27,353,0.24,0.25,0.38,0.27
Bard,Support,15,0.2,0.16,0.36,0.6,0.47,9,34,158,4.9,0.78,0.18,0.27,-81,101,0.7,1.3,0.04,181,0.09,0.09,2.11,0.52
Blitzcrank,Support,4,0.05,0.05,0.11,0.5,1,4,10,23,2.7,0.5,0.2,0,329,118,-1.5,0.9,0.03,132,0.08,0.08,1.39,0.25
Braum,Support,7,0.09,0.04,0.13,0.57,0.86,7,16,48,3.4,0.65,0.25,0.29,98,98,1.7,1.1,0.03,178,0.09,0.09,1.72,0.34
Caitlyn,ADC,11,0.15,0.36,0.5,0.55,0.27,34,15,45,5.3,0.6,0.17,0.18,-24,-11,2.6,9.8,0.3,513,0.31,0.27,0.43,0.38
Camille,Top,14,0.18,0.55,0.74,0.57,0.07,65,45,63,2.8,0.56,0.23,0.36,197,36,-3.3,7.9,0.25,494,0.24,0.24,0.38,0.23
Draven,ADC,2,0.03,0.01,0.04,0.5,1,5,3,9,4.7,0.67,0.18,0,219,367,9,8.6,0.26,379,0.23,0.24,0.5,0.3
Ekko,Middle,7,0.09,0.04,0.13,0.71,1,21,7,43,9.1,0.66,0.12,0,-40,-73,-6.6,9.5,0.26,394,0.23,0.24,0.37,0.3
Evelynn,Jungle,4,0.05,0.08,0.13,0.5,0.75,15,11,13,2.5,0.62,0.23,0.5,-170,68,1,6.1,0.16,376,0.22,0.2,0.43,0.14
Ezreal,ADC,21,0.28,0.25,0.53,0.57,0.76,72,54,89,3,0.63,0.21,0.19,-181,-138,-3,9.3,0.3,683,0.34,0.26,0.42,0.31
Fiora,Top,2,0.03,0,0.03,0.5,1,10,8,5,1.9,0.54,0.22,0,-29,-57,0.5,9.4,0.32,620,0.28,0.27,0.35,0.15
Galio,Middle,15,0.2,0.05,0.25,0.4,0.8,36,40,85,3,0.69,0.21,0.47,-271,-212,-7.5,7.6,0.21,304,0.17,0.2,0.47,0.14
Gangplank,Top,11,0.15,0.09,0.24,0.45,0.73,36,31,57,3,0.68,0.22,0.18,75,-98,-3.7,8.6,0.26,643,0.32,0.27,0.41,0.12
Gnar,Top,1,0.01,0,0.01,1,1,1,2,7,4,0.5,0.33,0,-247,-33,9,8.5,0.23,356,0.2,0.2,0.43,0.24
Gragas,Jungle,3,0.04,0.04,0.08,0.67,0.33,11,6,20,5.2,0.6,0.13,0.33,-155,-131,-0.3,5.9,0.2,391,0.19,0.18,0.81,0.35
Graves,Jungle,52,0.68,0.24,0.92,0.44,0.17,180,142,256,3.1,0.68,0.2,0.27,-15,-13,-0.2,6.9,0.22,391,0.2,0.21,0.49,0.5
