Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,MH,VOD
Finals,DAMWON Gaming,Suning,1-3月,1,10.19,Camille,Nidalee,Jhin,Twisted Fate,Akali,Ashe,Syndra,"Graves, Leona","Kindred, Caitlyn",Orianna,Kennen,Ezreal,Lulu,Jax,Aphelios,"Pantheon, Ornn",Gangplank,Mid,Jungle,Bot,Support,Top,Jungle,Support,Mid,Bot,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1533027?gameHash=57c7c71987527a99,https://youtu.be/myCz7BxvKsw?t=14
Finals,Suning,DAMWON Gaming,2-1月,2,10.19,Twisted Fate,Camille,Ashe,Renekton,Lucian,Leona,Nidalee,"Jhin, Syndra","Akali, Jax",Graves,Bard,Lulu,Thresh,Pantheon,Kennen,"Alistar, Ezreal",Braum,Jungle,Mid,Top,Support,Bot,Bot,Mid,Jungle,Top,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1533026?gameHash=d4e6034af1d5d7b0,https://youtu.be/JsPF3ZaIXdU?t=28
Finals,DAMWON Gaming,Suning,1-1月,2,10.19,Camille,Nidalee,Sylas,Twisted Fate,Graves,Ashe,Lucian,"Jhin, Syndra","Evelynn, Ornn",Leona,Senna,Lee Sin,Draven,Wukong,Rengar,"Aphelios, Thresh",Fiora,Mid,Jungle,Top,Bot,Support,Bot,Mid,Support,Jungle,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1533025?gameHash=0e76cc6aa34c5281,https://youtu.be/u8Sy6rQ8Yf8?t=7
Finals,DAMWON Gaming,Suning,1 - 0,1,10.19,Camille,Nidalee,Syndra,Lucian,Jhin,Twisted Fate,Graves,"Ezreal, Leona","Ornn, Orianna",Azir,Thresh,Jarvan IV,Caitlyn,Gangplank,Shen,"Ashe, Pantheon",Wukong,Jungle,Top,Mid,Bot,Support,Bot,Support,Mid,Jungle,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1533024?gameHash=acbc85ab00c44349,https://youtu.be/ulboa1kHp8U?t=1533
Semifinals,Suning,Top Esports,1-3月,1,10.19,Lucian,Camille,Syndra,Nidalee,Caitlyn,Azir,Ezreal,"Orianna, Graves","Leona, Akali",Ornn,Gangplank,Senna,Shen,Jhin,Ashe,"Jax, Jarvan IV",Tahm Kench,Bot,Support,Mid,Top,Jungle,Mid,Jungle,Top,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532935?gameHash=392f56bf8f4ca710,https://youtu.be/xOQS1_cXcxM?t=202
Semifinals,Top Esports,Suning,2-1月,2,10.19,Camille,Lucian,Kindred,Syndra,Graves,Nidalee,Lee Sin,"Ezreal, Orianna","Caitlyn, Lux",Leona,Azir,Jarvan IV,Sylas,Ornn,Shen,"Ekko, Renekton",Jax,Jungle,Bot,Support,Mid,Top,Bot,Mid,Support,Jungle,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532930?gameHash=eedf4a44b26517a8,https://youtu.be/ZAbkO7UUpQQ?t=129
Semifinals,Suning,Top Esports,1-1月,2,10.19,Lucian,Camille,Caitlyn,Nidalee,Syndra,Graves,Jhin,"Lee Sin, Ezreal","Zoe, Kindred",Orianna,Thresh,Yuumi,Pantheon,Vladimir,Leona,"Ornn, Bard",Gangplank,Bot,Mid,Jungle,Top,Support,Jungle,Bot,Mid,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532929?gameHash=31b996c20f2f5ead,https://youtu.be/ZIZNXOd8kxQ?t=94
Semifinals,Top Esports,Suning,0 - 1,2,10.19,Camille,Lucian,Kindred,Syndra,Graves,Nidalee,Jhin,"Lee Sin, Ezreal","Sett, Orianna",Azir,Thresh,Leona,Ornn,Bard,Rakan,"Pantheon, Jayce",Wukong,Bot,Jungle,Mid,Support,Top,Jungle,Bot,Mid,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532920?gameHash=6ef6a513a4bf75a3,https://youtu.be/6RV6sQyGPl4?t=35
Semifinals,DAMWON Gaming,G2 Esports,1-3月,1,10.19,Shen,Lucian,Syndra,Nidalee,Jhin,Ashe,Twisted Fate,"Sylas, Graves","Kindred, Caitlyn",Ornn,Camille,Tahm Kench,Lulu,Pantheon,Senna,"Sett, Braum",Nautilus,Mid,Jungle,Bot,Top,Support,Mid,Jungle,Top,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552621?gameHash=dff0029fa4b666a5,https://youtu.be/B_tR-yTqw3k?t=198
Semifinals,G2 Esports,DAMWON Gaming,2-1月,2,10.19,Camille,Ornn,Nidalee,Volibear,Lucian,Sylas,Jhin,"Graves, Syndra","Kindred, Akali",Ashe,Bard,Renekton,Tahm Kench,Sett,Lulu,"Pantheon, Sion",Leona,Bot,Jungle,Mid,Support,Top,Jungle,Mid,Bot,Top,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552620?gameHash=e63a2b2ed43f9dd0,https://youtu.be/bICVGiqIlBU?t=122
Semifinals,DAMWON Gaming,G2 Esports,1-1月,2,10.19,Shen,Lucian,Syndra,Nidalee,Jhin,Lillia,Graves,"Twisted Fate, Kindred","Ashe, Sylas",Camille,Renekton,Caitlyn,Pantheon,Tahm Kench,Leona,"Sett, Fiora",Ezreal,Jungle,Bot,Mid,Support,Top,Mid,Jungle,Top,Support,Bot,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552617?gameHash=e950b38f5ff15dfc,https://youtu.be/qx-L0IcBMvI?t=44
