iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SGP,Asia,Singapore,6/19/21,62403,21,20,34,0,0,10666.554,3.59,3.419,5.812,0,5850343,,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
HKG,Asia,Hong Kong,6/19/21,11885,1,1.143,210,0,0,1585.303,0.133,0.152,28.011,0,7496988,,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,
BHR,Asia,Bahrain,6/19/21,262427,439,653.571,1297,11,13,154225.213,257.995,384.096,762.231,6.465,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,
MDV,Asia,Maldives,6/19/21,71709,211,233.143,205,2,1.429,132661.292,390.349,431.313,379.249,3.7,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,
MLT,Europe,Malta,6/19/21,30588,0,1,420,0,0.143,69275.874,0,2.265,951.218,0,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,
BGD,Asia,Bangladesh,6/19/21,848027,3057,3363,13466,67,56.429,5149.251,18.562,20.42,81.766,0.407,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,
PSE,Asia,Palestine,6/19/21,312605,106,226.714,3550,2,3.714,61278.084,20.779,44.441,695.885,0.392,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,
BRB,North America,Barbados,6/19/21,4041,1,0.714,47,0,0,14061.962,3.48,2.486,163.552,0,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,
MUS,Africa,Mauritius,6/19/21,1701,0,19.286,18,0,0,1337.509,0,15.165,14.154,0,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
LBN,Asia,Lebanon,6/19/21,542649,0,39.143,7801,0,1.571,79503.862,0,5.735,1142.93,0,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,
SMR,Europe,San Marino,6/19/21,5090,0,0,90,0,0,149979.374,0,0,2651.895,0,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
KOR,Asia,South Korea,6/19/21,151149,429,467.857,2002,5,2.429,2948.145,8.368,9.126,39.049,0.098,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,
