Film,type,number,Year,Movie,long,lat
Afghanistan,Depicted,1,1987,The Living Daylights,64.749202,33.924995
Albania,Depicted,1,1981,For Your Eyes Only,19.955638,40.973666
Austria,Depicted,4,1977,The Spy Who Loved Me,14.047316,47.593071
Austria,Depicted,4,1987,The Living Daylights,14.047316,47.593071
Austria,Depicted,4,2008,Quantum of Solace,14.047316,47.593071
Austria,Depicted,4,2015,Spectre,14.047316,47.593071
Austria,Shooting,3,1987,The Living Daylights,14.047316,47.593071
Austria,Shooting,3,2008,Quantum of Solace,14.047316,47.593071
Austria,Shooting,3,2015,Spectre,14.047316,47.593071
Azerbaijan,Depicted,1,1999,The World Is Not Enough,47.807405,40.330209
Azerbaijan,Shooting,1,1999,The World Is Not Enough,47.807405,40.330209
Bahamas,Depicted,3,1965,Thunderball,-78.088882,24.607687
Bahamas,Depicted,3,1989,License to Kill,-78.08888,24.60769
Bahamas,Depicted,3,2006,Casino Royale,-78.08888,24.60769
Bahamas,Shooting,3,1965,Thunderball,-78.08888,24.60769
Bahamas,Shooting,3,1977,The Spy Who Loved Me,-78.08888,24.60769
Bahamas,Shooting,3,2006,Casino Royale,-78.08888,24.60769
Bolivia,Depicted,1,2008,Quantum of Solace,-65.014249,-16.657458
Brazil,Depicted,1,1979,Moonraker,-56.156927,-7.656192
Brazil,Shooting,1,1979,Moonraker,-56.156927,-7.656192
Canada,Shooting,1,1977,The Spy Who Loved Me,-113.22399,59.944146
Chile,Shooting,1,2008,Quantum of Solace,-70.737155,-26.482808
China,Shooting,1,2012,Skyfall,103.193664,35.274149
China Macau,Depicted,1,2012,Skyfall,113.58621,22.172394
Croatia,Depicted,1,1963,From Russia with Love,14.866607,45.134322
Cuba,Depicted,2,1995,GoldenEye,-78.873408,21.556991
Cuba,Depicted,2,2002,Die Another Day,-78.873408,21.556991
Czech republic,Shooting,1,2006,Casino Royale,14.946144,49.639928
Czech Republic,Depicted,1,2006,Casino Royale,14.946144,49.639928
Egypt,Depicted,2,1971,Diamonds Are Forever,29.744129,26.795385
Egypt,Depicted,2,1977,The Spy Who Loved Me,29.744129,26.795385
Egypt,Shooting,1,1977,The Spy Who Loved Me,29.744129,26.795385
France,Depicted,4,1965,Thunderball,2.595634,46.646235
France,Depicted,4,1971,Diamonds Are Forever,2.595634,46.64624
France,Depicted,4,1985,A View to a Kill,2.595634,46.64624
France,Depicted,4,1995,GoldenEye,2.595634,46.64624
France,Shooting,7,1965,Thunderball,2.595634,46.64624
France,Shooting,7,1971,Diamonds Are Forever,2.595634,46.64624
France,Shooting,7,1979,Moonraker,2.595634,46.64624
France,Shooting,7,1985,A View to a Kill,2.595634,46.64624
France,Shooting,7,1995,GoldenEye,2.595634,46.64624
France,Shooting,7,1997,Tomorrow Never Dies,2.595634,46.64624
France,Shooting,7,1999,The World Is Not Enough,2.595634,46.64624
Germany,Depicted,2,1983,Octopussy,10.472648,51.14466906
Germany,Depicted,2,1997,Tomorrow Never Dies,10.47265,51.1446691
Germany,Shooting,3,1971,Diamonds Are Forever,10.47265,51.1446691
Germany,Shooting,3,1987,The Living Daylights,10.472648,51.14466906
Germany,Shooting,3,1997,Tomorrow Never Dies,10.47265,51.1446691
Gibraltar,Depicted,1,1987,The Living Daylights,-5.352957,36.142259
Greece,Depicted,1,1981,For Your Eyes Only,22.210297,39.430778
Guatemala,Shooting,1,1979,Moonraker,-90.270983,15.721902
Haiti,Depicted,1,2008,Quantum of Solace,-72.647297,19.059764
Hong Kong,Depicted,1,2002,Die Another Day,114.155124,22.319455
Hong Kong,Shooting,1,1974,The Man with the Golden Gun,114.1551,22.31946
Iceland,Depicted,1,2002,Die Another Day,-18.47718,65.020043
Iceland,Shooting,2,1985,A View to a Kill,-18.47718,65.02004
Iceland,Shooting,2,2002,Die Another Day,-18.47718,65.020043
India,Depicted,1,1983,Octopussy,79.609508,23.355368
India,Shooting,1,1983,Octopussy,79.60951,23.35537
Italy,Depicted,7,1963,From Russia with Love,12.045717,43.172822
Italy,Depicted,7,1977,The Spy Who Loved Me,12.04572,43.17282
