RegionID,SizeRank,RegionName,StateName,1996/1/31,1996/2/29,1996/3/31,1996/4/30,1996/5/31,1996/6/30,1996/7/31,1996/8/31,1996/9/30,1996/10/31,1996/11/30,1996/12/31,1997/1/31,1997/2/28,1997/3/31,1997/4/30,1997/5/31,1997/6/30,1997/7/31,1997/8/31,1997/9/30,1997/10/31,1997/11/30,1997/12/31,1998/1/31,1998/2/28,1998/3/31,1998/4/30,1998/5/31,1998/6/30,1998/7/31,1998/8/31,1998/9/30,1998/10/31,1998/11/30,1998/12/31,1999/1/31,1999/2/28,1999/3/31,1999/4/30,1999/5/31,1999/6/30,1999/7/31,1999/8/31,1999/9/30,1999/10/31,1999/11/30,1999/12/31,2000/1/31,2000/2/29,2000/3/31,2000/4/30,2000/5/31,2000/6/30,2000/7/31,2000/8/31,2000/9/30,2000/10/31,2000/11/30,2000/12/31,2001/1/31,2001/2/28,2001/3/31,2001/4/30,2001/5/31,2001/6/30,2001/7/31,2001/8/31,2001/9/30,2001/10/31,2001/11/30,2001/12/31,2002/1/31,2002/2/28,2002/3/31,2002/4/30,2002/5/31,2002/6/30,2002/7/31,2002/8/31,2002/9/30,2002/10/31,2002/11/30,2002/12/31,2003/1/31,2003/2/28,2003/3/31,2003/4/30,2003/5/31,2003/6/30,2003/7/31,2003/8/31,2003/9/30,2003/10/31,2003/11/30,2003/12/31,2004/1/31,2004/2/29,2004/3/31,2004/4/30,2004/5/31,2004/6/30,2004/7/31,2004/8/31,2004/9/30,2004/10/31,2004/11/30,2004/12/31,2005/1/31,2005/2/28,2005/3/31,2005/4/30,2005/5/31,2005/6/30,2005/7/31,2005/8/31,2005/9/30,2005/10/31,2005/11/30,2005/12/31,2006/1/31,2006/2/28,2006/3/31,2006/4/30,2006/5/31,2006/6/30,2006/7/31,2006/8/31,2006/9/30,2006/10/31,2006/11/30,2006/12/31,2007/1/31,2007/2/28,2007/3/31,2007/4/30,2007/5/31,2007/6/30,2007/7/31,2007/8/31,2007/9/30,2007/10/31,2007/11/30,2007/12/31,2008/1/31,2008/2/29,2008/3/31,2008/4/30,2008/5/31,2008/6/30,2008/7/31,2008/8/31,2008/9/30,2008/10/31,2008/11/30,2008/12/31,2009/1/31,2009/2/28,2009/3/31,2009/4/30,2009/5/31,2009/6/30,2009/7/31,2009/8/31,2009/9/30,2009/10/31,2009/11/30,2009/12/31,2010/1/31,2010/2/28,2010/3/31,2010/4/30,2010/5/31,2010/6/30,2010/7/31,2010/8/31,2010/9/30,2010/10/31,2010/11/30,2010/12/31,2011/1/31,2011/2/28,2011/3/31,2011/4/30,2011/5/31,2011/6/30,2011/7/31,2011/8/31,2011/9/30,2011/10/31,2011/11/30,2011/12/31,2012/1/31,2012/2/29,2012/3/31,2012/4/30,2012/5/31,2012/6/30,2012/7/31,2012/8/31,2012/9/30,2012/10/31,2012/11/30,2012/12/31,2013/1/31,2013/2/28,2013/3/31,2013/4/30,2013/5/31,2013/6/30,2013/7/31,2013/8/31,2013/9/30,2013/10/31,2013/11/30,2013/12/31,2014/1/31,2014/2/28,2014/3/31,2014/4/30,2014/5/31,2014/6/30,2014/7/31,2014/8/31,2014/9/30,2014/10/31,2014/11/30,2014/12/31,2015/1/31,2015/2/28,2015/3/31,2015/4/30,2015/5/31,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/31,2015/11/30,2015/12/31,2016/1/31,2016/2/29,2016/3/31,2016/4/30,2016/5/31,2016/6/30,2016/7/31,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/31,2017/1/31,2017/2/28,2017/3/31,2017/4/30,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/31,2018/1/31,2018/2/28,2018/3/31,2018/4/30,2018/5/31,2018/6/30,2018/7/31,2018/8/31,2018/9/30,2018/10/31,2018/11/30,2018/12/31,2019/1/31,2019/2/28,2019/3/31,2019/4/30,2019/5/31,2019/6/30,2019/7/31,2019/8/31,2019/9/30,2019/10/31,2019/11/30,2019/12/31,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31
102001,0,United States,,107749,107777,107827,107954,108097,108267,108435,108648,108865,109123,109375,109649,109835,110070,110323,110651,110983,111295,111630,111929,112245,112526,112881,113270,113850,114384,114897,115244,115619,116004,116418,116886,117413,117979,118464,118896,119267,119746,120277,120905,121505,122185,122877,123507,124072,124633,125305,126009,126739,127461,128188,128931,129673,130393,131111,131875,132676,133486,134313,135172,136022,136813,137596,138392,139194,139971,140730,141500,142276,143065,143825,144570,145313,146091,146885,147677,148481,149326,150215,151123,152025,152953,153914,154908,155886,156848,157793,158744,159702,160636,161578,162582,163676,164824,165970,167113,168325,169641,171042,172447,173935,175494,177147,178772,180390,181992,183616,185315,187060,188808,190526,192327,194145,196042,197959,199899,201837,203668,205418,206997,208407,209687,210934,212115,213203,214106,214809,215336,215657,215886,216031,216113,216180,216196,216157,216023,215708,215243,214622,214023,213311,212513,211527,210490,209281,207839,206208,204445,202725,200987,199262,197397,195612,193815,191965,190048,188185,186623,185117,183652,182217,180986,180035,179241,178560,178028,177810,177712,177647,177447,177298,177262,177182,176897,176205,175377,174422,173484,172441,171461,170485,169561,168589,167550,166512,165615,164995,164543,164208,163840,163514,163196,162985,162856,162930,163167,163558,163975,164443,164966,165568,166266,167070,167948,168929,169962,171102,172287,173538,174844,176185,177531,178835,180069,181181,182211,183173,184102,184836,185441,185985,186589,187182,187698,188204,188797,189519,190275,191001,191746,192616,193517,194431,195243,196048,196907,197798,198667,199455,200323,201269,202239,203098,203992,204901,205887,206895,207917,208945,209983,211093,212178,213244,214284,215402,216568,217729,218893,220010,221148,222331,223575,224846,226105,227320,228578,229842,231112,232368,233578,234713,235713,236591,237397,238192,239031,239943,240795,241568,242289,243071,243932,244707,245365,245905,246452,247028,247769,248783,249995,251399,252780,253773,254708,255897,257820,260095,262636,265442,268410,271466,274749,278309,282346,287148
394913,1,New York,NY,187199,186762,186484,185953,185637,185347,185171,185079,185123,185246,185370,185516,185789,186396,187109,187778,188273,188892,189512,190132,190645,191152,191869,192689,193585,194183,194651,195068,195601,196177,196746,197542,198535,199752,200835,201977,202925,204096,205339,206936,208675,210505,212569,214389,216178,217767,219599,221496,223539,225763,228160,230546,232833,235127,237471,239840,242222,244587,247000,249364,251718,254181,256602,259138,261609,264131,266499,268889,271339,274106,276880,279656,282468,285142,287710,290301,293017,295988,299073,302731,306613,310508,314230,318111,321968,325932,330090,334051,337888,341458,345094,348439,351476,354360,357416,360567,364125,367672,371378,374894,378811,382920,387432,391927,396649,401403,406216,410733,415075,419199,423345,428120,432951,437730,442175,446803,451631,456600,461233,465833,469751,473499,476106,478319,480046,481962,483285,483668,483231,481856,480335,478573,476991,475670,475411,474834,474385,472702,471055,469369,467638,466501,465208,463767,462339,460488,458010,455376,451765,448661,445339,442598,439663,436338,432808,429407,425571,421748,418135,414718,412113,409262,406764,404116,402339,401220,400758,400528,400447,400511,400044,399833,399396,399808,400071,400193,399586,398383,396826,394946,393568,392290,391540,390131,388593,386422,384558,382890,381474,380176,378726,377511,376152,374818,373551,372626,372087,371897,371726,371637,371604,371707,372213,372935,373647,374527,375435,376868,378435,380044,381767,383490,385351,387363,389314,391028,392911,394566,396397,397659,398866,399880,400776,401699,402526,403270,403721,404495,405285,406435,407165,408133,408927,410024,410948,411815,412722,413667,415115,416249,417016,417635,418469,419771,420823,421854,422949,424248,425605,427066,428492,430117,432058,433705,435498,436763,438972,441204,443934,446355,448594,450544,452276,454020,456104,458609,461147,463704,465685,467477,468528,469616,470773,472195,473582,474637,475336,475922,476689,477563,478412,479187,479772,479977,479301,478244,477281,477251,478200,479665,481453,483346,484835,486430,488466,491644,495766,500421,505425,510265,514879,519561,524438,529788,536211
753899,2,Los Angeles-Long Beach-Anaheim,CA,185343,185601,185621,185729,185703,185730,185830,185782,185668,185572,185550,185674,185345,184777,184445,184648,185172,185650,186271,187171,188184,189157,190064,191088,192784,194887,196851,198309,199669,200964,201979,203327,205009,206889,208709,210158,211897,213433,215092,216554,218032,220061,222250,223750,224882,226189,228108,230105,231794,233477,235407,237629,239949,242100,244219,246575,248928,251165,253275,255553,257738,260055,262239,264755,267026,269286,271250,273386,275670,278351,280862,283559,286322,289457,292771,296299,299852,303974,308749,313814,318752,323729,329181,334657,339647,344123,348641,353064,357908,362066,367354,373260,380079,386201,393259,400335,408780,417358,426497,436399,447544,459123,468977,477212,485336,493662,500698,507722,514263,522190,530063,537727,544013,550325,558536,567465,577074,586118,593572,600573,606376,611522,616004,619894,624489,627704,629000,630174,628557,627923,626591,626511,625813,624607,622781,621394,618538,615864,610890,604541,596250,587712,581140,573892,566444,555816,544323,530312,516337,504161,493631,484329,477194,469687,460766,449313,440926,436544,433299,430059,427210,424597,423418,423445,424435,425852,428456,432456,433566,432098,431829,433852,437561,436931,434747,431216,428402,425398,421240,418457,417050,416648,414578,411636,406482,405084,404030,403094,400339,397659,397280,396323,395122,393522,392802,392823,394443,396064,398724,401509,405367,410451,414679,420244,425676,434071,443049,453037,461746,470245,477725,486501,494236,500191,505297,508853,513015,513851,514308,513794,514286,514778,516342,516112,516607,517255,520123,522733,526157,530170,534357,536723,539258,541823,544528,547646,550898,554785,557432,561998,564489,567788,569591,573693,577234,580406,583135,586715,590617,594408,597229,599000,602623,605300,608944,611187,614883,618605,622106,625039,627998,631030,635932,641042,645335,649800,654049,658418,661248,664158,665653,665903,664926,665303,665993,665844,665426,663521,662224,662167,664701,667501,668029,667808,668453,670111,671913,674966,679924,686849,694867,700655,700343,698070,699515,706242,713587,720500,728012,736275,744671,753778,763387,776003,794575
394463,3,Chicago,IL,147137,147119,146997,147058,146963,147126,147170,148181,149425,151434,151294,150819,149692,150063,150620,150897,151442,151590,151705,149907,147596,144023,144231,145273,147695,147907,148158,148444,148678,148896,149516,151229,153583,156572,158056,158982,158953,159682,160424,161336,162125,163273,164457,165581,166354,167207,167717,168280,169084,170415,171763,172968,174151,175282,176358,177538,178812,180076,181374,182713,184011,185108,186230,187433,188816,190120,191287,192427,193620,194954,196251,197426,198454,199562,200835,201926,203095,204230,205683,207057,208371,209596,210662,211939,213188,214615,215869,217260,218401,219441,220401,221588,222986,224337,225722,226927,228389,229709,231070,232504,234050,235872,237557,239229,240635,242161,243841,245680,247331,249034,250702,252528,254350,256284,258185,259994,261986,263943,265717,267321,268734,270207,271414,272663,273699,274570,275177,275850,276323,276723,276915,277275,277818,278561,278331,278081,276894,276509,275380,274899,273761,273069,272211,271218,270319,267528,266777,263651,262914,259427,258063,254730,252958,249755,247187,243364,239346,236357,233034,230991,227995,225941,224126,222711,220693,219137,217682,217546,216926,216772,215086,214879,213293,213260,210489,209090,206825,205668,203255,201261,199228,197662,196278,194026,192634,190427,190050,188742,188142,185912,184916,183116,182204,180217,179853,179301,179309,178708,177839,177092,176464,176928,177633,178375,179332,180564,181390,182617,183538,185312,186970,189234,191154,193341,194457,195899,196681,197957,198507,198711,199189,200113,201092,201566,202233,202573,203267,203714,204157,204281,204933,206047,207046,207256,207458,207722,208105,208395,208782,209407,210155,211394,212376,213161,213743,214579,215692,216712,217538,218338,219356,220484,221777,222842,224171,225323,226369,227059,227585,228321,229225,230388,231452,232629,233762,234611,235086,235609,236342,237354,238042,238639,239125,239493,239926,240183,240471,240818,241311,241893,242528,242996,243291,243275,242796,242257,241932,242014,242759,243249,244116,244426,244916,245410,246525,248056,250124,252433,254762,257075,259109,261671,264245,267558,271019
394514,4,Dallas-Fort Worth,TX,112197,112260,112421,112742,113087,113336,113514,113735,113958,114295,114625,114956,115015,115108,115135,115303,115396,115592,115822,116075,116371,116710,116995,117351,117805,118255,118618,118728,118951,119201,119589,119940,120303,120226,120226,120138,120728,121503,122494,123449,124258,125098,125849,126372,126712,127399,128234,129038,129351,129681,129927,130171,130350,130523,130712,131009,131459,131917,132322,132711,132951,132778,132597,132500,132683,132703,132775,132989,133212,133363,133405,133551,133761,134185,134547,135042,135498,136199,136900,137502,137988,138426,138935,139474,139720,139738,139521,139438,139522,139771,140021,140252,140555,140977,141408,141730,142463,143822,145806,147400,148288,148629,148942,149411,149858,150351,150765,151270,152022,152264,152261,152068,152291,152717,153142,153560,153921,153866,154009,153991,154244,154720,155165,155619,156009,156438,156701,156777,156895,157534,157941,158376,158370,158304,158276,158419,158652,158829,158986,159354,159875,160206,160334,160348,159686,158664,157386,156525,155806,155286,154971,154500,153706,152744,151842,151166,151032,151359,151792,151878,151829,151595,151518,151414,151563,151718,152290,152601,152646,152415,152186,152314,152213,152168,151464,150749,149807,149116,148233,147754,147417,146863,146253,145336,144794,144145,143976,143979,144209,144284,144183,143860,143688,144126,144677,145295,145679,146189,146782,147308,147777,148204,148840,149558,150437,151062,151877,152749,153810,154874,156020,157153,158457,159760,161063,162230,163144,164142,164980,165827,166625,167588,168299,169328,170235,171477,172652,173947,175467,176923,178590,180209,181902,183570,185329,186857,188303,189654,191165,192839,194401,195972,197489,199195,201043,202800,204760,206443,208182,209815,211637,213503,215151,216867,218346,220040,221626,223276,224708,226203,227937,229813,231551,232992,234387,236010,237832,239501,240897,242238,243413,244524,245267,246163,247193,248604,250209,251199,251786,251912,252269,252471,252823,253258,254039,254251,254689,254894,256118,257177,258546,259233,259706,260347,261485,263245,265138,267729,270527,273838,276731,280527,284801,290512,297044
394974,5,Philadelphia,PA,120819,120665,120525,120281,120116,120021,119977,119954,119996,120082,120212,120318,120448,120616,120845,121097,121347,121580,121783,121941,122053,122137,122261,122438,122631,122829,123016,123163,123235,123285,123362,123607,123891,124235,124432,124635,124805,125049,125345,125706,126112,126525,126995,127370,127731,128055,128611,129287,130042,130777,131380,131988,132550,133152,133675,134185,134738,135378,135966,136574,137194,137924,138727,139511,140287,141042,141884,142711,143570,144410,145412,146299,147280,148230,149379,150563,151742,152971,154190,155650,157212,158912,160473,162210,163870,165617,167206,168894,170589,172285,174002,175670,177467,179274,181216,182936,184689,186517,188571,190682,192895,195228,197745,200415,202912,205152,207289,209720,212472,214941,217206,219338,221787,224421,227117,229784,232424,235177,237797,240278,242272,244144,245738,247387,248727,249967,250926,251715,252298,252647,252834,252854,252956,253007,253271,253315,253692,253815,254015,253740,253473,253249,253026,252675,251984,251513,250843,250222,248934,247501,245900,244514,243146,241641,240161,238717,237395,236214,235276,234415,233482,232534,231634,231051,230680,230742,230992,231130,231228,230899,230467,230065,230050,230154,229913,229073,227822,226262,224552,223049,221786,220854,219733,218286,216557,214894,213623,212759,211957,211213,210442,209798,208932,208035,207418,207150,206884,206393,205807,205401,205230,205159,205190,205220,205454,205670,206001,206494,207264,208185,209100,209851,210612,211241,211844,212220,212664,213132,213362,213138,213042,213123,213374,213335,213278,213378,213645,214045,214276,214475,214857,215446,215788,215862,215974,216356,216728,216864,216903,216869,216991,217265,217522,217937,218406,219248,219950,220648,221229,221964,222694,223611,224611,225414,225982,226453,227150,227846,228482,229190,229986,231052,232033,233003,233769,234841,236190,237576,238619,239384,240080,240641,241321,241823,242651,243361,244287,245059,246125,246926,247764,248292,248933,249378,249642,249732,249999,250589,251532,252746,253719,255219,256367,258065,259756,262223,264979,268156,271331,274628,277929,281410,285295,289315,294147
394692,6,Houston,TX,110248,110323,110332,110481,110621,110721,110759,110819,110986,111180,111451,111741,111705,111546,111406,111486,111579,111749,111980,112222,112383,112557,112797,113035,113694,114317,114960,115169,115424,115669,115969,116239,116516,116803,116827,116830,116951,117583,118468,119355,120149,120882,121621,122325,122875,123338,123851,124441,124959,125204,125251,125391,125448,125589,125683,125971,126297,126555,127009,127442,127646,127631,127258,127070,127045,127187,127327,127187,127261,127458,127679,127821,127968,128236,128789,129420,130001,130529,131010,131691,132230,132700,133053,133391,133805,134018,134112,134188,134298,134632,134830,135192,135411,135749,136051,136429,136952,137951,139405,140570,141753,142261,143234,143868,144796,145600,146359,147202,147914,148574,148862,149131,149093,149378,149427,149538,149472,149379,149536,149547,149818,149948,150287,150561,151088,151523,152045,152570,153219,153917,154480,155069,155564,155776,155794,155951,156302,156800,157023,157471,157860,158230,158493,158756,158555,158140,157586,157244,156666,156027,155530,154965,154382,153868,153118,152253,151614,151591,151633,151542,151499,151743,152214,152542,152620,152422,152584,152860,153056,153084,153338,153596,153649,153178,152157,150932,150035,149506,149272,148914,148426,147633,146506,145544,144758,144358,144186,144243,144266,144290,143731,143412,143306,143608,143991,144188,144519,144784,145275,145751,146172,146386,146989,147605,148449,149308,150677,152278,153810,155074,156295,157566,158937,160463,161975,163387,164716,166039,166996,167841,168657,169981,171463,173202,174897,176394,177739,179131,180479,181720,183137,184576,185944,187010,187752,188389,189036,189979,190703,191343,192188,193013,193544,193781,194337,194999,195824,196315,196764,197063,197853,198763,199269,199819,200467,201252,201714,202156,202585,202979,203407,203909,204460,204979,205539,206006,206602,207623,208722,209638,210322,211295,212243,213035,213508,214016,215045,215936,216624,216711,216993,217526,218223,218799,218930,219305,219641,220132,220209,220534,221609,222889,223728,224099,224599,225660,227239,228895,230945,233113,235611,238285,240734,243566,247026
395209,7,Washington,DC,180100,179875,179743,179466,179346,179193,179027,178919,178941,179078,179137,179206,178986,178860,178679,178777,178729,178805,178954,179078,179020,178927,178995,179077,179477,179851,180342,180523,180713,180824,180937,181125,181425,181630,181793,182079,182604,183380,184125,184867,185545,186334,187138,187854,188680,189608,190772,191822,192868,193785,194705,195616,196688,197842,199217,200717,202276,203968,205654,207607,209490,211356,213300,215455,217701,219891,221983,224134,226336,228584,231017,233472,236003,238400,240896,243504,246316,249237,252270,255473,258588,261693,264706,267832,270878,274219,277563,280807,283706,286600,289438,292363,295503,299284,303338,307296,311118,315435,320011,324929,330091,335966,342680,349672,356857,363169,369230,375307,382156,388567,394898,401737,409448,417134,424081,430390,436805,443258,448769,453657,457596,461432,464999,467227,468530,468759,468721,468103,465820,463187,461216,459968,458635,457084,455557,454374,452596,449776,446494,443128,440737,437603,433701,428557,423804,418743,412991,406493,399202,392799,386670,381363,375934,371026,366431,362108,357082,352471,348213,344752,342516,341134,340369,339482,338465,337956,338118,339019,340303,340654,341387,342188,343522,343552,343028,342128,341810,341181,339747,338355,337392,337640,337238,336757,335466,335007,334341,334106,333492,333025,333059,332973,332817,332777,333746,334919,336185,337543,339310,340928,342212,343876,345922,348430,351079,353193,355037,356870,359442,361844,364215,366742,369897,372657,374992,376483,378029,379515,380719,381694,381768,381809,381951,382121,382243,382179,382258,382379,382115,382600,383366,383817,384064,384348,384836,385128,385246,385767,386197,386947,387543,387300,387267,388036,389902,391283,392315,393100,394347,395315,396406,397780,399733,402099,403450,404253,404186,404919,405879,407545,408929,410479,412055,412944,413538,413973,415376,417040,419151,420873,422305,422888,423187,423538,423905,425187,426839,428816,430248,431132,432026,432834,433196,433852,434684,436120,437560,438912,440226,441648,443293,445324,447003,449101,452119,455760,459830,463816,468261,472978,478151,483693,489811,496558,504257
394856,8,Miami-Fort Lauderdale,FL,112613,112747,112889,113143,113364,113681,114000,114269,114382,114497,114661,114867,114776,114762,114769,115112,115415,115651,115866,116099,116356,116537,116714,116936,117721,118368,118928,118942,119075,118917,118837,118895,119522,120276,120855,121226,121286,121407,121542,121901,122315,123201,124001,124705,124796,124919,125220,125633,126184,126826,127643,128503,129198,129810,130409,131006,131777,132550,133494,134517,135572,136669,137893,139185,140666,142123,143789,145544,147482,149506,151375,153079,154664,156226,157653,159163,160663,162324,164022,165878,167607,169345,171084,173310,175559,177955,180312,182746,185010,187034,188918,190825,193005,195332,197938,200232,202916,205471,208218,210755,213742,217042,220590,224382,228301,232478,236629,241252,245682,250570,255548,260627,265981,271662,278203,284609,290930,296615,301792,306487,311378,315609,320328,325511,330335,334126,336313,337913,338931,339201,339899,339764,339584,338629,337018,334060,330632,326606,322671,318642,314553,310977,306228,301511,295195,289139,282298,276147,269927,264241,258024,251347,244391,237258,230651,224677,219239,214142,209024,204295,199735,196090,192975,190509,188283,186831,185554,184097,183137,182428,182250,181591,180878,179516,178305,176848,175539,173666,172049,170684,169214,167863,166502,165608,164653,163831,163018,162476,162073,162055,162177,162311,162554,162570,162869,163237,164116,165387,166643,168176,169790,171493,172852,174333,176255,178821,181581,184712,187592,190150,192809,195557,198492,201229,204641,207863,210882,212887,214919,216149,217818,219285,221237,222731,224072,225624,226482,227690,228623,230396,231750,233384,234665,236171,237266,238635,240313,241872,243795,245407,247328,248914,250510,252152,253825,255885,257942,259718,261088,262428,264023,265712,267292,268698,269848,271313,272716,274060,275262,277002,278767,280689,281560,282707,283484,285194,287082,288677,290396,291714,293357,294400,295288,295767,297343,298695,300128,300010,300274,300697,300970,301736,302325,302848,302995,303539,304232,304575,305237,307247,308868,310525,311203,312265,313147,315021,317476,320044,322465,325525,328702,331744,335269,339161,344370
394347,9,Atlanta,GA,121644,121875,122098,122593,123080,123609,124080,124547,124989,125468,125962,126493,126842,127234,127652,128227,128763,129207,129707,130295,130954,131586,132127,132682,133569,134446,135244,135699,136281,136937,137657,138299,138924,139560,140358,141090,141768,142412,143205,144093,144947,145843,146788,147682,148583,149455,150349,151217,152014,152894,153831,154918,155973,157006,157981,159029,160074,161172,162161,163230,164230,165181,166010,166774,167595,168365,169156,169915,170665,171359,172052,172722,173391,174065,174656,175244,175738,176251,176697,177092,177484,177899,178323,178651,179019,179337,179753,180040,180342,180631,180950,181296,181616,181914,182225,182604,182905,183231,183556,184042,184461,184807,185162,185622,186129,186659,187131,187598,188128,188700,189267,189803,190434,191119,191708,192258,192865,193542,194287,194941,195669,196292,196835,197232,197583,198033,198591,199116,199559,199910,200307,200779,201278,201756,202281,202643,202864,202811,202650,202309,201763,201131,200426,199883,198913,197735,196167,194913,193676,192348,190756,189034,187409,185610,183321,180313,177473,174825,172523,169868,167388,165267,163905,162821,161817,160627,159790,159419,158987,158408,157703,157510,157428,157019,155536,153508,151064,149067,147098,145608,143996,142678,140822,138820,136370,134207,132653,132005,132107,132193,132012,131117,130567,130032,130528,131112,132054,133005,134023,134533,134530,134682,135556,136872,138436,140144,141889,143548,145367,147290,149220,151422,153832,156190,158106,160063,161658,163125,164126,165155,165997,166755,167738,168593,169507,170282,171132,171937,172757,173534,174212,175017,176071,177315,178284,179280,180254,181182,182064,182811,183888,184952,186384,187766,188965,189797,190516,191348,192061,193131,194292,195795,196886,198107,199223,200440,201704,203212,204857,206282,207939,209423,211093,212718,214659,216517,218025,219449,220958,222683,224370,225998,227551,229130,230551,231673,232610,233464,234746,236028,237259,237948,238617,239440,240263,240950,241632,242530,243753,245145,246536,247781,248636,249774,251147,253088,255259,257843,260807,264121,267602,271428,275575,280363,286047
